candidate_table,candidate_column,similarity_score
Artwork_right,title,0.5288497805595398
Artwork_left,title,0.5131850838661194
target_038023,title,0.5103974938392639
target_058077,title,0.5076540112495422
target_003914,title,0.5067217350006104
target_021671,title,0.5065083503723145
target_003198,title,0.5062267780303955
target_043204,title,0.5061647295951843
target_079735,title,0.506105363368988
target_028482,title,0.5060729384422302
target_070201,title,0.5059816241264343
target_030347,title,0.5054866075515747
target_049758,title,0.5054474472999573
target_056358,title,0.5052357316017151
target_065273,title,0.5052147507667542
target_065167,title,0.5052048563957214
target_024436,title,0.505161464214325
target_033315,title,0.505158543586731
target_074378,title,0.5051201581954956
target_064934,title,0.5050501227378845
target_007666,title,0.5050501227378845
target_083943,title,0.505007266998291
target_012862,title,0.5049668550491333
target_012717,title,0.5049635767936707
target_000106,title,0.5049504637718201
target_092835,title,0.5048611760139465
target_078082,title,0.5048224329948425
target_075234,title,0.5048111081123352
target_010148,title,0.5047578811645508
target_068081,title,0.5047189593315125
target_003329,title,0.5046886205673218
target_031335,title,0.5046816468238831
target_014003,title,0.5046755075454712
target_088132,title,0.504620373249054
target_081620,title,0.5046093463897705
target_020444,title,0.5045558214187622
target_064171,title,0.5045557618141174
target_090767,title,0.5045164227485657
target_010018,title,0.5045087337493896
target_056602,title,0.5044695734977722
target_075062,title,0.504462718963623
target_044950,title,0.5044054985046387
target_001088,title,0.5042008757591248
target_060447,title,0.5041943192481995
target_044316,title,0.5041847229003906
target_082212,title,0.5041635632514954
target_078175,title,0.5041212439537048
target_009490,title,0.5041069388389587
target_088682,title,0.5041009187698364
target_023809,title,0.5040934085845947
