candidate_table,candidate_column,similarity_score
Galaxy_left,title,0.7047640681266785
target_050280,title,0.632720410823822
Galaxy_right,title,0.5633126497268677
target_003809,title,0.540796160697937
target_094438,title,0.5372533202171326
target_007010,title,0.5359250903129578
target_082306,title,0.5354569554328918
target_079101,title,0.5348859429359436
target_090653,title,0.534444272518158
target_013698,title,0.5325133800506592
target_025719,title,0.5320417284965515
target_063065,title,0.5320417284965515
NCAATeamSeason_left,id,0.5319594144821167
Song_left,id,0.5315027832984924
SportFacility_left,id,0.5310186743736267
target_078861,title,0.5308712720870972
PoliticalParty_left,id,0.5306604504585266
Election_left,id,0.5305457711219788
TelevisionStation_left,id,0.5305114984512329
Device_left,id,0.5299967527389526
target_029960,title,0.5292221307754517
MemberOfParliament_left,id,0.5288639068603516
target_054671,title,0.5288070440292358
target_070407,title,0.528264045715332
Stadium_left,id,0.5281817317008972
ChristianBishop_left,id,0.5280882716178894
Drug_left,id,0.5280882716178894
HistoricBuilding_left,id,0.5276885032653809
Tournament_left,id,0.5272731184959412
target_025271,title,0.527262806892395
target_018014,id,0.5269507169723511
target_019024,id,0.5269507169723511
target_021839,id,0.5269507169723511
target_019201,id,0.5269507169723511
target_021901,id,0.5269507169723511
target_026293,id,0.5269507169723511
target_046865,id,0.5269507169723511
target_048405,id,0.5269507169723511
target_019399,id,0.5269507169723511
target_045287,id,0.5269507169723511
target_023958,id,0.5269507169723511
target_035136,id,0.5269507169723511
target_044410,id,0.5269507169723511
target_043054,id,0.5269507169723511
target_025666,id,0.5269507169723511
target_054021,id,0.5269507169723511
target_047648,id,0.5269507169723511
target_043406,id,0.5269507169723511
target_043965,id,0.5269507169723511
target_050479,id,0.5269507169723511
