candidate_table,candidate_column,similarity_score
Reptile_left,title,0.6622268557548523
Reptile_right,title,0.632089376449585
target_058613,title,0.5932942032814026
target_028362,title,0.5867089629173279
target_068952,title,0.5639247894287109
target_049280,title,0.5633708238601685
target_017734,title,0.562686026096344
target_033683,title,0.5606603622436523
target_059608,title,0.5602767467498779
target_075259,title,0.5588473081588745
target_017287,title,0.5579312443733215
target_032030,title,0.5575989484786987
target_043374,title,0.557474672794342
target_085632,title,0.5570135116577148
target_096075,title,0.5544593930244446
target_076185,title,0.5542160272598267
target_066725,title,0.5540270209312439
target_094342,title,0.553864061832428
target_084588,title,0.5535358190536499
Amphibian_right,title,0.5517366528511047
target_046595,title,0.5512442588806152
target_021489,title,0.5512336492538452
target_040568,title,0.5512151718139648
target_036476,title,0.55083167552948
target_072469,title,0.5484318733215332
target_075790,title,0.5474125742912292
target_014039,title,0.5456889271736145
target_039828,title,0.5451117753982544
target_070075,title,0.5445535778999329
target_081301,title,0.5441804528236389
target_044219,title,0.5441713929176331
target_066936,title,0.544157087802887
target_032077,title,0.5433123707771301
target_025294,title,0.5426724553108215
target_026592,title,0.5422762632369995
target_005345,title,0.5416406393051147
target_018386,title,0.5410547256469727
target_016809,title,0.5405840277671814
target_020943,title,0.5404446721076965
target_006587,title,0.5402346253395081
target_089915,title,0.5400057435035706
target_091079,title,0.5398014187812805
target_001117,title,0.5397635698318481
target_065040,title,0.5395848751068115
target_093976,title,0.5394258499145508
target_013780,title,0.5390631556510925
target_088523,title,0.5390064716339111
target_050435,title,0.5383069515228271
target_082946,title,0.5379380583763123
target_079390,title,0.5377529859542847
