target_ds,target_attr
Path_Stage_Primary_Tumor-pT_dou.csv,title
Path_Stage_Reg_Lymph_Nodes-pN_dou.csv,title
tumor_Stage-Pathological_dou.csv,title
Tumor_purity_dou.csv,title
Gender_dou.csv,title
Tumor_Grade_mcdermott.csv,title
Race_mcdermott.csv,title
Anatomic_site_of_Tumor_Specimen_mcdermott.csv,title
Ethnicity_mcdermott.csv,title
Site_of_Disease_mcdermott.csv,title
Histological_Subtype_mcdermott.csv,title
Gender_mcdermott.csv,title
Tumor.Stage_krug.csv,title
Ethnicity_krug.csv,title
Gender_krug.csv,title
participant_country_cao.csv,title
tumor_stage_pathological_cao.csv,title
tobacco_smoking_history_cao.csv,title
tumor_site_curated_wang.csv,title
country_of_origin_wang.csv,title
Path_Stage_Primary_Tumor_pT_clark.csv,title
FIGO_stage_dou.csv,title
ethnicity_self_identify_wang.csv,title
Stage_satpathy.csv,title
Country.of.Origin_satpathy.csv,title
Ethnicity_satpathy.csv,title
Smoking.History_satpathy.csv,title
gender_wang.csv,title
vital_status_wang.csv,title
pathologic_staging_primary_tumor_pt_cao.csv,title
Race_dou.csv,title
Country_dou.csv,title
Tumor_Site_dou.csv,title
Ethnicity_dou.csv,title
tumor_site_cao.csv,title
race_cao.csv,title
sex_cao.csv,title
histology_diagnosis_cao.csv,title
Country.of.Origin_gilette.csv,title
Smoking.History_gilette.csv,title
pathologic_staging_regional_lymph_nodes_pn_cao.csv,title
perineural_invasion_cao.csv,title
lymph_vascular_invasion_cao.csv,title
vital_status_cao.csv,title
PN_vasaikar.csv,title
Stage_gilette.csv,title
Gender_gilette.csv,title
Gender_satpathy.csv,title
tumor_laterality_wang.csv,title
ethnicity_wang.csv,title
race_wang.csv,title
Tumor_Stage_Pathological_clark.csv,title
Path_Stage_Reg_Lymph_Nodes_pN_clark.csv,title
Gender_clark.csv,title
Ethnicity_gilette.csv,title
cause_of_death_cao.csv,title
FootballLeagueSeason_left.csv,title
UnitOfWork_left.csv,title
Award_left.csv,title
Artwork_left.csv,title
TennisTournament_left.csv,title
NaturalEvent_left.csv,title
MemberOfParliament_left.csv,title
Noble_left.csv,title
HistoricBuilding_left.csv,title
GovernmentAgency_left.csv,title
PoliticalParty_left.csv,title
SoccerTournament_left.csv,title
Tournament_left.csv,title
FootballMatch_left.csv,title
EthnicGroup_left.csv,title
Stadium_left.csv,title
SportFacility_left.csv,title
Song_left.csv,title
GivenName_left.csv,title
MotorsportSeason_left.csv,title
Galaxy_left.csv,title
Wrestler_left.csv,title
BasketballTeam_left.csv,title
Enzyme_left.csv,title
ArtificialSatellite_left.csv,title
SportsLeague_left.csv,title
Hospital_left.csv,title
Magazine_left.csv,title
Amphibian_left.csv,title
TelevisionStation_left.csv,title
Monarch_left.csv,title
NationalFootballLeagueSeason_left.csv,title
Race_left.csv,title
ClericalAdministrativeRegion_left.csv,title
Museum_left.csv,title
Election_left.csv,title
NCAATeamSeason_left.csv,title
Case_left.csv,title
Device_left.csv,title
Venue_left.csv,title
ShoppingMall_left.csv,title
Reptile_left.csv,title
Legislature_left.csv,title
RugbyLeague_left.csv,title
Drug_left.csv,title
RailwayLine_left.csv,title
SoccerLeague_left.csv,title
Country_left.csv,title
SoccerClubSeason_left.csv,title
ChristianBishop_left.csv,title
