source_table,source_column,target_table,target_column
Name_AdventureWorks2014_CountryRegion.csv,title,Name_world_country.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,CountryName_countries_metadatacountries.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_movies.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_countries_of_the_world.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_cwurData.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,name_countries_and_continents.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,official_name_en_countries_and_continents.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_netflix_titles.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_gender_development.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,countries_hfi_cc_2018.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,CountryDependency_population_by_country_2020.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_world-cities.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_Word_University_Rank_2020.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_edu.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_movie_metadata.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_World_countries_env_vars.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_USA_cars_datasets.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_whr2015.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_who_suicide_statistics.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_full_fifa_ranking.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,country_UKDebate.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,CountryName_countries_data.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,LocalName_world_country.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,official_name_fr_countries_and_continents.csv,title
Name_AdventureWorks2014_CountryRegion.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Name_world_country.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,CountryName_countries_metadatacountries.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_movies.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_countries_of_the_world.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_cwurData.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,name_countries_and_continents.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,official_name_en_countries_and_continents.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_netflix_titles.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_gender_development.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,countries_hfi_cc_2018.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,CountryDependency_population_by_country_2020.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_world-cities.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_Word_University_Rank_2020.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_edu.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_movie_metadata.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_World_countries_env_vars.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_USA_cars_datasets.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_whr2015.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_who_suicide_statistics.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_full_fifa_ranking.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,country_UKDebate.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,CountryName_countries_data.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,LocalName_world_country.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,official_name_fr_countries_and_continents.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Continent_world_country.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Group_AdventureWorks2014_salesTerritory.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Name_world_country.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,CountryName_countries_metadatacountries.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_movies.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_countries_of_the_world.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_cwurData.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,name_countries_and_continents.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,official_name_en_countries_and_continents.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_netflix_titles.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_gender_development.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,countries_hfi_cc_2018.csv,title
