query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 2004",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 2008",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 2012",0.7101
NCAATeamSeason_left.csv,title,2009 New Hampshire Wildcats football team,Election_left.csv,title,"Manchester, New Hampshire municipal election, 2009",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 2000",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 1996",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 1992",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 1988",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 1984",0.7101
NCAATeamSeason_left.csv,title,North Carolina Pre-Flight Cloudbusters football,Election_left.csv,title,"North Carolina gubernatorial election, 1980",0.7101
