query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SportsLeague_left.csv,title,English Football League,SoccerLeague_right.csv,title,National League (English football),0.8339
SportsLeague_left.csv,title,Kent Football League,SoccerLeague_right.csv,title,Kent League,0.8339
SportsLeague_left.csv,title,National League 2 North,SoccerLeague_right.csv,title,National League North,0.8339
SportsLeague_left.csv,title,National League 2 South,SoccerLeague_right.csv,title,National League South,0.8339
SportsLeague_left.csv,title,Wessex Football League,SoccerLeague_right.csv,title,Wessex League,0.8339
SportsLeague_left.csv,title,United Counties League,SoccerLeague_right.csv,title,United Counties Football League,0.8339
SportsLeague_left.csv,title,Southern Football League,SoccerLeague_right.csv,title,Southern Combination Football League,0.8339
SportsLeague_left.csv,title,Professional Indoor Football League,SoccerLeague_right.csv,title,Professional Indoor Football League (1998),0.8339
SportsLeague_left.csv,title,Swedish Football Division 2,SoccerLeague_right.csv,title,Swedish football Division 2,0.8339
SportsLeague_left.csv,title,Norwegian First Division (women),SoccerLeague_right.csv,title,Norwegian First Division,0.8339
SportsLeague_left.csv,title,Japan Football League,SoccerLeague_right.csv,title,Japan Women's Football League,0.8339
SportsLeague_left.csv,title,Swedish Football Division 1,SoccerLeague_right.csv,title,Division 1 (Swedish football),0.8339
SportsLeague_left.csv,title,Swedish Football Division 1,SoccerLeague_right.csv,title,Swedish football Division 1,0.8339
SportsLeague_left.csv,title,NSW Premier League,SoccerLeague_right.csv,title,National Premier Leagues NSW,0.8339
SportsLeague_left.csv,title,Championnat de France amateur,SoccerLeague_right.csv,title,Championnat de France Amateur,0.8339
SportsLeague_left.csv,title,Russian National Football League,SoccerLeague_right.csv,title,Russian Football National League,0.8339
SportsLeague_left.csv,title,Gambrinus liga,SoccerLeague_right.csv,title,Gambrinus Liga,0.8339
SportsLeague_left.csv,title,Championnat de France amateur 2,SoccerLeague_right.csv,title,Championnat de France Amateur 2,0.8339
SportsLeague_left.csv,title,Cheshire Association Football League,SoccerLeague_right.csv,title,Cheshire Football League,0.8339
SportsLeague_left.csv,title,Gloucestershire County Football League,SoccerLeague_right.csv,title,Gloucestershire County League,0.8339
SportsLeague_left.csv,title,Somerset County League,SoccerLeague_right.csv,title,Somerset County Football League,0.8339
SportsLeague_left.csv,title,Northamptonshire Combination Football League,SoccerLeague_right.csv,title,Northamptonshire Football Combination,0.8339
SportsLeague_left.csv,title,West Yorkshire Association Football League,SoccerLeague_right.csv,title,West Yorkshire League,0.8339
SportsLeague_left.csv,title,Midland Football League in Scotland,SoccerLeague_right.csv,title,Midland Football League (Scotland),0.8339
SportsLeague_left.csv,title,Capital League,SoccerLeague_right.csv,title,Capital League 1,0.8339
SportsLeague_left.csv,title,Capital League,SoccerLeague_right.csv,title,Capital 1 League,0.8339
SportsLeague_left.csv,title,NAIA national men's soccer championship,SoccerLeague_right.csv,title,NAIA Men's Soccer Championship,0.8339
SportsLeague_left.csv,title,First Macedonian Football League,SoccerLeague_right.csv,title,Macedonian First Football League,0.8339
SportsLeague_left.csv,title,"Georgian Premier League,",SoccerLeague_right.csv,title,Georgian Premier League,0.8339
SportsLeague_left.csv,title,FFSA National Premier League,SoccerLeague_right.csv,title,FFSA Premier League,0.8339
SportsLeague_left.csv,title,Bristol Downs Association Football League,SoccerLeague_right.csv,title,Bristol Downs Football League,0.8339
SportsLeague_left.csv,title,Subroto Cup,SoccerLeague_right.csv,title,Subroto Cup Football Tournament,0.8339
SportsLeague_left.csv,title,Bristol and District Football League,SoccerLeague_right.csv,title,Bristol and District League,0.8339
SportsLeague_left.csv,title,NAIA national women's soccer championship,SoccerLeague_right.csv,title,NAIA Women's Soccer Championship,0.8339
SportsLeague_left.csv,title,Ligat Nashim Rishona,SoccerLeague_right.csv,title,Ligat Nashim,0.8339
SportsLeague_left.csv,title,Plymouth and West Devon Combination Football League,SoccerLeague_right.csv,title,Plymouth and West Devon Football League,0.8339
SportsLeague_left.csv,title,Plymouth and West Devon Combination Football League,SoccerLeague_right.csv,title,Plymouth and West Devon Combination,0.8339
SportsLeague_left.csv,title,Doncaster and District Senior League,SoccerLeague_right.csv,title,Doncaster & District Senior League,0.8339
SportsLeague_left.csv,title,Bristol and Avon Association Football League,SoccerLeague_right.csv,title,Bristol and Avon League,0.8339
SportsLeague_left.csv,title,South Yorkshire Amateur Football League,SoccerLeague_right.csv,title,South Yorkshire Amateur League,0.8339
SportsLeague_left.csv,title,Bath and District Saturday Football League,SoccerLeague_right.csv,title,Bath and District League,0.8339
SportsLeague_left.csv,title,Andover and District Football League,SoccerLeague_right.csv,title,Andover and District Saturday Football League,0.8339
SportsLeague_left.csv,title,Cheltenham Association Football League,SoccerLeague_right.csv,title,Cheltenham League,0.8339
SportsLeague_left.csv,title,Craven and District Football League,SoccerLeague_right.csv,title,Craven and District League,0.8339
SportsLeague_left.csv,title,North Gloucestershire Association Football League,SoccerLeague_right.csv,title,North Gloucestershire League,0.8339
SportsLeague_left.csv,title,Stroud and District Football League,SoccerLeague_right.csv,title,Stroud and District League,0.8339
SportsLeague_left.csv,title,Taunton & District Saturday Football League,SoccerLeague_right.csv,title,Taunton & District Saturday League,0.8339
SportsLeague_left.csv,title,Portuguese Handball Cup,SoccerLeague_right.csv,title,Portuguese Handball Super Cup,0.8339
SportsLeague_left.csv,title,V.League (Vietnam),SoccerLeague_right.csv,title,V-League (Vietnam),0.8339
SportsLeague_left.csv,title,United Indoor Football,SoccerLeague_right.csv,title,United Indoor Football League,0.8339
