query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
UnitOfWork_left.csv,title,United States v. Lee (1982),Election_left.csv,title,"United States Senate elections, 1982",0.6739
UnitOfWork_left.csv,title,United States v. John (1978),Election_left.csv,title,"United States Senate elections, 1978",0.6739
UnitOfWork_left.csv,title,United States v. Wise (1962),Election_left.csv,title,"United States Senate elections, 1962",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 2004",0.6739
UnitOfWork_left.csv,title,United States v. Stewart (1940),Election_left.csv,title,"United States Senate elections, 1940",0.6739
UnitOfWork_left.csv,title,United States v. Lee (1982),Election_left.csv,title,"United States Senate elections, 1928",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2006",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2006",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 2004",0.6739
UnitOfWork_left.csv,title,Georgia v. South Carolina (1990),Election_left.csv,title,"South Carolina gubernatorial election, 1990",0.6739
UnitOfWork_left.csv,title,United States v. Jones (2012),Election_left.csv,title,"United States Senate elections, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 2004",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1996",0.6739
UnitOfWork_left.csv,title,District of Columbia v. Heller,Election_left.csv,title,"District of Columbia Democratic primary, 2008",0.6739
UnitOfWork_left.csv,title,District of Columbia v. Heller,Election_left.csv,title,"District of Columbia Republican primary, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States House of Representatives elections in Virginia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2002",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2004",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2002",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 2008",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1986",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1980",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1992",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2010",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1996",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States House of Representatives elections in Virginia, 2010",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1998",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1990",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2002",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 2000",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1990",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1994",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1964",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1996",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1984",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1992",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 1994",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 1988",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 1982",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate special election in West Virginia, 2010",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 1978",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States Senate election in Georgia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States House of Representatives elections in Virginia, 2012",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1705",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1702",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1701 (December)",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1698",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1695",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1690",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 2012",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 1996",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 1996",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1689",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1685",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1681",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1679 (October)",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1679 (March)",0.6739
UnitOfWork_left.csv,title,English v. General Electric,Election_left.csv,title,"English general election, 1661",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 1992",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in West Virginia, 1992",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in West Virginia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States House of Representatives elections in West Virginia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States House of Representatives elections in Virginia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States House of Representatives elections in Georgia, 2014",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 1824",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1824",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1828",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States presidential election in Virginia, 1828",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1988",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1982",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1984",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1976",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1978",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1972",0.6739
UnitOfWork_left.csv,title,United States v. Georgia,Election_left.csv,title,"United States presidential election in Georgia, 1948",0.6739
UnitOfWork_left.csv,title,United States v. Virginia,Election_left.csv,title,"United States Senate election in Virginia, 1970",0.6739
