query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Venue_left.csv,title,Gaelic Theatre,SoccerClubSeason_left.csv,title,2008 Derry Gaelic football season,0.6286
Venue_left.csv,title,Gaelic Theatre,SoccerClubSeason_left.csv,title,2009 Derry Gaelic football season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2009 Daegu FC season,0.6286
Venue_left.csv,title,FC Kremin Stadium,SoccerClubSeason_left.csv,title,1992 FC Kremin Kremenchuk season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2009 Pohang Steelers season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2008 Pohang Steelers season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2008 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2007 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2006 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2005 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2003 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2004 Daegu FC season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2007 Pohang Steelers season,0.6286
Venue_left.csv,title,100 Club,SoccerClubSeason_left.csv,title,2010 Columbus Crew season,0.6286
Venue_left.csv,title,Gaelic Theatre,SoccerClubSeason_left.csv,title,2010 Derry Gaelic football season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2010 Pohang Steelers season,0.6286
Venue_left.csv,title,Green Cinema,SoccerClubSeason_left.csv,title,Green Gully season 2010,0.6286
Venue_left.csv,title,Citizens Theatre,SoccerClubSeason_left.csv,title,2011 Daejeon Citizen season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2010 Daegu FC season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2011 Daegu FC season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2011 Pohang Steelers season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,1999 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2000 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2001 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2002 Sagan Tosu season,0.6286
Venue_left.csv,title,Atlanta Silverbacks Park,SoccerClubSeason_left.csv,title,2011 Atlanta Silverbacks season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2003 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2004 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2005 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2006 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2007 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2008 Sagan Tosu season,0.6286
Venue_left.csv,title,Breakers Stadium,SoccerClubSeason_left.csv,title,2011 Boston Breakers season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2009 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2010 Sagan Tosu season,0.6286
Venue_left.csv,title,Citizens Theatre,SoccerClubSeason_left.csv,title,2012 Daejeon Citizen season,0.6286
Venue_left.csv,title,Huskies Stadium,SoccerClubSeason_left.csv,title,2011 Connecticut Huskies men's soccer team,0.6286
Venue_left.csv,title,Atlanta Silverbacks Park,SoccerClubSeason_left.csv,title,2012 Atlanta Silverbacks season,0.6286
Venue_left.csv,title,Pohang Stadium,SoccerClubSeason_left.csv,title,2012 Pohang Steelers season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2012 Sagan Tosu season,0.6286
Venue_left.csv,title,Tosu Stadium,SoccerClubSeason_left.csv,title,2011 Sagan Tosu season,0.6286
Venue_left.csv,title,Daegu Stadium,SoccerClubSeason_left.csv,title,2012 Daegu FC season,0.6286
Venue_left.csv,title,Breakers Stadium,SoccerClubSeason_left.csv,title,2012 Boston Breakers season,0.6286
Venue_left.csv,title,Chelsea Theatre,SoccerClubSeason_left.csv,title,2012 Chelsea L.F.C. season,0.6286
Venue_left.csv,title,Chelsea Theatre,SoccerClubSeason_left.csv,title,2011 Chelsea L.F.C. season,0.6286
Venue_left.csv,title,Breakers Stadium,SoccerClubSeason_left.csv,title,2010 Boston Breakers season,0.6286
Venue_left.csv,title,Atlanta Silverbacks Park,SoccerClubSeason_left.csv,title,2013 Atlanta Silverbacks season,0.6286
Venue_left.csv,title,Breakers Stadium,SoccerClubSeason_left.csv,title,2013 Boston Breakers season,0.6286
