query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballLeagueSeason_left.csv,title,1968 calgary stampeders season,NationalFootballLeagueSeason_left,title,1968 calgary stampeders season,1.0000005960464478
FootballLeagueSeason_left.csv,title,1967 oakland raiders season,NationalFootballLeagueSeason_left,title,1967 oakland raiders season,1.0000005960464478
FootballLeagueSeason_left.csv,title,1990 pittsburgh steelers season,NationalFootballLeagueSeason_left,title,1990 pittsburgh steelers season,1.0000004768371582
FootballLeagueSeason_left.csv,title,2013 buffalo bills season,NationalFootballLeagueSeason_left,title,2013 buffalo bills season,1.0000004768371582
FootballLeagueSeason_left.csv,title,1992 seattle seahawks season,NationalFootballLeagueSeason_left,title,1992 seattle seahawks season,1.0000004768371582
FootballLeagueSeason_left.csv,title,1986 dallas cowboys season,NationalFootballLeagueSeason_left,title,1986 dallas cowboys season,1.0000004768371582
FootballLeagueSeason_left.csv,title,2013 chicago rush season,NationalFootballLeagueSeason_left,title,2013 chicago rush season,1.0000004768371582
FootballLeagueSeason_left.csv,title,2003 dallas cowboys season,NationalFootballLeagueSeason_left,title,2003 dallas cowboys season,1.0000003576278687
FootballLeagueSeason_left.csv,title,2013 tampa bay buccaneers season,NationalFootballLeagueSeason_left,title,2013 tampa bay buccaneers season,1.0000003576278687
FootballLeagueSeason_left.csv,title,1967 calgary stampeders season,NationalFootballLeagueSeason_left,title,1967 calgary stampeders season,1.0000003576278687
FootballLeagueSeason_left.csv,title,1897 latrobe athletic association season,NationalFootballLeagueSeason_left,title,1897 latrobe athletic association season,1.0000003576278687
FootballLeagueSeason_left.csv,title,2003 minnesota vikings season,NationalFootballLeagueSeason_left,title,2003 minnesota vikings season,1.0000003576278687
FootballLeagueSeason_left.csv,title,1978 pittsburgh steelers season,NationalFootballLeagueSeason_left,title,1978 pittsburgh steelers season,1.000000238418579
FootballLeagueSeason_left.csv,title,1985 detroit lions season,NationalFootballLeagueSeason_left,title,1985 detroit lions season,1.000000238418579
FootballLeagueSeason_left.csv,title,1985 atlanta falcons season,NationalFootballLeagueSeason_left,title,1985 atlanta falcons season,1.000000238418579
FootballLeagueSeason_left.csv,title,1972 detroit lions season,NationalFootballLeagueSeason_left,title,1972 detroit lions season,1.000000238418579
FootballLeagueSeason_left.csv,title,1975 detroit lions season,NationalFootballLeagueSeason_left,title,1975 detroit lions season,1.000000238418579
FootballLeagueSeason_left.csv,title,1975 cleveland browns season,NationalFootballLeagueSeason_left,title,1975 cleveland browns season,1.000000238418579
FootballLeagueSeason_left.csv,title,1962 dallas texans season,NationalFootballLeagueSeason_left,title,1962 dallas texans season,1.000000238418579
FootballLeagueSeason_left.csv,title,2012 toronto argonauts season,NationalFootballLeagueSeason_left,title,2012 toronto argonauts season,1.000000238418579
FootballLeagueSeason_left.csv,title,2007 cincinnati bengals season,NationalFootballLeagueSeason_left,title,2007 cincinnati bengals season,1.000000238418579
FootballLeagueSeason_left.csv,title,1985 chicago bears season,NationalFootballLeagueSeason_left,title,1985 chicago bears season,1.000000238418579
FootballLeagueSeason_left.csv,title,2004 new england patriots season,NationalFootballLeagueSeason_left,title,2004 new england patriots season,1.000000238418579
FootballLeagueSeason_left.csv,title,1941 toronto argonauts season,NationalFootballLeagueSeason_left,title,1941 toronto argonauts season,1.000000238418579
FootballLeagueSeason_left.csv,title,1983 pittsburgh steelers season,NationalFootballLeagueSeason_left,title,1983 pittsburgh steelers season,1.000000238418579
FootballLeagueSeason_left.csv,title,1992 calgary stampeders season,NationalFootballLeagueSeason_left,title,1992 calgary stampeders season,1.000000238418579
FootballLeagueSeason_left.csv,title,2006 montreal alouettes season,NationalFootballLeagueSeason_left,title,2006 montreal alouettes season,1.000000238418579
FootballLeagueSeason_left.csv,title,2004 cologne centurions season,NationalFootballLeagueSeason_left,title,2004 cologne centurions season,1.000000238418579
FootballLeagueSeason_left.csv,title,2008 baltimore ravens season,NationalFootballLeagueSeason_left,title,2008 baltimore ravens season,1.000000238418579
FootballLeagueSeason_left.csv,title,1926 providence steam roller season,NationalFootballLeagueSeason_left,title,1926 providence steam roller season,1.000000238418579
FootballLeagueSeason_left.csv,title,1955 pittsburgh steelers season,NationalFootballLeagueSeason_left,title,1955 pittsburgh steelers season,1.000000238418579
FootballLeagueSeason_left.csv,title,2005 toronto argonauts season,NationalFootballLeagueSeason_left,title,2005 toronto argonauts season,1.000000238418579
FootballLeagueSeason_left.csv,title,1936 detroit lions season,NationalFootballLeagueSeason_left,title,1936 detroit lions season,1.000000238418579
FootballLeagueSeason_left.csv,title,2007 marion mayhem season,NationalFootballLeagueSeason_left,title,2007 marion mayhem season,1.000000238418579
FootballLeagueSeason_left.csv,title,1987 detroit lions season,NationalFootballLeagueSeason_left,title,1987 detroit lions season,1.000000238418579
FootballLeagueSeason_left.csv,title,2005 seattle seahawks season,NationalFootballLeagueSeason_left,title,2005 seattle seahawks season,1.000000238418579
FootballLeagueSeason_left.csv,title,2006 green bay packers season,NationalFootballLeagueSeason_left,title,2006 green bay packers season,1.000000238418579
FootballLeagueSeason_left.csv,title,1988 detroit drive season,NationalFootballLeagueSeason_left,title,1988 detroit drive season,1.000000238418579
FootballLeagueSeason_left.csv,title,2004 toronto argonauts season,NationalFootballLeagueSeason_left,title,2004 toronto argonauts season,1.000000238418579
FootballLeagueSeason_left.csv,title,1979 cleveland browns season,NationalFootballLeagueSeason_left,title,1979 cleveland browns season,1.0000001192092896
