query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Galaxy_left.csv,title,ngc 6503,Galaxy_left,title,ngc 6503,1.0000005960464478
Galaxy_left.csv,title,ugc 5497,Galaxy_left,title,ugc 5497,1.0000004768371582
Galaxy_left.csv,title,ngc 1427a,Galaxy_left,title,ngc 1427a,1.0000004768371582
Galaxy_left.csv,title,ngc 6240,Galaxy_left,title,ngc 6240,1.0000004768371582
Galaxy_left.csv,title,ngc 2500,Galaxy_left,title,ngc 2500,1.0000004768371582
Galaxy_left.csv,title,ursa major ii dwarf,Galaxy_left,title,ursa major ii dwarf,1.0000004768371582
Galaxy_left.csv,title,ngc 7320,Galaxy_left,title,ngc 7320,1.0000004768371582
Galaxy_left.csv,title,ngc 1399,Galaxy_left,title,ngc 1399,1.0000004768371582
Galaxy_left.csv,title,ngc 4911,Galaxy_left,title,ngc 4911,1.0000004768371582
Galaxy_left.csv,title,messier 91,Galaxy_left,title,messier 91,1.0000004768371582
Galaxy_left.csv,title,ngc 4984,Galaxy_left,title,ngc 4984,1.0000004768371582
Galaxy_left.csv,title,ngc 42,Galaxy_left,title,ngc 42,1.0000003576278687
Galaxy_left.csv,title,ngc 5334,Galaxy_left,title,ngc 5334,1.0000003576278687
Galaxy_left.csv,title,ngc 5653,Galaxy_left,title,ngc 5653,1.0000003576278687
Galaxy_left.csv,title,dwingeloo 1,Galaxy_left,title,dwingeloo 1,1.0000003576278687
Galaxy_left.csv,title,sextans b,Galaxy_left,title,sextans b,1.0000003576278687
Galaxy_left.csv,title,ngc 4874,Galaxy_left,title,ngc 4874,1.0000003576278687
Galaxy_left.csv,title,ngc 5821,Galaxy_left,title,ngc 5821,1.0000003576278687
Galaxy_left.csv,title,mice galaxies,Galaxy_left,title,mice galaxies,1.0000003576278687
Galaxy_left.csv,title,ngc 4650a,Galaxy_left,title,ngc 4650a,1.0000003576278687
Galaxy_left.csv,title,ngc 5615,Galaxy_left,title,ngc 5615,1.0000003576278687
Galaxy_left.csv,title,large magellanic cloud,Galaxy_left,title,large magellanic cloud,1.0000003576278687
Galaxy_left.csv,title,ngc 5033,Galaxy_left,title,ngc 5033,1.0000003576278687
Galaxy_left.csv,title,pgc 214560,Galaxy_left,title,pgc 214560,1.0000003576278687
Galaxy_left.csv,title,leda 074886,Galaxy_left,title,leda 074886,1.0000003576278687
Galaxy_left.csv,title,ngc 4550,Galaxy_left,title,ngc 4550,1.0000003576278687
Galaxy_left.csv,title,ngc 5371,Galaxy_left,title,ngc 5371,1.0000003576278687
Galaxy_left.csv,title,ngc 43,Galaxy_left,title,ngc 43,1.0000003576278687
Galaxy_left.csv,title,ngc 3982,Galaxy_left,title,ngc 3982,1.0000003576278687
Galaxy_left.csv,title,ngc 11,Galaxy_left,title,ngc 11,1.000000238418579
Galaxy_left.csv,title,ngc 3554,Galaxy_left,title,ngc 3554,1.000000238418579
Galaxy_left.csv,title,ngc 3808a,Galaxy_left,title,ngc 3808a,1.000000238418579
Galaxy_left.csv,title,ngc 5090 and ngc 5091,Galaxy_left,title,ngc 5090 and ngc 5091,1.000000238418579
Galaxy_left.csv,title,ngc 520,Galaxy_left,title,ngc 520,1.000000238418579
Galaxy_left.csv,title,ngc 1260,Galaxy_left,title,ngc 1260,1.000000238418579
Galaxy_left.csv,title,ngc 5754,Galaxy_left,title,ngc 5754,1.000000238418579
Galaxy_left.csv,title,ngc 3938,Galaxy_left,title,ngc 3938,1.000000238418579
Galaxy_left.csv,title,sunflower galaxy,Galaxy_left,title,sunflower galaxy,1.000000238418579
Galaxy_left.csv,title,ngc 5829,Galaxy_left,title,ngc 5829,1.000000238418579
Galaxy_left.csv,title,ngc 1512,Galaxy_left,title,ngc 1512,1.000000238418579
Galaxy_left.csv,title,ngc 3621,Galaxy_left,title,ngc 3621,1.000000238418579
Galaxy_left.csv,title,arp 104,Galaxy_left,title,arp 104,1.000000238418579
Galaxy_left.csv,title,ngc 6027c,Galaxy_left,title,ngc 6027c,1.000000238418579
Galaxy_left.csv,title,ngc 7673,Galaxy_left,title,ngc 7673,1.000000238418579
Galaxy_left.csv,title,isohdfs 27,Galaxy_left,title,isohdfs 27,1.000000238418579
