query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Galaxy_left.csv,title,iok-1,GivenName_left,title,iori,0.7336710691452026
Galaxy_left.csv,title,maffei 2,GivenName_left,title,motoki,0.7318418622016907
Galaxy_left.csv,title,leda 074886,GivenName_left,title,dara,0.7267166376113892
Galaxy_left.csv,title,virgohi21,GivenName_left,title,viljo,0.7205497026443481
Galaxy_left.csv,title,maffei 1,GivenName_left,title,maalouf,0.705452561378479
Galaxy_left.csv,title,antlia dwarf,GivenName_left,title,anthea,0.6922215819358826
Galaxy_left.csv,title,i zwicky 18,GivenName_left,title,zbyszko,0.6873824596405029
Galaxy_left.csv,title,dwingeloo 1,GivenName_left,title,gaddo,0.6857108473777771
Galaxy_left.csv,title,rd1,GivenName_left,title,ruriko,0.6854672431945801
Galaxy_left.csv,title,malin 1,GivenName_left,title,mokuan,0.6845166683197021
Galaxy_left.csv,title,sombrero galaxy,GivenName_left,title,sorcha,0.6798087358474731
Galaxy_left.csv,title,cygnus a,GivenName_left,title,quintus,0.6766361594200134
Galaxy_left.csv,title,macs0647-jd,GivenName_left,title,mac raghnaill,0.6621465682983398
Galaxy_left.csv,title,mb 3,GivenName_left,title,motonobu,0.6592018008232117
Galaxy_left.csv,title,leo a,GivenName_left,title,alvina,0.656194806098938
Galaxy_left.csv,title,ugc 5692,GivenName_left,title,junji,0.6540364027023315
Galaxy_left.csv,title,hudf-jd2,GivenName_left,title,hakan,0.6458992958068848
Galaxy_left.csv,title,sextans a,GivenName_left,title,antanas,0.6446588635444641
Galaxy_left.csv,title,andromeda x,GivenName_left,title,andriy,0.6423303484916687
Galaxy_left.csv,title,dwingeloo 2,GivenName_left,title,tadanao,0.6394813656806946
Galaxy_left.csv,title,ugc 9618,GivenName_left,title,yasuharu,0.6383607387542725
Galaxy_left.csv,title,eso 306-17,GivenName_left,title,ladislao,0.636634349822998
Galaxy_left.csv,title,ugc 8091,GivenName_left,title,umeko,0.6287593841552734
Galaxy_left.csv,title,rxj1242-11,GivenName_left,title,mihajlo,0.6249313950538635
Galaxy_left.csv,title,zw ii 96,GivenName_left,title,zsuzsanna,0.6234748363494873
Galaxy_left.csv,title,arp 104,GivenName_left,title,arvi,0.6209842562675476
Galaxy_left.csv,title,a1689-zd1,GivenName_left,title,zbigniew,0.619213342666626
Galaxy_left.csv,title,ugc 5497,GivenName_left,title,priidu,0.617286741733551
Galaxy_left.csv,title,ugc 2140,GivenName_left,title,gaku,0.6141127347946167
Galaxy_left.csv,title,markarian 231,GivenName_left,title,miervaldis,0.6100549697875977
Galaxy_left.csv,title,lbg-2377,GivenName_left,title,areg,0.6097310185432434
Galaxy_left.csv,title,ursa minor dwarf,GivenName_left,title,urmas,0.6060364246368408
Galaxy_left.csv,title,eyes galaxies,GivenName_left,title,eyerusalem,0.6038438081741333
Galaxy_left.csv,title,cetus dwarf,GivenName_left,title,ceyda,0.6029784083366394
Galaxy_left.csv,title,hercules a,GivenName_left,title,anastasius,0.6014153957366943
