query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
PoliticalParty_left.csv,title,united poland,Country_left,title,poland,0.911432147026062
PoliticalParty_left.csv,title,prosperous armenia,Country_left,title,armenia,0.8853734731674194
PoliticalParty_left.csv,title,lithuanian russian union,Country_left,title,lithuania,0.8533570170402527
PoliticalParty_left.csv,title,communist party of kampuchea,Country_left,title,democratic kampuchea,0.842697024345398
PoliticalParty_left.csv,title,bharipa bahujan mahasangh,Country_left,title,mahajanapada,0.8350613117218018
PoliticalParty_left.csv,title,cameroon national union,Country_left,title,cameroon,0.8321624994277954
PoliticalParty_left.csv,title,people's union of estonia,Country_left,title,estonia,0.8319799900054932
PoliticalParty_left.csv,title,croatian democratic union of bosnia and herzegovina,Country_left,title,republic of serbian krajina,0.8297601938247681
PoliticalParty_left.csv,title,united congolese convention,Country_left,title,republic of the congo,0.8290331363677979
PoliticalParty_left.csv,title,kenya people's union,Country_left,title,kenya,0.8238469362258911
PoliticalParty_left.csv,title,chadema,Country_left,title,chad,0.8232226371765137
PoliticalParty_left.csv,title,united people of cambodia,Country_left,title,cambodia,0.8223831057548523
PoliticalParty_left.csv,title,cameroonian union,Country_left,title,french cameroons,0.8195136785507202
PoliticalParty_left.csv,title,fatherland (kazakhstan),Country_left,title,kazakhstan,0.8194078207015991
PoliticalParty_left.csv,title,progress party of equatorial guinea,Country_left,title,equatorial guinea,0.8160330057144165
PoliticalParty_left.csv,title,people's mujahedin of iran,Country_left,title,muzaffarids of iran,0.8160317540168762
PoliticalParty_left.csv,title,kalibapi,Country_left,title,kalingga,0.814409077167511
PoliticalParty_left.csv,title,sierra leone people's party,Country_left,title,sierra leone,0.8138622045516968
PoliticalParty_left.csv,title,jeunesse gabonais,Country_left,title,gabon,0.8067792654037476
PoliticalParty_left.csv,title,deutscher volksverband,Country_left,title,vogtei rheintal,0.8053115606307983
PoliticalParty_left.csv,title,aruaa,Country_left,title,anga,0.8019686937332153
PoliticalParty_left.csv,title,jeay sindh qaumi mahaz,Country_left,title,azad hind,0.8019638061523438
PoliticalParty_left.csv,title,african development movement,Country_left,title,southern african development community,0.7999982833862305
PoliticalParty_left.csv,title,indian uzhavar uzhaippalar katchi,Country_left,title,uyghur khaganate,0.7991765737533569
PoliticalParty_left.csv,title,communist party of kyrgyzstan,Country_left,title,kyrgyzstan,0.7957102656364441
PoliticalParty_left.csv,title,union of democratic forces (mauritania),Country_left,title,mauritania,0.794028103351593
PoliticalParty_left.csv,title,dominica freedom party,Country_left,title,dominica,0.7923597097396851
PoliticalParty_left.csv,title,khana ratsadon,Country_left,title,rouran khaganate,0.7923203706741333
PoliticalParty_left.csv,title,lesotho congress for democracy,Country_left,title,lesotho,0.7900773286819458
PoliticalParty_left.csv,title,project venezuela,Country_left,title,venezuela,0.7847305536270142
PoliticalParty_left.csv,title,tamil desiyak katchi,Country_left,title,keladi nayaka,0.7790557146072388
PoliticalParty_left.csv,title,alliance for the republic (nicaragua),Country_left,title,nicaragua,0.7784537672996521
PoliticalParty_left.csv,title,hellenic front,Country_left,title,greece,0.7777453660964966
PoliticalParty_left.csv,title,democratic renewal (lebanon),Country_left,title,lebanon,0.7775392532348633
PoliticalParty_left.csv,title,janganotantrik morcha,Country_left,title,janggala,0.774867832660675
PoliticalParty_left.csv,title,voerbelangen,Country_left,title,vogtland,0.7727420330047607
PoliticalParty_left.csv,title,serbian radical party,Country_left,title,republika srpska,0.7717233896255493
PoliticalParty_left.csv,title,hamas,Country_left,title,israel,0.7709579467773438
PoliticalParty_left.csv,title,swabhimani paksha,Country_left,title,singhasari,0.7704043388366699
PoliticalParty_left.csv,title,gabriela,Country_left,title,francia,0.7702740430831909
PoliticalParty_left.csv,title,russian unity,Country_left,title,soviet union,0.7673029899597168
PoliticalParty_left.csv,title,slovene union,Country_left,title,slovenia,0.7663096189498901
PoliticalParty_left.csv,title,national party of honduras,Country_left,title,honduras,0.7660748958587646
PoliticalParty_left.csv,title,concordancia (argentina),Country_left,title,argentina,0.7646763920783997
PoliticalParty_left.csv,title,broad front (uruguay),Country_left,title,uruguay,0.7636902928352356
PoliticalParty_left.csv,title,shas,Country_left,title,shaki khanate,0.7633745670318604
PoliticalParty_left.csv,title,nigerien party for democracy and socialism,Country_left,title,niger,0.7616966962814331
PoliticalParty_left.csv,title,people first party (south korea),Country_left,title,people's republic of korea,0.7606391310691833
PoliticalParty_left.csv,title,khmer people's national liberation front,Country_left,title,provisional government of national union and national salvation of cambodia,0.7600752115249634
PoliticalParty_left.csv,title,new korea party,Country_left,title,provisional people's committee for north korea,0.7600487470626831
PoliticalParty_left.csv,title,hong kong civic association,Country_left,title,hong kong,0.7597488164901733
PoliticalParty_left.csv,title,people's alliance (iceland),Country_left,title,iceland,0.7581250667572021
PoliticalParty_left.csv,title,iraqi accord front,Country_left,title,ba'athist iraq,0.7541266679763794
PoliticalParty_left.csv,title,national democratic alliance (kuwait),Country_left,title,kuwait,0.7535600066184998
PoliticalParty_left.csv,title,rodina,Country_left,title,lazica,0.752660870552063
PoliticalParty_left.csv,title,belarusian christian democracy,Country_left,title,belarusian central rada,0.7493318915367126
PoliticalParty_left.csv,title,jamiat-e islami,Country_left,title,almohad caliphate,0.7492386698722839
PoliticalParty_left.csv,title,ambedkar makkal katchi,Country_left,title,maukhari,0.7486770153045654
PoliticalParty_left.csv,title,timorese social democratic association,Country_left,title,united nations transitional administration in east timor,0.7470576763153076
PoliticalParty_left.csv,title,qaumi watan party,Country_left,title,qasim khanate,0.7462092638015747
PoliticalParty_left.csv,title,cuban democratic socialist current,Country_left,title,cuba,0.7459768056869507
PoliticalParty_left.csv,title,patriotic union of kurdistan,Country_left,title,kuban people's republic,0.7459453344345093
PoliticalParty_left.csv,title,periyar dravidar kazhagam,Country_left,title,kahuripan,0.7441057562828064
