query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Reptile_left.csv,title,uroplatus fimbriatus,Amphibian_right,title,uraeotyphlus interruptus,0.8330435752868652
Reptile_left.csv,title,graciliscincus shonae,Amphibian_right,title,grandisonia brevis,0.8309688568115234
Reptile_left.csv,title,sceloporus angustus,Amphibian_right,title,scolecomorphus uluguruensis,0.8258885145187378
Reptile_left.csv,title,leptotyphlops affinis,Amphibian_right,title,leptodactylus marmoratus,0.8257638216018677
Reptile_left.csv,title,epicrates cenchria maurus,Amphibian_right,title,epicrionops lativittatus,0.8194277882575989
Reptile_left.csv,title,eutropis multifasciata,Amphibian_right,title,eurycea quadridigitata,0.8149063587188721
Reptile_left.csv,title,short-tailed horned lizard,Amphibian_right,title,long-nosed horned frog,0.810043454170227
Reptile_left.csv,title,ctenophorus maculosus,Amphibian_right,title,rhacophorus cyanopunctatus,0.8091021776199341
Reptile_left.csv,title,blue-spotted wood lizard,Amphibian_right,title,blue-spotted salamander,0.7973712682723999
Reptile_left.csv,title,lampropeltis pyromelana,Amphibian_right,title,litoria pygmaea,0.7956076860427856
Reptile_left.csv,title,ctenophorus,Amphibian_right,title,ctenophryne geayi,0.7885964512825012
Reptile_left.csv,title,crotaphytus,Amphibian_right,title,crotaphatrema lamottei,0.7880523800849915
Reptile_left.csv,title,giant horned lizard,Amphibian_right,title,giant barred frog,0.7872734069824219
Reptile_left.csv,title,phelsuma sundbergi ladiguensis,Amphibian_right,title,phrynomedusa fimbriata,0.7857446670532227
Reptile_left.csv,title,philippine sailfin lizard,Amphibian_right,title,philippine toad,0.7794376611709595
Reptile_left.csv,title,atractaspididae,Amphibian_right,title,arthroleptis sylvaticus,0.7792227268218994
Reptile_left.csv,title,sombrero ameiva,Amphibian_right,title,ameerega boliviana,0.7792118787765503
Reptile_left.csv,title,brookesia nasus,Amphibian_right,title,ranitomeya claudiae,0.7776894569396973
Reptile_left.csv,title,tasmanian tree skink,Amphibian_right,title,tasmanian tree frog,0.7751095294952393
Reptile_left.csv,title,calliophis bivirgatus,Amphibian_right,title,aplastodiscus callipygius,0.7749812602996826
Reptile_left.csv,title,many-banded tree snake,Amphibian_right,title,many-banded tree frog,0.7739933729171753
Reptile_left.csv,title,scincopus fasciatus,Amphibian_right,title,scolecomorphus vittatus,0.7719389796257019
Reptile_left.csv,title,plestiodon,Amphibian_right,title,plethodon albagula,0.7688536047935486
Reptile_left.csv,title,lycodonomorphus,Amphibian_right,title,lyciasalamandra helverseni,0.7685786485671997
Reptile_left.csv,title,southern alligator lizard,Amphibian_right,title,southern giant salamander,0.7685583829879761
Reptile_left.csv,title,brookesia lolontany,Amphibian_right,title,litoria wollastoni,0.765914797782898
Reptile_left.csv,title,tropidophorus,Amphibian_right,title,rhacophorus taipeianus,0.7654803991317749
Reptile_left.csv,title,tiger snake,Amphibian_right,title,tiger salamander,0.7632554769515991
Reptile_left.csv,title,durango mud turtle,Amphibian_right,title,durango salamander,0.7629313468933105
Reptile_left.csv,title,crocodylus novaeguinae,Amphibian_right,title,neurergus crocatus,0.7624840140342712
Reptile_left.csv,title,cape flat lizard,Amphibian_right,title,cape mountain toad,0.7598710656166077
Reptile_left.csv,title,homopholis,Amphibian_right,title,hypogeophis,0.75882488489151
Reptile_left.csv,title,flat-tail horned lizard,Amphibian_right,title,spotted-tail salamander,0.7586212754249573
Reptile_left.csv,title,spotted flat lizard,Amphibian_right,title,spotted salamander,0.7545318603515625
Reptile_left.csv,title,anotosaura,Amphibian_right,title,anotheca spinosa,0.7543379068374634
Reptile_left.csv,title,trimeresurus fasciatus,Amphibian_right,title,eurycea robusta,0.7533295154571533
Reptile_left.csv,title,cape grass lizard,Amphibian_right,title,cape river frog,0.7530381083488464
Reptile_left.csv,title,sekukhune flat lizard,Amphibian_right,title,kuankuoshui salamander,0.7522541284561157
Reptile_left.csv,title,pararhadinaea melanogaster,Amphibian_right,title,rhacophorus pardalis,0.7517687082290649
Reptile_left.csv,title,abronia taeniata,Amphibian_right,title,rhinella amabilis,0.7506881952285767
Reptile_left.csv,title,western green lizard,Amphibian_right,title,western spotted frog,0.7502912282943726
Reptile_left.csv,title,scincella sikkimensis,Amphibian_right,title,ichthyophis sikkimensis,0.7480117678642273
Reptile_left.csv,title,roundtail horned lizard,Amphibian_right,title,rocky mountain toad,0.7478983402252197
Reptile_left.csv,title,mexican horned lizard,Amphibian_right,title,mexican burrowing toad,0.7478361129760742
Reptile_left.csv,title,sphaerodactylus,Amphibian_right,title,eleutherodactylus verrucipes,0.7474669218063354
Reptile_left.csv,title,eastern blue-tongued lizard,Amphibian_right,title,blue ridge gray-cheeked salamander,0.7472825050354004
Reptile_left.csv,title,ornithocheirus buenzeli,Amphibian_right,title,bolitoglossa helmrichi,0.7465176582336426
Reptile_left.csv,title,mosor rock lizard,Amphibian_right,title,grotto salamander,0.7460511326789856
Reptile_left.csv,title,boulengerina,Amphibian_right,title,bolitoglossa borburata,0.7450050115585327
Reptile_left.csv,title,rhinoceros iguana,Amphibian_right,title,cagua tree frog,0.7448654174804688
Reptile_left.csv,title,seychelles skink,Amphibian_right,title,seychelles treefrog,0.7447601556777954
Reptile_left.csv,title,leiolopisma,Amphibian_right,title,litoria aruensis,0.7437639236450195
Reptile_left.csv,title,chinese water snake,Amphibian_right,title,chinese fire belly newt,0.7435207366943359
Reptile_left.csv,title,pantherophis vulpina,Amphibian_right,title,epicrionops parkeri,0.7430388927459717
Reptile_left.csv,title,small-spotted lizard,Amphibian_right,title,small frog,0.7427515983581543
Reptile_left.csv,title,mud snake,Amphibian_right,title,red river mudpuppy,0.742132306098938
Reptile_left.csv,title,amphiesma platyceps,Amphibian_right,title,ambystoma texanum,0.7409548163414001
Reptile_left.csv,title,spineless forest lizard,Amphibian_right,title,spine-fingered tree frog,0.7405591607093811
Reptile_left.csv,title,northern alligator lizard,Amphibian_right,title,northern barred frog,0.7402958869934082
Reptile_left.csv,title,roque chico de salmor giant lizard,Amphibian_right,title,veragua stubfoot toad,0.7398141026496887
Reptile_left.csv,title,desert kingsnake,Amphibian_right,title,desert spadefoot toad,0.7396857142448425
Reptile_left.csv,title,varanus albigularis,Amphibian_right,title,albericus rhenaurum,0.7395845651626587
Reptile_left.csv,title,gulf coast horned lizard,Amphibian_right,title,blanco river springs salamander,0.7391059398651123
Reptile_left.csv,title,northern desert horned lizard,Amphibian_right,title,desert tree frog,0.7390419840812683
Reptile_left.csv,title,chapinophis xanthocheilus,Amphibian_right,title,ichthyophis husaini,0.7389081716537476
Reptile_left.csv,title,leptodeira,Amphibian_right,title,litoria leucova,0.737821102142334
Reptile_left.csv,title,stoliczkaia khasiensis,Amphibian_right,title,neurergus strauchii,0.7363040447235107
Reptile_left.csv,title,japalura,Amphibian_right,title,jabiru toadlet,0.7362411022186279
Reptile_left.csv,title,acontias,Amphibian_right,title,acris crepitans,0.7356421947479248
Reptile_left.csv,title,platysaurus,Amphibian_right,title,plethodon glutinosus,0.7350195646286011
Reptile_left.csv,title,hydrophis mammilaris,Amphibian_right,title,hyloxalus chlorocraspedus,0.7342543601989746
Reptile_left.csv,title,horned wood lizard,Amphibian_right,title,larch mountain salamander,0.7342337369918823
Reptile_left.csv,title,mozambique girdled lizard,Amphibian_right,title,banded banana frog,0.7338935136795044
Reptile_left.csv,title,brookesia dentata,Amphibian_right,title,caudacaecilia weberi,0.7336708307266235
