query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SoccerTournament_left.csv,title,2009 concacaf u-17 championship,SoccerTournament_left,title,2009 concacaf u-17 championship,1.0000004768371582
SoccerTournament_left.csv,title,2007 merdeka tournament,SoccerTournament_left,title,2007 merdeka tournament,1.0000004768371582
SoccerTournament_left.csv,title,2012 mac men's soccer tournament,SoccerTournament_left,title,2012 mac men's soccer tournament,1.0000004768371582
SoccerTournament_left.csv,title,2008 myanmar grand royal challenge cup,SoccerTournament_left,title,2008 myanmar grand royal challenge cup,1.0000004768371582
SoccerTournament_left.csv,title,2005 aff u-23 youth championship,SoccerTournament_left,title,2005 aff u-23 youth championship,1.0000004768371582
SoccerTournament_left.csv,title,2013 fifa club world cup,SoccerTournament_left,title,2013 fifa club world cup,1.0000004768371582
SoccerTournament_left.csv,title,2008 concacaf beach soccer championship,SoccerTournament_left,title,2008 concacaf beach soccer championship,1.0000003576278687
SoccerTournament_left.csv,title,men's football at the 2011 pacific games,SoccerTournament_left,title,men's football at the 2011 pacific games,1.0000003576278687
SoccerTournament_left.csv,title,2011 copa paulista,SoccerTournament_left,title,2011 copa paulista,1.0000003576278687
SoccerTournament_left.csv,title,2010 aff u-16 youth championship,SoccerTournament_left,title,2010 aff u-16 youth championship,1.0000003576278687
SoccerTournament_left.csv,title,2006 ofc club championship,SoccerTournament_left,title,2006 ofc club championship,1.0000003576278687
SoccerTournament_left.csv,title,2012 kalimantan men's pre-pon tournament,SoccerTournament_left,title,2012 kalimantan men's pre-pon tournament,1.0000003576278687
SoccerTournament_left.csv,title,2002 copa do brasil,SoccerTournament_left,title,2002 copa do brasil,1.0000003576278687
SoccerTournament_left.csv,title,football at the 2001 maccabiah games,SoccerTournament_left,title,football at the 2001 maccabiah games,1.0000003576278687
SoccerTournament_left.csv,title,football at the 2014 summer youth olympics,SoccerTournament_left,title,football at the 2014 summer youth olympics,1.0000003576278687
SoccerTournament_left.csv,title,2012 mpsf men's soccer tournament,SoccerTournament_left,title,2012 mpsf men's soccer tournament,1.0000003576278687
SoccerTournament_left.csv,title,football at the 2009 maccabiah games,SoccerTournament_left,title,football at the 2009 maccabiah games,1.0000003576278687
SoccerTournament_left.csv,title,uefa euro 2012,SoccerTournament_left,title,uefa euro 2012,1.0000003576278687
SoccerTournament_left.csv,title,2018 fifa world cup,SoccerTournament_left,title,2018 fifa world cup,1.000000238418579
SoccerTournament_left.csv,title,2010 cecafa u-20 championship,SoccerTournament_left,title,2010 cecafa u-20 championship,1.000000238418579
SoccerTournament_left.csv,title,football at the 2005 maccabiah games,SoccerTournament_left,title,football at the 2005 maccabiah games,1.000000238418579
SoccerTournament_left.csv,title,2009 copa libertadores femenina,SoccerTournament_left,title,2009 copa libertadores femenina,1.000000238418579
SoccerTournament_left.csv,title,2008 fifa u-17 women's world cup,SoccerTournament_left,title,2008 fifa u-17 women's world cup,1.000000238418579
SoccerTournament_left.csv,title,2009 cecafa u-17 championship,SoccerTournament_left,title,2009 cecafa u-17 championship,1.000000238418579
SoccerTournament_left.csv,title,2012 deildabikar,SoccerTournament_left,title,2012 deildabikar,1.000000238418579
SoccerTournament_left.csv,title,2009 euro beach soccer cup,SoccerTournament_left,title,2009 euro beach soccer cup,1.000000238418579
SoccerTournament_left.csv,title,2012 unaf u-20 tournament,SoccerTournament_left,title,2012 unaf u-20 tournament,1.000000238418579
SoccerTournament_left.csv,title,2012 u-20 copa libertadores,SoccerTournament_left,title,2012 u-20 copa libertadores,1.000000238418579
SoccerTournament_left.csv,title,2009 al-fateh confederations futsal cup,SoccerTournament_left,title,2009 al-fateh confederations futsal cup,1.000000238418579
SoccerTournament_left.csv,title,2014 fifa club world cup,SoccerTournament_left,title,2014 fifa club world cup,1.000000238418579
SoccerTournament_left.csv,title,2013 mls cup playoffs,SoccerTournament_left,title,2013 mls cup playoffs,1.000000238418579
SoccerTournament_left.csv,title,1988 cfu championship,SoccerTournament_left,title,1988 cfu championship,1.000000238418579
SoccerTournament_left.csv,title,2003 cosafa cup,SoccerTournament_left,title,2003 cosafa cup,1.000000238418579
SoccerTournament_left.csv,title,2007 uefa european under-19 football championship,SoccerTournament_left,title,2007 uefa european under-19 football championship,1.000000238418579
SoccerTournament_left.csv,title,1991 copa libertadores,SoccerTournament_left,title,1991 copa libertadores,1.000000238418579
SoccerTournament_left.csv,title,uefa women's euro 1991,SoccerTournament_left,title,uefa women's euro 1991,1.000000238418579
SoccerTournament_left.csv,title,2013 cfu club championship,SoccerTournament_left,title,2013 cfu club championship,1.000000238418579
SoccerTournament_left.csv,title,2013 futsal confederations cup,SoccerTournament_left,title,2013 futsal confederations cup,1.000000238418579
