query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SoccerTournament_left.csv,title,2011 kazakhstan cup,TennisTournament_left,title,2009 almaty cup,0.8986966609954834
SoccerTournament_left.csv,title,2011 armenian cup,TennisTournament_left,title,2011 ankara cup,0.8921850919723511
SoccerTournament_left.csv,title,2012 santosh trophy,TennisTournament_left,title,2012 ethias trophy,0.8835136890411377
SoccerTournament_left.csv,title,2013 kazakhstan cup,TennisTournament_left,title,2012 siberia cup,0.8797488212585449
SoccerTournament_left.csv,title,apertura 2012 copa mx,TennisTournament_left,title,2012 copa agco cordoba,0.8733806610107422
SoccerTournament_left.csv,title,2009 cosafa cup,TennisTournament_left,title,2009 mordovia cup,0.8626574277877808
SoccerTournament_left.csv,title,2012 ncell cup,TennisTournament_left,title,2012 its cup,0.8614674806594849
SoccerTournament_left.csv,title,2012 mff cup,TennisTournament_left,title,2012 lermontov cup,0.8612985610961914
SoccerTournament_left.csv,title,2012 national women's cup,TennisTournament_left,title,2012 fukuoka international women's cup,0.8563166856765747
SoccerTournament_left.csv,title,2009 canadian championship,TennisTournament_left,title,2009 rogers cup,0.8494387865066528
SoccerTournament_left.csv,title,2012 waratah cup,TennisTournament_left,title,2012 empire trnava cup,0.848472535610199
SoccerTournament_left.csv,title,2000 copa apertura,TennisTournament_left,title,2013 torneo internacional agt,0.8455651998519897
SoccerTournament_left.csv,title,2012 emir of qatar cup,TennisTournament_left,title,2012 qatar airways tournament of champions,0.8453242778778076
SoccerTournament_left.csv,title,2009 armenian cup,TennisTournament_left,title,2012 ankara cup,0.8427340388298035
SoccerTournament_left.csv,title,2009 cecafa cup,TennisTournament_left,title,2009 oberstaufen cup,0.8415488004684448
SoccerTournament_left.csv,title,2009 algarve cup,TennisTournament_left,title,2009 trani cup,0.8383816480636597
SoccerTournament_left.csv,title,2000 copa bolivia,TennisTournament_left,title,2012 copa san juan gobierno,0.8372286558151245
SoccerTournament_left.csv,title,2010 emperor's cup,TennisTournament_left,title,2010 oberstaufen cup,0.8372046947479248
SoccerTournament_left.csv,title,1995 canada cup,TennisTournament_left,title,2005 rogers cup,0.8362257480621338
SoccerTournament_left.csv,title,2010 a championship cup,TennisTournament_left,title,2010 trani cup,0.8361515998840332
SoccerTournament_left.csv,title,2011 vff cup,TennisTournament_left,title,2012 viccourt cup,0.8351860642433167
SoccerTournament_left.csv,title,1997 qatar crown prince cup,TennisTournament_left,title,2013 qatar airways tournament of champions,0.8335320949554443
SoccerTournament_left.csv,title,2012 copa sudamericana,TennisTournament_left,title,2012 copa topper,0.831185519695282
SoccerTournament_left.csv,title,2013 santosh trophy,TennisTournament_left,title,2009 ipp trophy,0.8305663466453552
SoccerTournament_left.csv,title,2006 cosafa cup,TennisTournament_left,title,2010 penza cup,0.828066349029541
SoccerTournament_left.csv,title,2009 copa pachuca,TennisTournament_left,title,2009 copa sevilla,0.8276208639144897
SoccerTournament_left.csv,title,1999 cosafa cup,TennisTournament_left,title,1999 newsweek champions cup and the evert cup,0.8268396854400635
SoccerTournament_left.csv,title,2003 cemac cup,TennisTournament_left,title,2003 hopman cup,0.8263567686080933
SoccerTournament_left.csv,title,2011 canadian championship,TennisTournament_left,title,2008 rogers cup,0.8227930068969727
