query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Award_left.csv,title,ekushey padak,MemberOfParliament_left,title,t. b. ekanayake,0.7845714092254639
Award_left.csv,title,kalaimamani,MemberOfParliament_left,title,tuiti makitanara,0.770517110824585
Award_left.csv,title,guldbollen,MemberOfParliament_left,title,gurmant grewal,0.7533460855484009
Award_left.csv,title,sanatan sangeet sanskriti,MemberOfParliament_left,title,sivasakthy ananthan,0.735143780708313
Award_left.csv,title,bouchercon xvii,MemberOfParliament_left,title,pierre-ernest boivin,0.7198929786682129
Award_left.csv,title,georg-christoph-lichtenberg-preis,MemberOfParliament_left,title,dagmar belakowitsch-jenewein,0.7170604467391968
Award_left.csv,title,the bowerman,MemberOfParliament_left,title,john oates bower,0.7160146236419678
Award_left.csv,title,lennart johanssons pokal,MemberOfParliament_left,title,jytte klausen,0.7108606100082397
Award_left.csv,title,bouchercon xxxix,MemberOfParliament_left,title,rodrigue bourdages,0.7043982744216919
Award_left.csv,title,netet e klipit shqiptar,MemberOfParliament_left,title,selvarajah kajendren,0.70326167345047
Award_left.csv,title,udaya film awards,MemberOfParliament_left,title,udith lokubandara,0.6892685890197754
Award_left.csv,title,bouchercon xli,MemberOfParliament_left,title,william albert boucher,0.6888379454612732
Award_left.csv,title,stora journalistpriset,MemberOfParliament_left,title,borys wrzesnewskyj,0.6820478439331055
Award_left.csv,title,anthony awards,MemberOfParliament_left,title,anthony favell,0.6780936121940613
Award_left.csv,title,john mackey award,MemberOfParliament_left,title,john mcallion,0.6765811443328857
Award_left.csv,title,nishina memorial prize,MemberOfParliament_left,title,s. nijamudeen,0.6744567155838013
Award_left.csv,title,kalakar awards,MemberOfParliament_left,title,wijeyadasa rajapakshe,0.6739007830619812
Award_left.csv,title,kerala state film award,MemberOfParliament_left,title,deepal gunasekara,0.6718113422393799
Award_left.csv,title,bouchercon xxx,MemberOfParliament_left,title,fabien boisvert,0.660706639289856
Award_left.csv,title,candide preis,MemberOfParliament_left,title,christiane gagnon,0.6400351524353027
Award_left.csv,title,filmfare awards,MemberOfParliament_left,title,r. m. padma udhaya shantha gunasekera,0.6393306255340576
Award_left.csv,title,tony conigliaro award,MemberOfParliament_left,title,tony tirabassi,0.6380470991134644
Award_left.csv,title,khwarizmi international award,MemberOfParliament_left,title,s. j. v. chelvanayakam,0.6368355751037598
Award_left.csv,title,anugerah planet muzik,MemberOfParliament_left,title,a. r. anjan umma,0.6364303231239319
Award_left.csv,title,paeksang arts awards,MemberOfParliament_left,title,alhassan azong,0.632842481136322
Award_left.csv,title,gustaf vi adolfs pokal,MemberOfParliament_left,title,eruera tirikatene,0.6317535638809204
Award_left.csv,title,kerala film critics association awards,MemberOfParliament_left,title,lakshman yapa abeywardena,0.6315728425979614
Award_left.csv,title,guy medal,MemberOfParliament_left,title,guy lauzon,0.6291366815567017
Award_left.csv,title,anton tedesko medal,MemberOfParliament_left,title,anton weselak,0.6289900541305542
Award_left.csv,title,armia krajowa cross,MemberOfParliament_left,title,cletus avoka,0.6287488341331482
Award_left.csv,title,suvarna film awards,MemberOfParliament_left,title,athuraliye rathana thero,0.6255930066108704
Award_left.csv,title,kodansha manga award,MemberOfParliament_left,title,mangala samaraweera,0.6215012073516846
Award_left.csv,title,seiun award,MemberOfParliament_left,title,lakshman senewiratne,0.6214741468429565
Award_left.csv,title,tarang cine awards,MemberOfParliament_left,title,tuan burhanudeen jayah,0.6213352680206299
Award_left.csv,title,asian paints sharad shamman,MemberOfParliament_left,title,makhdoom khusro bakhtiar,0.6203595995903015
Award_left.csv,title,nikkan sports film award,MemberOfParliament_left,title,akila viraj kariyawasam,0.6180045008659363
Award_left.csv,title,kavli prize,MemberOfParliament_left,title,p.b.g. kalugalla,0.6178116798400879
Award_left.csv,title,nea jazz masters,MemberOfParliament_left,title,louis-paul neveu,0.6176406145095825
Award_left.csv,title,john tyndall award,MemberOfParliament_left,title,john tia,0.6174866557121277
Award_left.csv,title,seiyu awards,MemberOfParliament_left,title,sej motau,0.6163692474365234
Award_left.csv,title,shogakukan manga award,MemberOfParliament_left,title,hawa yakubu,0.6154497265815735
Award_left.csv,title,john jay award,MemberOfParliament_left,title,john aaron weese,0.6154123544692993
Award_left.csv,title,rideau awards,MemberOfParliament_left,title,marc garneau,0.6142488718032837
Award_left.csv,title,ray guy award,MemberOfParliament_left,title,ray boughen,0.6134181618690491
Award_left.csv,title,national book award for fiction,MemberOfParliament_left,title,nancy karetak-lindell,0.6131268739700317
Award_left.csv,title,holberg prize,MemberOfParliament_left,title,holger apfel,0.6129847168922424
Award_left.csv,title,jules verne award,MemberOfParliament_left,title,jules gauthier,0.6115407943725586
Award_left.csv,title,ron brown award,MemberOfParliament_left,title,gord brown,0.6106091737747192
Award_left.csv,title,gawad plaridel award,MemberOfParliament_left,title,sumedha g. jayasena,0.6104093790054321
Award_left.csv,title,bsfa award for best non-fiction,MemberOfParliament_left,title,s. a. wickramasinghe,0.6073693037033081
Award_left.csv,title,grand prix de l'imaginaire,MemberOfParliament_left,title,yves caron,0.606767475605011
Award_left.csv,title,kpl awards,MemberOfParliament_left,title,lakshman kiriella,0.6058473587036133
Award_left.csv,title,kay yow award,MemberOfParliament_left,title,kay denman,0.6057530641555786
Award_left.csv,title,chauvenet prize,MemberOfParliament_left,title,j.-georges ratelle,0.605687141418457
Award_left.csv,title,abebe bikila award,MemberOfParliament_left,title,awais leghari,0.6049217581748962
Award_left.csv,title,national artist,MemberOfParliament_left,title,manie van dyk,0.6040037870407104
Award_left.csv,title,crm idol,MemberOfParliament_left,title,chris tremain,0.6030881404876709
