query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Legislature_left.csv,title,east african legislative assembly,Legislature_left,title,east african legislative assembly,1.0000007152557373
Legislature_left.csv,title,national assembly for wales,Legislature_left,title,national assembly for wales,1.0000005960464478
Legislature_left.csv,title,camden london borough council,Legislature_left,title,camden london borough council,1.0000004768371582
Legislature_left.csv,title,brighton and hove city council,Legislature_left,title,brighton and hove city council,1.0000004768371582
Legislature_left.csv,title,assembly of the republic (mozambique),Legislature_left,title,assembly of the republic (mozambique),1.0000004768371582
Legislature_left.csv,title,states-general of the netherlands,Legislature_left,title,states-general of the netherlands,1.0000004768371582
Legislature_left.csv,title,new zealand legislative council,Legislature_left,title,new zealand legislative council,1.0000004768371582
Legislature_left.csv,title,new jersey provincial council,Legislature_left,title,new jersey provincial council,1.0000004768371582
Legislature_left.csv,title,point pedro divisional council,Legislature_left,title,point pedro divisional council,1.0000004768371582
Legislature_left.csv,title,california state legislature,Legislature_left,title,california state legislature,1.0000004768371582
Legislature_left.csv,title,house of commons of england,Legislature_left,title,house of commons of england,1.0000004768371582
Legislature_left.csv,title,philadelphia city council,Legislature_left,title,philadelphia city council,1.0000004768371582
Legislature_left.csv,title,wyoming house of representatives,Legislature_left,title,wyoming house of representatives,1.0000004768371582
Legislature_left.csv,title,cleveland city council,Legislature_left,title,cleveland city council,1.0000004768371582
Legislature_left.csv,title,london county council,Legislature_left,title,london county council,1.0000004768371582
Legislature_left.csv,title,sahrawi national council,Legislature_left,title,sahrawi national council,1.0000004768371582
Legislature_left.csv,title,vavuniya urban council,Legislature_left,title,vavuniya urban council,1.0000004768371582
Legislature_left.csv,title,selangor state legislative assembly,Legislature_left,title,selangor state legislative assembly,1.0000004768371582
Legislature_left.csv,title,lublin regional assembly,Legislature_left,title,lublin regional assembly,1.0000003576278687
Legislature_left.csv,title,surat municipal corporation,Legislature_left,title,surat municipal corporation,1.0000003576278687
Legislature_left.csv,title,hugglescote and donington le heath,Legislature_left,title,hugglescote and donington le heath,1.0000003576278687
Legislature_left.csv,title,congress of the dominican republic,Legislature_left,title,congress of the dominican republic,1.0000003576278687
Legislature_left.csv,title,victorian legislative assembly,Legislature_left,title,victorian legislative assembly,1.0000003576278687
Legislature_left.csv,title,texas house of representatives,Legislature_left,title,texas house of representatives,1.0000003576278687
Legislature_left.csv,title,4th northwest territories legislative council,Legislature_left,title,4th northwest territories legislative council,1.0000003576278687
Legislature_left.csv,title,general council of bucharest,Legislature_left,title,general council of bucharest,1.0000003576278687
Legislature_left.csv,title,northern territory legislative assembly,Legislature_left,title,northern territory legislative assembly,1.0000003576278687
Legislature_left.csv,title,national council (switzerland),Legislature_left,title,national council (switzerland),1.0000003576278687
Legislature_left.csv,title,new york city council,Legislature_left,title,new york city council,1.0000003576278687
Legislature_left.csv,title,ternopil oblast council,Legislature_left,title,ternopil oblast council,1.0000003576278687
Legislature_left.csv,title,delaware general assembly,Legislature_left,title,delaware general assembly,1.0000003576278687
Legislature_left.csv,title,tuen mun district council,Legislature_left,title,tuen mun district council,1.0000003576278687
Legislature_left.csv,title,congress of the republic of texas,Legislature_left,title,congress of the republic of texas,1.0000003576278687
Legislature_left.csv,title,north dakota house of representatives,Legislature_left,title,north dakota house of representatives,1.0000003576278687
Legislature_left.csv,title,pontifical commission for vatican city state,Legislature_left,title,pontifical commission for vatican city state,1.0000003576278687
Legislature_left.csv,title,stoke-on-trent city council,Legislature_left,title,stoke-on-trent city council,1.0000003576278687
Legislature_left.csv,title,hong kong university students' union,Legislature_left,title,hong kong university students' union,1.0000003576278687
Legislature_left.csv,title,fredericton city council,Legislature_left,title,fredericton city council,1.0000003576278687
Legislature_left.csv,title,ukrainian constituent assembly,Legislature_left,title,ukrainian constituent assembly,1.0000003576278687
Legislature_left.csv,title,national assembly (french revolution),Legislature_left,title,national assembly (french revolution),1.000000238418579
Legislature_left.csv,title,fairfax county board of supervisors,Legislature_left,title,fairfax county board of supervisors,1.000000238418579
Legislature_left.csv,title,ampara urban council,Legislature_left,title,ampara urban council,1.000000238418579
Legislature_left.csv,title,tripura legislative assembly,Legislature_left,title,tripura legislative assembly,1.000000238418579
Legislature_left.csv,title,national assembly (guyana),Legislature_left,title,national assembly (guyana),1.000000238418579
Legislature_left.csv,title,legislative assembly of the falkland islands,Legislature_left,title,legislative assembly of the falkland islands,1.000000238418579
Legislature_left.csv,title,parliament of jamaica,Legislature_left,title,parliament of jamaica,1.000000238418579
Legislature_left.csv,title,politics of cluj-napoca,Legislature_left,title,politics of cluj-napoca,1.000000238418579
Legislature_left.csv,title,texas legislature,Legislature_left,title,texas legislature,1.000000238418579
Legislature_left.csv,title,national assembly (eritrea),Legislature_left,title,national assembly (eritrea),1.000000238418579
Legislature_left.csv,title,florida senate,Legislature_left,title,florida senate,1.000000238418579
Legislature_left.csv,title,6th northwest territories legislative council,Legislature_left,title,6th northwest territories legislative council,1.000000238418579
Legislature_left.csv,title,greater london council,Legislature_left,title,greater london council,1.000000238418579
Legislature_left.csv,title,regional representative council,Legislature_left,title,regional representative council,1.000000238418579
Legislature_left.csv,title,parliament of swaziland,Legislature_left,title,parliament of swaziland,1.000000238418579
Legislature_left.csv,title,bromley london borough council,Legislature_left,title,bromley london borough council,1.000000238418579
Legislature_left.csv,title,sejm of the duchy of warsaw,Legislature_left,title,sejm of the duchy of warsaw,1.000000238418579
Legislature_left.csv,title,southwark london borough council,Legislature_left,title,southwark london borough council,1.000000238418579
Legislature_left.csv,title,roscommon county council,Legislature_left,title,roscommon county council,1.000000238418579
Legislature_left.csv,title,tasmanian legislative council,Legislature_left,title,tasmanian legislative council,1.000000238418579
Legislature_left.csv,title,basildon borough council,Legislature_left,title,basildon borough council,1.000000238418579
Legislature_left.csv,title,colorado senate,Legislature_left,title,colorado senate,1.000000238418579
Legislature_left.csv,title,andean parliament,Legislature_left,title,andean parliament,1.000000238418579
Legislature_left.csv,title,federal council (austria),Legislature_left,title,federal council (austria),1.000000238418579
Legislature_left.csv,title,taft commission,Legislature_left,title,taft commission,1.000000238418579
Legislature_left.csv,title,parliament of rwanda,Legislature_left,title,parliament of rwanda,1.000000238418579
Legislature_left.csv,title,south dakota senate,Legislature_left,title,south dakota senate,1.000000238418579
Legislature_left.csv,title,westmeath county council,Legislature_left,title,westmeath county council,1.000000238418579
Legislature_left.csv,title,senate (democratic republic of the congo),Legislature_left,title,senate (democratic republic of the congo),1.000000238418579
Legislature_left.csv,title,pahang state legislative assembly,Legislature_left,title,pahang state legislative assembly,1.000000238418579
Legislature_left.csv,title,national council of the movement,Legislature_left,title,national council of the movement,1.000000238418579
Legislature_left.csv,title,bristol city council,Legislature_left,title,bristol city council,1.000000238418579
Legislature_left.csv,title,supreme soviet of russia,Legislature_left,title,supreme soviet of russia,1.000000238418579
Legislature_left.csv,title,legislative council of the province of canada,Legislature_left,title,legislative council of the province of canada,1.000000238418579
Legislature_left.csv,title,riigikogu,Legislature_left,title,riigikogu,1.000000238418579
Legislature_left.csv,title,banbridge district council,Legislature_left,title,banbridge district council,1.000000238418579
Legislature_left.csv,title,ballymena borough council,Legislature_left,title,ballymena borough council,1.000000238418579
Legislature_left.csv,title,deputy speaker of the national assembly of pakistan,Legislature_left,title,deputy speaker of the national assembly of pakistan,1.000000238418579
Legislature_left.csv,title,west virginia legislature,Legislature_left,title,west virginia legislature,1.000000238418579
Legislature_left.csv,title,new york state senate,Legislature_left,title,new york state senate,1.000000238418579
Legislature_left.csv,title,chamber of advisors,Legislature_left,title,chamber of advisors,1.000000238418579
Legislature_left.csv,title,cortes generales,Legislature_left,title,cortes generales,1.000000238418579
Legislature_left.csv,title,texas senate,Legislature_left,title,texas senate,1.000000238418579
Legislature_left.csv,title,aberystwyth town council,Legislature_left,title,aberystwyth town council,1.000000238418579
Legislature_left.csv,title,city council of cincinnati elections,Legislature_left,title,city council of cincinnati elections,1.000000238418579
Legislature_left.csv,title,10th northwest territories legislative assembly,Legislature_left,title,10th northwest territories legislative assembly,1.000000238418579
Legislature_left.csv,title,states of alderney,Legislature_left,title,states of alderney,1.000000238418579
Legislature_left.csv,title,canarian parliament,Legislature_left,title,canarian parliament,1.000000238418579
Legislature_left.csv,title,south australian legislative council,Legislature_left,title,south australian legislative council,1.000000238418579
Legislature_left.csv,title,provincial assembly of balochistan,Legislature_left,title,provincial assembly of balochistan,1.000000238418579
