query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Race_left.csv,title,jammed lovely stakes,Race_left,title,jammed lovely stakes,1.0000005960464478
Race_left.csv,title,tour de east java,Race_left,title,tour de east java,1.0000004768371582
Race_left.csv,title,la brea stakes,Race_left,title,la brea stakes,1.0000004768371582
Race_left.csv,title,churchill distaff turf mile stakes,Race_left,title,churchill distaff turf mile stakes,1.0000003576278687
Race_left.csv,title,ronde van gelderland,Race_left,title,ronde van gelderland,1.0000003576278687
Race_left.csv,title,noordzeecross,Race_left,title,noordzeecross,1.0000003576278687
Race_left.csv,title,shadwell turf mile stakes,Race_left,title,shadwell turf mile stakes,1.0000003576278687
Race_left.csv,title,2007 grand national,Race_left,title,2007 grand national,1.0000003576278687
Race_left.csv,title,tour de l'ain,Race_left,title,tour de l'ain,1.0000003576278687
Race_left.csv,title,regret stakes,Race_left,title,regret stakes,1.0000003576278687
Race_left.csv,title,cohutta 100,Race_left,title,cohutta 100,1.0000003576278687
Race_left.csv,title,turnback the alarm handicap,Race_left,title,turnback the alarm handicap,1.0000003576278687
Race_left.csv,title,pucker up stakes,Race_left,title,pucker up stakes,1.0000003576278687
Race_left.csv,title,the very one stakes,Race_left,title,the very one stakes,1.0000003576278687
Race_left.csv,title,kinloch brae chase,Race_left,title,kinloch brae chase,1.0000003576278687
Race_left.csv,title,sceptre stakes,Race_left,title,sceptre stakes,1.0000003576278687
Race_left.csv,title,vinery madison stakes,Race_left,title,vinery madison stakes,1.0000003576278687
Race_left.csv,title,nationale sluitingsprijs,Race_left,title,nationale sluitingsprijs,1.0000003576278687
Race_left.csv,title,trofeo franco balestra,Race_left,title,trofeo franco balestra,1.0000003576278687
Race_left.csv,title,grand prix d'isbergues,Race_left,title,grand prix d'isbergues,1.0000003576278687
Race_left.csv,title,prix exbury,Race_left,title,prix exbury,1.000000238418579
Race_left.csv,title,rsa chase,Race_left,title,rsa chase,1.000000238418579
Race_left.csv,title,prix gladiateur,Race_left,title,prix gladiateur,1.000000238418579
Race_left.csv,title,prix de malleret,Race_left,title,prix de malleret,1.000000238418579
Race_left.csv,title,vagrancy handicap,Race_left,title,vagrancy handicap,1.000000238418579
Race_left.csv,title,forerunner stakes,Race_left,title,forerunner stakes,1.000000238418579
Race_left.csv,title,musidora stakes,Race_left,title,musidora stakes,1.000000238418579
Race_left.csv,title,tolworth hurdle,Race_left,title,tolworth hurdle,1.000000238418579
Race_left.csv,title,ballysax stakes,Race_left,title,ballysax stakes,1.000000238418579
Race_left.csv,title,niedersachsen-rundfahrt,Race_left,title,niedersachsen-rundfahrt,1.000000238418579
Race_left.csv,title,mannerism stakes,Race_left,title,mannerism stakes,1.000000238418579
Race_left.csv,title,premio carlo e francesco aloisi,Race_left,title,premio carlo e francesco aloisi,1.000000238418579
Race_left.csv,title,shepperton stakes,Race_left,title,shepperton stakes,1.000000238418579
Race_left.csv,title,sagaro stakes,Race_left,title,sagaro stakes,1.000000238418579
Race_left.csv,title,athenia stakes,Race_left,title,athenia stakes,1.000000238418579
Race_left.csv,title,antwerpse havenpijl,Race_left,title,antwerpse havenpijl,1.000000238418579
Race_left.csv,title,gamely stakes,Race_left,title,gamely stakes,1.000000238418579
Race_left.csv,title,manawatu sires produce stakes,Race_left,title,manawatu sires produce stakes,1.000000238418579
Race_left.csv,title,2005 grand national,Race_left,title,2005 grand national,1.000000238418579
Race_left.csv,title,alister clark stakes,Race_left,title,alister clark stakes,1.000000238418579
Race_left.csv,title,hopeful stakes,Race_left,title,hopeful stakes,1.000000238418579
Race_left.csv,title,earl of sefton stakes,Race_left,title,earl of sefton stakes,1.000000238418579
Race_left.csv,title,mother goose stakes,Race_left,title,mother goose stakes,1.000000238418579
Race_left.csv,title,whirlaway stakes,Race_left,title,whirlaway stakes,1.000000238418579
Race_left.csv,title,just a game stakes,Race_left,title,just a game stakes,1.000000238418579
Race_left.csv,title,red bank stakes,Race_left,title,red bank stakes,1.000000238418579
Race_left.csv,title,frances a. genter stakes,Race_left,title,frances a. genter stakes,1.000000238418579
Race_left.csv,title,grand prix rouwmoer,Race_left,title,grand prix rouwmoer,1.000000238418579
Race_left.csv,title,glenfarclas cross country handicap chase,Race_left,title,glenfarclas cross country handicap chase,1.000000238418579
Race_left.csv,title,megavalanche,Race_left,title,megavalanche,1.000000238418579
Race_left.csv,title,cocked hat stakes,Race_left,title,cocked hat stakes,1.000000238418579
Race_left.csv,title,barbara fritchie handicap,Race_left,title,barbara fritchie handicap,1.000000238418579
Race_left.csv,title,fourstardave handicap,Race_left,title,fourstardave handicap,1.000000238418579
Race_left.csv,title,arlington-washington futurity stakes,Race_left,title,arlington-washington futurity stakes,1.000000238418579
Race_left.csv,title,john b. campbell handicap,Race_left,title,john b. campbell handicap,1.000000238418579
Race_left.csv,title,rebel stakes,Race_left,title,rebel stakes,1.000000238418579
Race_left.csv,title,trofeo luis puig,Race_left,title,trofeo luis puig,1.000000238418579
Race_left.csv,title,gran premio merano,Race_left,title,gran premio merano,1.000000238418579
Race_left.csv,title,prix de saint-georges,Race_left,title,prix de saint-georges,1.000000238418579
Race_left.csv,title,gulfstream park turf handicap,Race_left,title,gulfstream park turf handicap,1.000000238418579
Race_left.csv,title,shannon stakes,Race_left,title,shannon stakes,1.000000238418579
Race_left.csv,title,lumberjack 100,Race_left,title,lumberjack 100,1.000000238418579
Race_left.csv,title,washington park futurity stakes,Race_left,title,washington park futurity stakes,1.000000238418579
Race_left.csv,title,beresford stakes,Race_left,title,beresford stakes,1.000000238418579
Race_left.csv,title,strub stakes,Race_left,title,strub stakes,1.000000238418579
Race_left.csv,title,prix quincey,Race_left,title,prix quincey,1.000000238418579
Race_left.csv,title,gp impanis-van petegem,Race_left,title,gp impanis-van petegem,1.000000238418579
