query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Race_left.csv,title,trofeo matteotti,SportFacility_left,title,stadio comunale mario battaglini,0.8224380016326904
Race_left.csv,title,kampioenschap van vlaanderen,SportFacility_left,title,korketrekkeren,0.8187152147293091
Race_left.csv,title,profronde van fryslan,SportFacility_left,title,herman vanderpoortenstadion,0.8171343803405762
Race_left.csv,title,trofeo franco balestra,SportFacility_left,title,stadio franco ossola,0.7874102592468262
Race_left.csv,title,omloop van het houtland,SportFacility_left,title,het kuipje,0.7861157059669495
Race_left.csv,title,giro della romagna,SportFacility_left,title,la romareda,0.7820172905921936
Race_left.csv,title,settimana internazionale di coppi e bartali,SportFacility_left,title,stadio comunale di monigo,0.7742772102355957
Race_left.csv,title,coupe des nations ville saguenay,SportFacility_left,title,stade marcel saupin,0.7664870619773865
Race_left.csv,title,rheinland-pfalz rundfahrt,SportFacility_left,title,rheinenergiestadion,0.7577039003372192
Race_left.csv,title,trofeo laigueglia,SportFacility_left,title,stadio teofilo patini,0.7574743628501892
Race_left.csv,title,emakumeen euskal bira,SportFacility_left,title,hala borca kraj morave,0.7569835186004639
Race_left.csv,title,euskal bizikleta,SportFacility_left,title,src biljanini izvori,0.755866289138794
Race_left.csv,title,the t j smith,SportFacility_left,title,t.g. smith centre,0.7557516098022461
Race_left.csv,title,stadsprijs geraardsbergen,SportFacility_left,title,waldstadion homburg,0.7513660192489624
Race_left.csv,title,kuninkuusravit,SportFacility_left,title,kalevi keskstaadion,0.7476297616958618
Race_left.csv,title,prueba villafranca de ordizia,SportFacility_left,title,campo da feiteira,0.7471725940704346
Race_left.csv,title,trofeo alfredo binda-comune di cittiglio,SportFacility_left,title,stadio erasmo iacovone,0.7454243898391724
Race_left.csv,title,coppa bernocchi,SportFacility_left,title,piancavallo,0.7430089712142944
Race_left.csv,title,tre valli varesine,SportFacility_left,title,stadio artemio franchi,0.7370340824127197
Race_left.csv,title,grote prijs gerrie knetemann,SportFacility_left,title,korsvollbanen,0.7345259785652161
Race_left.csv,title,bowling green handicap,SportFacility_left,title,bowling green ballpark,0.7344338893890381
Race_left.csv,title,takamatsunomiya kinen,SportFacility_left,title,tsukisamu dome,0.7326010465621948
Race_left.csv,title,omloop van het waasland,SportFacility_left,title,omnisport apeldoorn,0.7289693355560303
Race_left.csv,title,takarazuka kinen,SportFacility_left,title,kuramae kokugikan,0.7276151180267334
Race_left.csv,title,shepperton stakes,SportFacility_left,title,hexham racecourse,0.7251196503639221
Race_left.csv,title,st. leger italiano,SportFacility_left,title,stadio carlo speroni,0.7243545055389404
Race_left.csv,title,strade bianche,SportFacility_left,title,eisstadion biel,0.7230353355407715
Race_left.csv,title,epsom oaks,SportFacility_left,title,epsom down,0.7216560244560242
Race_left.csv,title,clasico ciclistico banfoandes,SportFacility_left,title,auditorio banamex,0.7213013172149658
Race_left.csv,title,prix vicomtesse vigier,SportFacility_left,title,l'anneau de vitesse,0.7196587324142456
Race_left.csv,title,tenno sho,SportFacility_left,title,sapporo teine,0.7174187898635864
Race_left.csv,title,park stakes,SportFacility_left,title,pk park,0.7139536738395691
Race_left.csv,title,le samyn,SportFacility_left,title,le lioran,0.7138141989707947
Race_left.csv,title,hill stakes,SportFacility_left,title,horsley hill,0.7135336995124817
Race_left.csv,title,prix de la grotte,SportFacility_left,title,stade marcel picot,0.7127803564071655
Race_left.csv,title,coppa ugo agostoni,SportFacility_left,title,stadio porta elisa,0.7126337289810181
Race_left.csv,title,prix de reux,SportFacility_left,title,le relais,0.7116739749908447
Race_left.csv,title,giro di toscana,SportFacility_left,title,stadio renato dall'ara,0.7090811729431152
Race_left.csv,title,trofeo melinda,SportFacility_left,title,coliseo rebekah colberg cabrera,0.7085045576095581
Race_left.csv,title,volta a lleida,SportFacility_left,title,estadi la feixa llarga,0.7076725363731384
Race_left.csv,title,ronde van gelderland,SportFacility_left,title,jernvallen,0.7069777250289917
Race_left.csv,title,doubledogdare stakes,SportFacility_left,title,doubleday field,0.7062451839447021
Race_left.csv,title,prix du petit couvert,SportFacility_left,title,alpe du grand serre,0.7037777900695801
Race_left.csv,title,coaching club american oaks,SportFacility_left,title,amata spring country club,0.7024044394493103
Race_left.csv,title,primavera rosa,SportFacility_left,title,la sebastina,0.7020976543426514
Race_left.csv,title,vuelta a la comunidad de madrid,SportFacility_left,title,palacio de deportes de la comunidad de madrid,0.701874852180481
Race_left.csv,title,gulfstream oaks,SportFacility_left,title,baywood greens,0.7015166282653809
Race_left.csv,title,prix jean romanet,SportFacility_left,title,portes du soleil,0.7010245323181152
Race_left.csv,title,prix noailles,SportFacility_left,title,stade asec ndiambour,0.699387788772583
Race_left.csv,title,lancashire oaks,SportFacility_left,title,oakwell,0.6967538595199585
Race_left.csv,title,giro della provincia di lucca,SportFacility_left,title,stadio comunale (pizzighettone),0.69527667760849
Race_left.csv,title,giro del capo,SportFacility_left,title,stadio alberto picco,0.6945446729660034
Race_left.csv,title,tour ivoirien de la paix,SportFacility_left,title,patinoire de caen la mer,0.6931552290916443
Race_left.csv,title,prix de royallieu,SportFacility_left,title,salle omnisport de rades,0.6924148797988892
Race_left.csv,title,niedersachsen-rundfahrt,SportFacility_left,title,eisstadion im sahnpark,0.691142201423645
Race_left.csv,title,giro di padania,SportFacility_left,title,stadio renato curi,0.6870943903923035
Race_left.csv,title,arabian world cup,SportFacility_left,title,olympic stadium adem jashari,0.68671715259552
Race_left.csv,title,woodbine mile,SportFacility_left,title,the red mile,0.6864525079727173
Race_left.csv,title,la tropicale amissa bongo,SportFacility_left,title,panticosa-los lagos,0.6864101886749268
Race_left.csv,title,kentucky jockey club stakes,SportFacility_left,title,kelso racecourse,0.6855951547622681
Race_left.csv,title,glenfarclas cross country handicap chase,SportFacility_left,title,veliefendi race course,0.6830763220787048
Race_left.csv,title,grote prijs stad zottegem,SportFacility_left,title,kromme zandweg,0.6823642253875732
Race_left.csv,title,vuelta ciclista por un chile lider,SportFacility_left,title,coliseo el pueblo,0.6822763681411743
Race_left.csv,title,arroyo seco mile stakes,SportFacility_left,title,ruidoso downs race track,0.680418848991394
Race_left.csv,title,prix du palais-royal,SportFacility_left,title,stade jean-antoine moueix,0.6795108318328857
Race_left.csv,title,victoria mile,SportFacility_left,title,loftus road,0.6791614890098572
Race_left.csv,title,crown oaks,SportFacility_left,title,crown flatt,0.6781176328659058
Race_left.csv,title,stockholms stora pris,SportFacility_left,title,paide linnastaadion,0.677187442779541
Race_left.csv,title,vuelta a bolivia,SportFacility_left,title,cerro castor,0.6767333745956421
Race_left.csv,title,tokyo city cup,SportFacility_left,title,tsuruoka komakihara stadium,0.6758023500442505
Race_left.csv,title,gran premio polla de potrillos (uruguay),SportFacility_left,title,complejo panamericano de voleibol,0.6757373213768005
Race_left.csv,title,ack ack handicap (hollywood park),SportFacility_left,title,acklam park,0.6757359504699707
