query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Artwork_left.csv,title,marforio,ChristianBishop_left,title,marolus,0.7875525951385498
Artwork_left.csv,title,las meninas,ChristianBishop_left,title,jose domingo ulloa mendieta,0.7464534640312195
Artwork_left.csv,title,el jaleo,ChristianBishop_left,title,eladio acosta arteaga,0.7463908195495605
Artwork_left.csv,title,john rogers herbert,ChristianBishop_left,title,herbert molony,0.7434178590774536
Artwork_left.csv,title,sponsa de libano,ChristianBishop_left,title,eurico dias nogueira,0.736103892326355
Artwork_left.csv,title,glen s. hopkinson,ChristianBishop_left,title,elwood l. haines,0.7326412796974182
Artwork_left.csv,title,erastus b. wolcott,ChristianBishop_left,title,william warelwast,0.7316336631774902
Artwork_left.csv,title,john peter gabriel muhlenberg (hufford),ChristianBishop_left,title,john zuhlsdorf,0.7309304475784302
Artwork_left.csv,title,el rio de luz,ChristianBishop_left,title,pedro moya de contreras,0.7281101942062378
Artwork_left.csv,title,christ of saint john of the cross,ChristianBishop_left,title,john of coutances,0.7278328537940979
Artwork_left.csv,title,maurin quina,ChristianBishop_left,title,emmanuel rukundo,0.7240868210792542
Artwork_left.csv,title,st. michael (raphael),ChristianBishop_left,title,raphael thattil,0.7232953310012817
Artwork_left.csv,title,angel of the resurrection,ChristianBishop_left,title,angel lagdameo,0.720442533493042
Artwork_left.csv,title,severan tondo,ChristianBishop_left,title,yuhanon mar dioscoros,0.7183551788330078
Artwork_left.csv,title,the census at bethlehem,ChristianBishop_left,title,bethlehem nopece,0.71791011095047
Artwork_left.csv,title,chandos portrait,ChristianBishop_left,title,chandos morgan,0.7153904438018799
Artwork_left.csv,title,henry f. schricker (bust),ChristianBishop_left,title,george c. schneller,0.7143206000328064
Artwork_left.csv,title,abaporu,ChristianBishop_left,title,iuliu hossu,0.7077203989028931
Artwork_left.csv,title,rucellai madonna,ChristianBishop_left,title,remi rabenirina,0.7075027823448181
Artwork_left.csv,title,stephen neal (bust),ChristianBishop_left,title,leonard neale,0.7073875665664673
Artwork_left.csv,title,o pobre rabequista,ChristianBishop_left,title,heriberto correa yepes,0.7038238048553467
Artwork_left.csv,title,leda atomica,ChristianBishop_left,title,antonio ledesma,0.698237419128418
Artwork_left.csv,title,l'asie,ChristianBishop_left,title,leuthere,0.6967414617538452
Artwork_left.csv,title,portrait of lucina brembati,ChristianBishop_left,title,benyamin yosef bria,0.6958355903625488
Artwork_left.csv,title,chinese girl,ChristianBishop_left,title,tzu kao shen,0.6953567862510681
Artwork_left.csv,title,christian wahl,ChristianBishop_left,title,peder christian hersleb kjerschow,0.6935434937477112
Artwork_left.csv,title,madonna of laroque,ChristianBishop_left,title,paul larocque,0.6923925876617432
Artwork_left.csv,title,annunciation with st. margaret and st. ansanus,ChristianBishop_left,title,anselm of st saba,0.6919165253639221
Artwork_left.csv,title,doni tondo,ChristianBishop_left,title,toma audo,0.6916110515594482
Artwork_left.csv,title,altarpiece of the saints john,ChristianBishop_left,title,john of the sedre,0.6899192333221436
Artwork_left.csv,title,portrait of gustave geffroy,ChristianBishop_left,title,georges gauthier,0.6889009475708008
Artwork_left.csv,title,personnage oiseaux,ChristianBishop_left,title,michel-thomas labrecque,0.6888326406478882
Artwork_left.csv,title,madama lucrezia,ChristianBishop_left,title,ercole lupinacci,0.6885120868682861
Artwork_left.csv,title,john luttrell (picture),ChristianBishop_left,title,john holbrook,0.6869636178016663
Artwork_left.csv,title,le sommeil,ChristianBishop_left,title,bienvenu de miollis,0.6856142282485962
Artwork_left.csv,title,annunziata polyptych,ChristianBishop_left,title,polycarpus augin (eugene) aydin,0.6855683922767639
Artwork_left.csv,title,arnolfini portrait,ChristianBishop_left,title,ignatius arnoz,0.6851157546043396
Artwork_left.csv,title,rhein ii,ChristianBishop_left,title,ealdbeorht ii,0.6800788044929504
Artwork_left.csv,title,portrait of agnolo doni,ChristianBishop_left,title,mikiel gonzi,0.6791632175445557
Artwork_left.csv,title,celebration (tyeb mehta),ChristianBishop_left,title,paremmakkal thoma kathanar,0.6771630048751831
Artwork_left.csv,title,pod (sculpture),ChristianBishop_left,title,podda,0.6771233081817627
Artwork_left.csv,title,portrait of innocent x,ChristianBishop_left,title,innocent lotocky,0.6767650842666626
Artwork_left.csv,title,adoration of the magi (gentile da fabriano),ChristianBishop_left,title,agostino falivene,0.6767516732215881
Artwork_left.csv,title,portrait of giovanna tornabuoni,ChristianBishop_left,title,gaspare visconti,0.676470160484314
Artwork_left.csv,title,bijinga,ChristianBishop_left,title,barsauma,0.6745753288269043
Artwork_left.csv,title,jerome connor,ChristianBishop_left,title,james mcloughlin,0.6742359399795532
Artwork_left.csv,title,geumgang jeondo,ChristianBishop_left,title,crisostomo yalung,0.6741235256195068
Artwork_left.csv,title,count casimir pulaski (kiselewski),ChristianBishop_left,title,andrzej alojzy ankwicz,0.6738468408584595
Artwork_left.csv,title,portrait of antoine-laurent lavoisier and his wife,ChristianBishop_left,title,jean-jacques lartigue,0.6721912622451782
Artwork_left.csv,title,portrait of andrea doria (sebastiano del piombo),ChristianBishop_left,title,ferruccio baffa trasci,0.6701674461364746
Artwork_left.csv,title,las damas romanas,ChristianBishop_left,title,thaddeus amat y brusi,0.6697515249252319
Artwork_left.csv,title,modern head,ChristianBishop_left,title,headda,0.668868899345398
Artwork_left.csv,title,infanta margarita teresa in a pink dress,ChristianBishop_left,title,juan asenjo pelegrina,0.6609417200088501
Artwork_left.csv,title,augustus of prima porta,ChristianBishop_left,title,paul eusebius mea kaiuea,0.6607651710510254
Artwork_left.csv,title,belisarius begging for alms,ChristianBishop_left,title,alherdus,0.6605311632156372
Artwork_left.csv,title,manneken pis,ChristianBishop_left,title,hans ludvig martensen,0.6604821681976318
Artwork_left.csv,title,sparty,ChristianBishop_left,title,mstyslav (skrypnyk),0.6589323282241821
Artwork_left.csv,title,apse from la seu d'urgell,ChristianBishop_left,title,severo aparicio quispe,0.6586445569992065
Artwork_left.csv,title,saint catherine of alexandria polyptych,ChristianBishop_left,title,saint arsenije i sremac,0.6585915088653564
Artwork_left.csv,title,portrait of daniel-henry kahnweiler,ChristianBishop_left,title,michel joseph kuehn,0.6574938297271729
