query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Enzyme_left.csv,title,laccase,Hospital_right,title,lac+usc medical center,0.5797893404960632
Enzyme_left.csv,title,imidazolonepropionase,Hospital_right,title,inspira health network,0.5717369914054871
Enzyme_left.csv,title,3-beta-hsd,Hospital_right,title,university of maryland st. joseph medical center,0.5441552400588989
Enzyme_left.csv,title,mannokinase,Hospital_right,title,mcghealth,0.5423940420150757
Enzyme_left.csv,title,agarase,Hospital_right,title,atlanticare,0.5323439836502075
Enzyme_left.csv,title,guanidinoacetase,Hospital_right,title,naggalama hospital,0.5289808511734009
Enzyme_left.csv,title,lysin,Hospital_right,title,tyks,0.5275120735168457
Enzyme_left.csv,title,interstitial collagenase,Hospital_right,title,"university of california, irvine medical center",0.5137194395065308
Enzyme_left.csv,title,cyclomaltodextrinase,Hospital_right,title,karmanos cancer institute,0.5086947679519653
Enzyme_left.csv,title,urease,Hospital_right,title,shatin hospital,0.49688777327537537
Enzyme_left.csv,title,d-arabinokinase,Hospital_right,title,kaunas university of medicine hospital,0.4950218200683594
Enzyme_left.csv,title,dctp deaminase,Hospital_right,title,bethesda regional health centre,0.4816151261329651
Enzyme_left.csv,title,allantoinase,Hospital_right,title,lankenau hospital,0.47957950830459595
Enzyme_left.csv,title,aconitase,Hospital_right,title,aalborg university hospital,0.46922576427459717
Enzyme_left.csv,title,cutinase,Hospital_right,title,hospital damas,0.46867817640304565
Enzyme_left.csv,title,staphylokinase,Hospital_right,title,st margaret's hospital,0.4612000584602356
Enzyme_left.csv,title,nepenthesin,Hospital_right,title,nemours alfred i. dupont hospital for children,0.4607031047344208
Enzyme_left.csv,title,cathepsin v,Hospital_right,title,st. olav's university hospital,0.4594065546989441
Enzyme_left.csv,title,acrosin,Hospital_right,title,integris southwest medical center,0.4587008059024811
Enzyme_left.csv,title,lambda-carrageenase,Hospital_right,title,canossa hospital (caritas),0.4552426338195801
Enzyme_left.csv,title,threonine racemase,Hospital_right,title,gouverneur health,0.4534357190132141
Enzyme_left.csv,title,rubisco,Hospital_right,title,abrazo maryvale campus,0.45264506340026855
Enzyme_left.csv,title,fluorinase,Hospital_right,title,ford's hospital,0.44393521547317505
Enzyme_left.csv,title,tryptophanase,Hospital_right,title,evangel hospital,0.4421495497226715
Enzyme_left.csv,title,l-arabinokinase,Hospital_right,title,king faisal specialist hospital,0.44164806604385376
Enzyme_left.csv,title,chorismate lyase,Hospital_right,title,chavakacheri hospital,0.43860697746276855
Enzyme_left.csv,title,steroid-lactonase,Hospital_right,title,uc san diego health,0.4323100447654724
Enzyme_left.csv,title,allantoin racemase,Hospital_right,title,michael garron hospital,0.42980074882507324
Enzyme_left.csv,title,glucosamine kinase,Hospital_right,title,georgia regents medical center,0.42906612157821655
Enzyme_left.csv,title,ferrochelatase,Hospital_right,title,mease dunedin hosptial,0.4274000823497772
Enzyme_left.csv,title,carbamate kinase,Hospital_right,title,caromont regional medical center,0.42670804262161255
Enzyme_left.csv,title,opheline kinase,Hospital_right,title,"oslo university hospital, rikshospitalet",0.42489248514175415
Enzyme_left.csv,title,pappalysin-1,Hospital_right,title,centegra hospital - woodstock,0.4244111478328705
Enzyme_left.csv,title,creatinine deaminase,Hospital_right,title,bethesda hospital (steinbach),0.42321473360061646
Enzyme_left.csv,title,proline racemase,Hospital_right,title,mclaren flint,0.4208337366580963
Enzyme_left.csv,title,endoglycosylceramidase,Hospital_right,title,university of maryland baltimore washington medical center,0.41565078496932983
Enzyme_left.csv,title,chymotrypsin,Hospital_right,title,coombe women's hospital,0.41301536560058594
Enzyme_left.csv,title,glycerone kinase,Hospital_right,title,kettering general hospital foundation trust,0.41022390127182007
Enzyme_left.csv,title,mevalonate kinase,Hospital_right,title,kaunas clinics,0.4090310037136078
Enzyme_left.csv,title,amylosucrase,Hospital_right,title,parkview health,0.40899574756622314
Enzyme_left.csv,title,iodotyrosine deiodinase,Hospital_right,title,indiana university health methodist hospital,0.40860849618911743
Enzyme_left.csv,title,beta-l-arabinosidase,Hospital_right,title,aravind eye hospitals,0.4078094959259033
Enzyme_left.csv,title,fucokinase,Hospital_right,title,butterworth hospital,0.4032879173755646
Enzyme_left.csv,title,aminobenzoate decarboxylase,Hospital_right,title,abrazo central campus,0.4026586413383484
Enzyme_left.csv,title,acetylcholinesterase,Hospital_right,title,montreal neurological institute and hospital,0.40104708075523376
Enzyme_left.csv,title,nitric oxide dioxygenase,Hospital_right,title,newham general hospital,0.4005705416202545
Enzyme_left.csv,title,plasmanylethanolamine desaturase,Hospital_right,title,howard university hospital,0.4000847339630127
Enzyme_left.csv,title,penicillin amidase,Hospital_right,title,letterkenny university hospital,0.39973151683807373
Enzyme_left.csv,title,protein kinase a,Hospital_right,title,dong-a university hospital,0.39959716796875
Enzyme_left.csv,title,micrococcal nuclease,Hospital_right,title,university of maryland charles regional medical center,0.3984740972518921
Enzyme_left.csv,title,endopolyphosphatase,Hospital_right,title,evelina london children's hospital,0.39802971482276917
Enzyme_left.csv,title,aspartyltransferase,Hospital_right,title,centrastate healthcare system,0.39397937059402466
Enzyme_left.csv,title,calpain-3,Hospital_right,title,paradise valley hospital california,0.3930354714393616
