query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ArtificialSatellite_left.csv,title,rasat,Device_left,title,rasit,0.8868063688278198
ArtificialSatellite_left.csv,title,rasad 1,Device_left,title,raad-1,0.8704976439476013
ArtificialSatellite_left.csv,title,as-201,Device_left,title,as-20,0.8445650339126587
ArtificialSatellite_left.csv,title,tet-1,Device_left,title,tec-1,0.8392027616500854
ArtificialSatellite_left.csv,title,p78-1,Device_left,title,p107,0.826054036617279
ArtificialSatellite_left.csv,title,exosat,Device_left,title,exocet,0.8111344575881958
ArtificialSatellite_left.csv,title,wresat,Device_left,title,wzt,0.8102325201034546
ArtificialSatellite_left.csv,title,dong fang hong i,Device_left,title,shuang shou jian,0.800025463104248
ArtificialSatellite_left.csv,title,niwaka,Device_left,title,nyko kama,0.7993289232254028
ArtificialSatellite_left.csv,title,kosmos 919,Device_left,title,9m113 konkurs,0.7971484661102295
ArtificialSatellite_left.csv,title,a-002,Device_left,title,a244-s,0.7862751483917236
ArtificialSatellite_left.csv,title,as-202,Device_left,title,as-90,0.7759420871734619
ArtificialSatellite_left.csv,title,ats-3,Device_left,title,at4,0.7743130922317505
ArtificialSatellite_left.csv,title,uosat-12,Device_left,title,ee-11 urutu,0.770609438419342
ArtificialSatellite_left.csv,title,yamal-402,Device_left,title,daf yp-408,0.7697656154632568
ArtificialSatellite_left.csv,title,usa-199,Device_left,title,ws-199,0.7689121961593628
ArtificialSatellite_left.csv,title,kosmos 2351,Device_left,title,ots-01 kobalt,0.7665119171142578
ArtificialSatellite_left.csv,title,spektr-rg,Device_left,title,wimmersperg spz-kr,0.765204906463623
ArtificialSatellite_left.csv,title,kosmos 2424,Device_left,title,k31,0.7647844552993774
ArtificialSatellite_left.csv,title,kosmos 901,Device_left,title,kh-90,0.7646491527557373
ArtificialSatellite_left.csv,title,tianhui 1b,Device_left,title,tianhua gx-1c,0.7636833190917969
ArtificialSatellite_left.csv,title,kosmos 2340,Device_left,title,ks-23,0.7634743452072144
ArtificialSatellite_left.csv,title,e-st@r,Device_left,title,at-l,0.7627813816070557
ArtificialSatellite_left.csv,title,gsat-14,Device_left,title,gsh-18,0.7580644488334656
ArtificialSatellite_left.csv,title,rax-2,Device_left,title,amx-13,0.7559090852737427
ArtificialSatellite_left.csv,title,pssc-2,Device_left,title,ps/2e,0.7548539638519287
ArtificialSatellite_left.csv,title,badr-1,Device_left,title,nasr-1,0.7544339895248413
ArtificialSatellite_left.csv,title,astra 1a,Device_left,title,asm-135 asat,0.752668559551239
ArtificialSatellite_left.csv,title,belka,Device_left,title,efika,0.7523216009140015
ArtificialSatellite_left.csv,title,kosmos 705,Device_left,title,sm-70,0.7511639595031738
ArtificialSatellite_left.csv,title,kalpana-1,Device_left,title,kaskara,0.750023365020752
ArtificialSatellite_left.csv,title,vostok 1,Device_left,title,volkspistole,0.7499148845672607
ArtificialSatellite_left.csv,title,ekspress a3,Device_left,title,karbonn a15,0.7496315836906433
ArtificialSatellite_left.csv,title,kosmos 2458,Device_left,title,sd.kfz. 250,0.7493536472320557
ArtificialSatellite_left.csv,title,tdrs-4,Device_left,title,btr-4,0.7492596507072449
ArtificialSatellite_left.csv,title,kosmos 839,Device_left,title,9k112 kobra,0.7483783960342407
ArtificialSatellite_left.csv,title,kosmos 21,Device_left,title,k21,0.7481749653816223
ArtificialSatellite_left.csv,title,sts-75,Device_left,title,s-75 dvina,0.7478623390197754
ArtificialSatellite_left.csv,title,st-2,Device_left,title,strela 2,0.7468392848968506
ArtificialSatellite_left.csv,title,nimiq 5,Device_left,title,nimr,0.745890200138092
ArtificialSatellite_left.csv,title,soyuz 26,Device_left,title,m1867 russian krnka,0.7446414828300476
ArtificialSatellite_left.csv,title,kosmos 245,Device_left,title,scr-245,0.7436262369155884
ArtificialSatellite_left.csv,title,venera 2,Device_left,title,2s31 vena,0.7393996715545654
ArtificialSatellite_left.csv,title,oso 7,Device_left,title,m79 osa,0.7387463450431824
ArtificialSatellite_left.csv,title,kosmos 903,Device_left,title,zastava m85,0.7363067865371704
ArtificialSatellite_left.csv,title,tdrs-8,Device_left,title,trs-80,0.7346707582473755
ArtificialSatellite_left.csv,title,tdrs-1,Device_left,title,btr-t,0.7345339059829712
ArtificialSatellite_left.csv,title,soyuz tm-27,Device_left,title,t-27,0.7340149879455566
ArtificialSatellite_left.csv,title,usa-71,Device_left,title,c-704,0.7335138320922852
ArtificialSatellite_left.csv,title,gsat-12,Device_left,title,gau-13,0.7327138781547546
ArtificialSatellite_left.csv,title,vostok 5,Device_left,title,volkssturmgewehr 1-5,0.7314735651016235
ArtificialSatellite_left.csv,title,measat-3,Device_left,title,mesbah 1,0.7310829162597656
ArtificialSatellite_left.csv,title,ftv-1126,Device_left,title,ltv-n-4,0.7305262684822083
ArtificialSatellite_left.csv,title,aausat3,Device_left,title,aasm,0.7300980091094971
ArtificialSatellite_left.csv,title,usa-84,Device_left,title,t-84,0.7299429178237915
ArtificialSatellite_left.csv,title,kosmos 801,Device_left,title,zastava m87,0.7297844886779785
ArtificialSatellite_left.csv,title,progress m-14m,Device_left,title,bm-14,0.7295300960540771
ArtificialSatellite_left.csv,title,uosat-4,Device_left,title,u-5ts,0.7290569543838501
ArtificialSatellite_left.csv,title,elektro-l no.1,Device_left,title,eland mk7,0.7284735441207886
ArtificialSatellite_left.csv,title,galaxy 10r,Device_left,title,samsung sgh-g810,0.7271656394004822
ArtificialSatellite_left.csv,title,ops 5118,Device_left,title,l42a1,0.7262070178985596
ArtificialSatellite_left.csv,title,astra 2a,Device_left,title,asraam,0.7257128357887268
ArtificialSatellite_left.csv,title,raiko,Device_left,title,sako trg,0.7254546880722046
ArtificialSatellite_left.csv,title,mir eo-21,Device_left,title,otr-21 tochka,0.7254159450531006
ArtificialSatellite_left.csv,title,soyuz 25,Device_left,title,s-25 berkut,0.7253331542015076
ArtificialSatellite_left.csv,title,vostok 2,Device_left,title,sr-2 veresk,0.7252136468887329
ArtificialSatellite_left.csv,title,tdrs-10,Device_left,title,ptrs-41,0.7251004576683044
ArtificialSatellite_left.csv,title,kosmos 2251,Device_left,title,scr-189,0.7246264219284058
ArtificialSatellite_left.csv,title,progress m-24,Device_left,title,bm-24,0.7246057987213135
ArtificialSatellite_left.csv,title,kosmos 2442,Device_left,title,2b14 podnos,0.7244760990142822
ArtificialSatellite_left.csv,title,soyuz 7,Device_left,title,r-7 semyorka,0.7234780788421631
ArtificialSatellite_left.csv,title,kosmos 2418,Device_left,title,zcrs-122,0.7228401303291321
