query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,5-meo-amt,Drug_right,title,5-meo-amt,1.0
Drug_left.csv,title,thiambutenes,Drug_right,title,thiambutene,0.9781991839408875
Drug_left.csv,title,tenofovir alafenamide fumarate,Drug_right,title,tenofovir alafenamide,0.9487037062644958
Drug_left.csv,title,4-ethylamphetamine,Drug_right,title,4-hydroxyamphetamine,0.9298750162124634
Drug_left.csv,title,a-41988,Drug_right,title,a-372159,0.924945592880249
Drug_left.csv,title,norethisterone,Drug_right,title,norbolethone,0.9241400957107544
Drug_left.csv,title,s-18986,Drug_right,title,s-14671,0.9185483455657959
Drug_left.csv,title,"cp-93,129",Drug_right,title,cp-93129,0.9165396690368652
Drug_left.csv,title,ro10-5824,Drug_right,title,ro 04-6790,0.9123775959014893
Drug_left.csv,title,interferon alpha-n3,Drug_right,title,interferon alfa 2b,0.9115287065505981
Drug_left.csv,title,"cp-809,101",Drug_right,title,cp-809101,0.9086645245552063
Drug_left.csv,title,3-methoxy-4-methylamphetamine,Drug_right,title,4-fluoro-n-methylamphetamine,0.9070256948471069
Drug_left.csv,title,"rs-127,445",Drug_right,title,rs-127445,0.8989208340644836
Drug_left.csv,title,ocaratuzumab,Drug_right,title,obinutuzumab,0.8889807462692261
Drug_left.csv,title,"ly-310,762",Drug_right,title,ly-310762,0.8856092691421509
Drug_left.csv,title,meclozine,Drug_right,title,meclizine,0.8848874568939209
Drug_left.csv,title,"sb-649,915",Drug_right,title,sb-399885,0.8848199844360352
Drug_left.csv,title,n-methyltryptamine,Drug_right,title,"n,n-dimethyltryptamine",0.8845357894897461
Drug_left.csv,title,sulfathiazole,Drug_right,title,suloctidil,0.8730932474136353
Drug_left.csv,title,"sb-258,585",Drug_right,title,sb-258585,0.8666598796844482
Drug_left.csv,title,lysergic acid diethylamide,Drug_right,title,n1-methyl-lysergic acid diethylamide,0.8651469945907593
Drug_left.csv,title,pericyazine,Drug_right,title,periciazine,0.864598274230957
Drug_left.csv,title,quinidine,Drug_right,title,quinacrine,0.8644542694091797
Drug_left.csv,title,pivalylbenzhydrazine,Drug_right,title,pivhydrazine,0.8569033145904541
Drug_left.csv,title,insulin detemir,Drug_right,title,insulin (medication),0.8525375127792358
Drug_left.csv,title,bms-945429,Drug_right,title,sb-699551,0.8514243364334106
Drug_left.csv,title,y-23684,Drug_right,title,sb-216641,0.8505724668502808
Drug_left.csv,title,sr-48692,Drug_right,title,sb-242084,0.8448219299316406
Drug_left.csv,title,jd5037,Drug_right,title,gw501516,0.8424803614616394
Drug_left.csv,title,jwh-081,Drug_right,title,cj-033466,0.8422418832778931
Drug_left.csv,title,"2,5-dimethoxy-4-ethylamphetamine",Drug_right,title,ethylamphetamine,0.841034471988678
Drug_left.csv,title,salvinorin a,Drug_right,title,2-methoxymethyl salvinorin b,0.8401486873626709
Drug_left.csv,title,triazolam,Drug_right,title,triflunordazepam,0.8352693319320679
Drug_left.csv,title,sc-17599,Drug_right,title,sb-258719,0.8321380019187927
Drug_left.csv,title,clocapramine,Drug_right,title,phencyclamine,0.8297840356826782
Drug_left.csv,title,ro4491533,Drug_right,title,rg7795,0.8290335536003113
Drug_left.csv,title,pf-04457845,Drug_right,title,sb-357134,0.8278415203094482
Drug_left.csv,title,"pf-219,061",Drug_right,title,cp-94253,0.8270828723907471
Drug_left.csv,title,erlizumab,Drug_right,title,erbuzole,0.8265126943588257
