query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,maslimomab,MemberOfParliament_left,title,noordeen mashoor,0.7913695573806763
Drug_left.csv,title,motavizumab,MemberOfParliament_left,title,masizole mnqasela,0.7658172845840454
Drug_left.csv,title,valganciclovir,MemberOfParliament_left,title,valdon dowiyogo,0.7607314586639404
Drug_left.csv,title,delmadinone,MemberOfParliament_left,title,tuariki delamere,0.7508140802383423
Drug_left.csv,title,pranlukast,MemberOfParliament_left,title,lakshman senewiratne,0.7412233352661133
Drug_left.csv,title,gevokizumab,MemberOfParliament_left,title,lui temelkovski,0.7367305755615234
Drug_left.csv,title,sabarubicin,MemberOfParliament_left,title,saeb erekat,0.7353434562683105
Drug_left.csv,title,fezakinumab,MemberOfParliament_left,title,hawa yakubu,0.7344474196434021
Drug_left.csv,title,fioricet,MemberOfParliament_left,title,filomena tassi,0.7336667776107788
Drug_left.csv,title,olmesartan,MemberOfParliament_left,title,oras tynkkynen,0.7329381704330444
Drug_left.csv,title,edaravone,MemberOfParliament_left,title,eric prasanna weerawardena,0.7273691892623901
Drug_left.csv,title,ozanezumab,MemberOfParliament_left,title,ossie abeygunasekera,0.7219215631484985
Drug_left.csv,title,seletracetam,MemberOfParliament_left,title,p. selvarasa,0.721329927444458
Drug_left.csv,title,robatumumab,MemberOfParliament_left,title,rob marris,0.7210731506347656
Drug_left.csv,title,ergine,MemberOfParliament_left,title,ervin pringle,0.7198225259780884
Drug_left.csv,title,selamectin,MemberOfParliament_left,title,sein myint,0.7192437648773193
Drug_left.csv,title,aviptadil,MemberOfParliament_left,title,selvam adaikalanathan,0.7175000905990601
Drug_left.csv,title,tesaglitazar,MemberOfParliament_left,title,tissa attanayake,0.7146578431129456
Drug_left.csv,title,lubeluzole,MemberOfParliament_left,title,lutz heilmann,0.712591290473938
Drug_left.csv,title,talsupram,MemberOfParliament_left,title,neelan tiruchelvam,0.7122254967689514
Drug_left.csv,title,sevirumab,MemberOfParliament_left,title,sej motau,0.7089416980743408
Drug_left.csv,title,tidiacic,MemberOfParliament_left,title,stefan tymkewycz,0.708338737487793
Drug_left.csv,title,clobenzepam,MemberOfParliament_left,title,clarrie millar,0.7079663872718811
Drug_left.csv,title,crenezumab,MemberOfParliament_left,title,michael crockart,0.7078047394752502
Drug_left.csv,title,spiraprilat,MemberOfParliament_left,title,iain sproat,0.7074812650680542
Drug_left.csv,title,tiazesim,MemberOfParliament_left,title,tsebin tchen,0.7070252895355225
Drug_left.csv,title,ponatinib,MemberOfParliament_left,title,g. g. ponnambalam,0.7039202451705933
Drug_left.csv,title,buserelin,MemberOfParliament_left,title,shadlog bernicke,0.7017339468002319
Drug_left.csv,title,nerisopam,MemberOfParliament_left,title,syd negus,0.7010258436203003
Drug_left.csv,title,dimethazan,MemberOfParliament_left,title,amarasiri dodangoda,0.699410080909729
Drug_left.csv,title,"pnu-99,194",MemberOfParliament_left,title,p.b.g. kalugalla,0.6993213891983032
Drug_left.csv,title,lerisetron,MemberOfParliament_left,title,marc lemay,0.6982263326644897
Drug_left.csv,title,kelatorphan,MemberOfParliament_left,title,kieren keke,0.6972794532775879
Drug_left.csv,title,zomepirac,MemberOfParliament_left,title,lise zarac,0.695234477519989
Drug_left.csv,title,ritipenem,MemberOfParliament_left,title,mita ririnui,0.6945571899414062
Drug_left.csv,title,odanacatib,MemberOfParliament_left,title,akwasi oppong fosu,0.6934155225753784
Drug_left.csv,title,colesevelam,MemberOfParliament_left,title,michael connarty,0.6923677921295166
Drug_left.csv,title,lorglumide,MemberOfParliament_left,title,lina loh,0.6887840032577515
Drug_left.csv,title,elb-139,MemberOfParliament_left,title,ron elstob,0.6884481310844421
Drug_left.csv,title,stavudine,MemberOfParliament_left,title,howard stoate,0.6877591609954834
Drug_left.csv,title,metyrapone,MemberOfParliament_left,title,metiria turei,0.6877081394195557
Drug_left.csv,title,bemegride,MemberOfParliament_left,title,gerry bermingham,0.6862590312957764
Drug_left.csv,title,cyclothiazide,MemberOfParliament_left,title,cynog dafis,0.6862397193908691
Drug_left.csv,title,duligotumab,MemberOfParliament_left,title,udith lokubandara,0.685938835144043
Drug_left.csv,title,homatropine,MemberOfParliament_left,title,parekura horomia,0.6838520765304565
Drug_left.csv,title,perindopril,MemberOfParliament_left,title,manon perreault,0.6838150024414062
Drug_left.csv,title,cannabipiperidiethanone,MemberOfParliament_left,title,dennis canavan,0.6834665536880493
Drug_left.csv,title,arformoterol,MemberOfParliament_left,title,ian maclachlan arrol,0.6824252605438232
Drug_left.csv,title,cloridarol,MemberOfParliament_left,title,david clelland,0.6822155714035034
Drug_left.csv,title,jwh-015,MemberOfParliament_left,title,kaisar jahan,0.6817067861557007
Drug_left.csv,title,aderbasib,MemberOfParliament_left,title,adrien meunier,0.6811815500259399
Drug_left.csv,title,canrenone,MemberOfParliament_left,title,jamie cann,0.6804805994033813
Drug_left.csv,title,nelarabine,MemberOfParliament_left,title,michael neubert,0.680330216884613
Drug_left.csv,title,forasartan,MemberOfParliament_left,title,rohitha abeygunawardena,0.6796295642852783
Drug_left.csv,title,rebeccamycin,MemberOfParliament_left,title,alison seabeck,0.6778658628463745
Drug_left.csv,title,melperone,MemberOfParliament_left,title,mel bungey,0.6758643388748169
Drug_left.csv,title,ganciclovir,MemberOfParliament_left,title,nelli rokita,0.6756315231323242
Drug_left.csv,title,bucindolol,MemberOfParliament_left,title,reginald burchell,0.6742570400238037
Drug_left.csv,title,guselkumab,MemberOfParliament_left,title,gleason belzile,0.673520565032959
Drug_left.csv,title,domiodol,MemberOfParliament_left,title,david jull,0.6733394861221313
Drug_left.csv,title,arfendazam,MemberOfParliament_left,title,arumugam thondaman,0.6729271411895752
Drug_left.csv,title,adbica,MemberOfParliament_left,title,felix owusu-adjapong,0.6717924475669861
Drug_left.csv,title,cloricromen,MemberOfParliament_left,title,david clendon,0.6715484857559204
Drug_left.csv,title,sucralfate,MemberOfParliament_left,title,sussan ley,0.6713586449623108
Drug_left.csv,title,sargramostim,MemberOfParliament_left,title,sarkis assadourian,0.6711719632148743
Drug_left.csv,title,detumomab,MemberOfParliament_left,title,dilum amunugama,0.671030580997467
Drug_left.csv,title,tipifarnib,MemberOfParliament_left,title,terangi adam,0.6705433130264282
Drug_left.csv,title,guaiacolsulfonate,MemberOfParliament_left,title,gurmant grewal,0.6692962050437927
Drug_left.csv,title,bifemelane,MemberOfParliament_left,title,gordon bilney,0.6690508723258972
Drug_left.csv,title,azepindole,MemberOfParliament_left,title,azra peechoho,0.6673014163970947
Drug_left.csv,title,colestipol,MemberOfParliament_left,title,chris auchinvole,0.6671783328056335
Drug_left.csv,title,ramoplanin,MemberOfParliament_left,title,bill rammell,0.6664087772369385
Drug_left.csv,title,desogestrel,MemberOfParliament_left,title,jules desrochers,0.6660428047180176
Drug_left.csv,title,oblimersen,MemberOfParliament_left,title,guy opperman,0.6653581261634827
Drug_left.csv,title,pilsicainide,MemberOfParliament_left,title,piyasena gamage,0.6651556491851807
Drug_left.csv,title,gadofosveset,MemberOfParliament_left,title,gai brodtmann,0.66347336769104
Drug_left.csv,title,nelotanserin,MemberOfParliament_left,title,dagmar belakowitsch-jenewein,0.6622201800346375
