query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Election_left.csv,title,"new jersey gubernatorial election, 2013",Case_left,title,new jersey v. t. l. o.,0.648838460445404
Election_left.csv,title,"florida gubernatorial election, 2002",Case_left,title,bush v. palm beach county canvassing board,0.6400159597396851
Election_left.csv,title,"reform party of new jersey convention, 2012",Case_left,title,provident institution for sav. v. mayor of jersey city,0.6262910962104797
Election_left.csv,title,"louisiana attorney general election, 2011",Case_left,title,allgeyer v. louisiana,0.6247503757476807
Election_left.csv,title,"hamburg state election, 1993",Case_left,title,national socialist party of america v. village of skokie,0.6244567632675171
Election_left.csv,title,"navajo nation presidential election, 2006",Case_left,title,salazar v. ramah navajo chapter,0.603013277053833
Election_left.csv,title,"virginia gubernatorial election, 2001",Case_left,title,lassiter v. northampton county board of elections,0.6012790203094482
Election_left.csv,title,"missouri gubernatorial election, 1820",Case_left,title,missouri v. seibert,0.599734902381897
Election_left.csv,title,"oregon gubernatorial election, 2002",Case_left,title,apodaca v. oregon,0.5992557406425476
Election_left.csv,title,"north dakota gubernatorial election, 2004",Case_left,title,dakota county v. glidden,0.5924819707870483
Election_left.csv,title,"washington attorney general election, 2008",Case_left,title,washington v. glucksberg,0.5893657207489014
Election_left.csv,title,"united states senate election in south dakota, 2004",Case_left,title,south dakota v. opperman,0.587524950504303
Election_left.csv,title,"missouri gubernatorial election, 1948",Case_left,title,missouri v. mcneely,0.5874729156494141
Election_left.csv,title,"northern territory general election, 1994",Case_left,title,bragdon v. abbott,0.582129955291748
Election_left.csv,title,"soviet union legislative election, 1984",Case_left,title,communist party v. subversive activities control board,0.5798780918121338
Election_left.csv,title,"illinois gubernatorial election, 2014",Case_left,title,illinois v. mcarthur,0.5789412260055542
Election_left.csv,title,"northwest territories general election, 1891",Case_left,title,washington v. confederated bands and tribes of the yakima indian nation,0.5771944522857666
Election_left.csv,title,"new jersey gubernatorial election, 2005",Case_left,title,garrity v. new jersey,0.5734725594520569
Election_left.csv,title,"iraqi kurdistan legislative election, 1992",Case_left,title,rasul v. bush,0.5727314949035645
Election_left.csv,title,"puerto rico republican primary, 2012",Case_left,title,cruz v. beto,0.5724103450775146
Election_left.csv,title,"california state senate elections, 1994",Case_left,title,lisenba v. california,0.5714343786239624
Election_left.csv,title,"california superintendent of public instruction election, 2002",Case_left,title,forest grove school district v. t. a.,0.5712395906448364
Election_left.csv,title,"minnesota gubernatorial election, 1910",Case_left,title,minnesota v. mille lacs band of chippewa indians,0.5688682794570923
Election_left.csv,title,"peoria, illinois city council election, 2001",Case_left,title,"city news & novelty, inc. v. waukesha",0.5683516263961792
Election_left.csv,title,"united states senate election in alabama, 1990",Case_left,title,alabama v. bozeman,0.5678519606590271
Election_left.csv,title,"elections to the corts of castile-la mancha, 2011",Case_left,title,cabell v. chavez-salido,0.5642793774604797
Election_left.csv,title,"puerto rican general election, 2008",Case_left,title,posadas de puerto rico associates v. tourism company of puerto rico,0.5638427734375
Election_left.csv,title,"pennsylvania state treasurer election, 2004",Case_left,title,pennsylvania v. mimms,0.5613903999328613
Election_left.csv,title,"connecticut gubernatorial election, 1994",Case_left,title,geer v. connecticut,0.5600489377975464
Election_left.csv,title,"united states senate election in georgia, 2004",Case_left,title,georgia v. mccollum,0.5597832202911377
Election_left.csv,title,"alabama gubernatorial election, 1994",Case_left,title,j.e.b. v. alabama ex rel. t.b.,0.5578747391700745
Election_left.csv,title,"los angeles mayoral election, 1900",Case_left,title,city of los angeles v. lyons,0.5546910166740417
Election_left.csv,title,"north carolina lieutenant gubernatorial election, 2004",Case_left,title,north carolina v. alford,0.5540603399276733
Election_left.csv,title,"united states presidential election in the district of columbia, 1996",Case_left,title,citizens united v. federal election commission,0.5534912347793579
Election_left.csv,title,"louisiana gubernatorial election, 1975",Case_left,title,foucha v. louisiana,0.5516290664672852
Election_left.csv,title,"united states senate special election in south carolina, 2014",Case_left,title,south carolina v. gathers,0.5510128140449524
Election_left.csv,title,"united states senate election in north carolina, 1998",Case_left,title,north carolina v. pearce,0.5492256879806519
Election_left.csv,title,"russian legislative election, 1990",Case_left,title,zemel v. rusk,0.5488659143447876
Election_left.csv,title,"kingdom of serbs, croats and slovenes constitutional assembly election, 1920",Case_left,title,serbian orthodox diocese v. milivojevich,0.5486743450164795
Election_left.csv,title,"united states senate election in nebraska, 1984",Case_left,title,sporhase v. nebraska ex rel. douglas,0.5473966002464294
Election_left.csv,title,"michigan gubernatorial election, 2002",Case_left,title,michigan dept. of state police v. sitz,0.5446840524673462
Election_left.csv,title,"united states senate election in pennsylvania, 1998",Case_left,title,murdock v. pennsylvania,0.5445971488952637
Election_left.csv,title,"united states senate election in south carolina, 1992",Case_left,title,south carolina v. catawba indian tribe,0.5438092947006226
Election_left.csv,title,"georgia gubernatorial election, 1970",Case_left,title,coker v. georgia,0.5434367656707764
Election_left.csv,title,"united states presidential election in georgia, 1992",Case_left,title,georgia v. brailsford (1792),0.542802095413208
Election_left.csv,title,"united states senate election in nevada, 1998",Case_left,title,crandall v. nevada,0.5416809320449829
Election_left.csv,title,"united states presidential election in georgia, 1824",Case_left,title,georgia v. brailsford (1794),0.5415385365486145
Election_left.csv,title,"united states presidential election in florida, 2000",Case_left,title,florida v. bostick,0.5399102568626404
Election_left.csv,title,"denver mayoral election, 2011",Case_left,title,londoner v. denver,0.5398792624473572
Election_left.csv,title,"oregon gubernatorial election, 1970",Case_left,title,de jonge v. oregon,0.5385014414787292
Election_left.csv,title,"hamburg state election, 2001",Case_left,title,village of schaumburg v. citizens for a better environment,0.537617564201355
Election_left.csv,title,"california secretary of state election, 2006",Case_left,title,ker v. california,0.5371432900428772
Election_left.csv,title,"texas gubernatorial election, 2006",Case_left,title,aguilar v. texas,0.5363078117370605
Election_left.csv,title,"rome municipal election, 1993",Case_left,title,ricci v. destefano,0.5360662937164307
Election_left.csv,title,"agriculture commissioner of florida general election, 1994",Case_left,title,"florida lime & avocado growers, inc. v. paul",0.5357303619384766
Election_left.csv,title,"san francisco mayoral election, 1995",Case_left,title,citizens against rent control v. city of berkeley,0.5354021787643433
Election_left.csv,title,"california gubernatorial election, 1942",Case_left,title,talley v. california,0.5351004004478455
Election_left.csv,title,"missouri lieutenant gubernatorial election, 2012",Case_left,title,director of revenue of missouri v. cobank acb,0.5349934101104736
Election_left.csv,title,"zambales' 2nd legislative district special election, 2012",Case_left,title,zablocki v. redhail,0.5339377522468567
Election_left.csv,title,"chicago mayoral election, 2011",Case_left,title,"chicago, b. & q. r. co. v. chicago",0.5333510041236877
Election_left.csv,title,"los angeles mayoral election, 1896",Case_left,title,los angeles county v. humphries,0.5320258140563965
Election_left.csv,title,"united states senate election in illinois, 1986",Case_left,title,ker v. illinois,0.5314026474952698
Election_left.csv,title,"missouri gubernatorial election, 1992",Case_left,title,drope v. missouri,0.5302779674530029
Election_left.csv,title,"united states presidential election in tennessee, 2000",Case_left,title,"nashville, c. & st. l. r. co. v. united states",0.5291976928710938
Election_left.csv,title,"new york gubernatorial election, 1810",Case_left,title,gitlow v. new york,0.528982400894165
Election_left.csv,title,"new york city mayoral election, 2001",Case_left,title,board of estimate of city of new york v. morris,0.5285506248474121
Election_left.csv,title,"los angeles mayoral election, 1945",Case_left,title,"board of airport commissioners of los angeles v. jews for jesus, inc.",0.5276947021484375
Election_left.csv,title,"california state assembly elections, 2012",Case_left,title,brendlin v. california,0.52691650390625
Election_left.csv,title,"strathcona county municipal election, 2013",Case_left,title,davis v. county school board of prince edward county,0.5266456604003906
Election_left.csv,title,"new york gubernatorial election, 1792",Case_left,title,county of oneida v. oneida indian nation of new york state,0.5262044072151184
Election_left.csv,title,"california gubernatorial election, 2002",Case_left,title,hurtado v. california,0.5255603194236755
Election_left.csv,title,"united states senate election in north dakota, 2004",Case_left,title,quill corp. v. north dakota,0.5244942307472229
Election_left.csv,title,"washington, d.c. mayoral election, 1998",Case_left,title,public utilities commission of the district of columbia v. pollak,0.5243301391601562
Election_left.csv,title,"michigan gubernatorial election, 2010",Case_left,title,will v. michigan department of state police,0.5241224765777588
Election_left.csv,title,"kazakhstani presidential election, 1991",Case_left,title,afroyim v. rusk,0.5213200449943542
Election_left.csv,title,"california lieutenant gubernatorial election, 2002",Case_left,title,mcgautha v. california,0.5206844210624695
Election_left.csv,title,"georgia gubernatorial election, 1954",Case_left,title,chisholm v. georgia,0.5190412998199463
Election_left.csv,title,"california state controller election, 2002",Case_left,title,elk grove unified school district v. newdow,0.5185142755508423
Election_left.csv,title,"rio grande do sul gubernatorial election, 2010",Case_left,title,salazar v. buono,0.5182936191558838
Election_left.csv,title,"united states presidential election in oklahoma, 2000",Case_left,title,oklahoma tax commission v. sac & fox nation,0.5178889632225037
Election_left.csv,title,"united states senate election in west virginia, 2002",Case_left,title,"byrd v. blue ridge rural electric cooperative, inc.",0.5173630714416504
Election_left.csv,title,"connecticut gubernatorial election, 1998",Case_left,title,boddie v. connecticut,0.5129883289337158
Election_left.csv,title,"united states senate special election in delaware, 2010",Case_left,title,delaware tribal business committee v. weeks,0.5129566788673401
