query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RailwayLine_left.csv,title,rantarata,MemberOfParliament_left,title,ranjith aluvihare,0.7779008150100708
RailwayLine_left.csv,title,nordfyenske jernbane,MemberOfParliament_left,title,jytte klausen,0.7733782529830933
RailwayLine_left.csv,title,tseung kwan o line,MemberOfParliament_left,title,yeo guat kwang,0.7715091109275818
RailwayLine_left.csv,title,hakubi line,MemberOfParliament_left,title,hawa yakubu,0.7673304080963135
RailwayLine_left.csv,title,svendborgbanen,MemberOfParliament_left,title,erik almqvist,0.7647169828414917
RailwayLine_left.csv,title,niesenbahn,MemberOfParliament_left,title,s. nijamudeen,0.7605613470077515
RailwayLine_left.csv,title,takayama main line,MemberOfParliament_left,title,karaitiana takamoana,0.7527515888214111
RailwayLine_left.csv,title,rea vaya,MemberOfParliament_left,title,rohitha abeygunawardena,0.750472366809845
RailwayLine_left.csv,title,ferrovia cumana,MemberOfParliament_left,title,filomena tassi,0.7476357221603394
RailwayLine_left.csv,title,skagensbanen,MemberOfParliament_left,title,torild skard,0.7407020330429077
RailwayLine_left.csv,title,ferrocarril rosario y puerto belgrano,MemberOfParliament_left,title,manuel de freitas,0.7396259307861328
RailwayLine_left.csv,title,mendel funicular,MemberOfParliament_left,title,john mendelson,0.7344491481781006
RailwayLine_left.csv,title,liujia line,MemberOfParliament_left,title,laurin liu,0.7286930084228516
RailwayLine_left.csv,title,klia ekspres,MemberOfParliament_left,title,tissa karalliyadde,0.7205613851547241
RailwayLine_left.csv,title,hokuriku shinkansen,MemberOfParliament_left,title,buddhika kurukularatne,0.7201440334320068
RailwayLine_left.csv,title,grenaabanen,MemberOfParliament_left,title,gleason belzile,0.7160422205924988
RailwayLine_left.csv,title,gyeongchun line,MemberOfParliament_left,title,ohn kyaing,0.7124195098876953
RailwayLine_left.csv,title,kwun tong line,MemberOfParliament_left,title,kinwun mingyi u kaung,0.7069376111030579
RailwayLine_left.csv,title,tsukuba express,MemberOfParliament_left,title,koo tsai kee,0.7043806910514832
RailwayLine_left.csv,title,la trochita,MemberOfParliament_left,title,trond hegna,0.6993935108184814
RailwayLine_left.csv,title,hirtshalsbanen,MemberOfParliament_left,title,dagmar belakowitsch-jenewein,0.695296585559845
RailwayLine_left.csv,title,nordvestfyenske jernbane,MemberOfParliament_left,title,selvarajah kajendren,0.6950595378875732
RailwayLine_left.csv,title,tazawako line,MemberOfParliament_left,title,lui temelkovski,0.6944810152053833
RailwayLine_left.csv,title,assensbanen,MemberOfParliament_left,title,sarkis assadourian,0.693021297454834
RailwayLine_left.csv,title,kelana jaya line,MemberOfParliament_left,title,akila viraj kariyawasam,0.6913943886756897
RailwayLine_left.csv,title,donghae bukbu line,MemberOfParliament_left,title,lim boon heng,0.6910378932952881
RailwayLine_left.csv,title,ebart,MemberOfParliament_left,title,saeb erekat,0.6812582612037659
RailwayLine_left.csv,title,whitecliffs branch,MemberOfParliament_left,title,eilidh whiteford,0.6811836361885071
RailwayLine_left.csv,title,seibu tamako line,MemberOfParliament_left,title,tuiti makitanara,0.6790250539779663
RailwayLine_left.csv,title,kotoden kotohira line,MemberOfParliament_left,title,kojo yankah,0.6782623529434204
RailwayLine_left.csv,title,hsl-zuid,MemberOfParliament_left,title,sherzad hafiz,0.6779874563217163
RailwayLine_left.csv,title,rokua railway,MemberOfParliament_left,title,nelli rokita,0.6779704689979553
RailwayLine_left.csv,title,marzilibahn funicular,MemberOfParliament_left,title,masizole mnqasela,0.6772971153259277
RailwayLine_left.csv,title,tamsui line (tra),MemberOfParliament_left,title,hori kerei taiaroa,0.676159679889679
RailwayLine_left.csv,title,tsurumi line,MemberOfParliament_left,title,dantes tsitsi,0.6729598045349121
RailwayLine_left.csv,title,keisei chihara line,MemberOfParliament_left,title,corneliu chisu,0.6728024482727051
RailwayLine_left.csv,title,don mills lrt,MemberOfParliament_left,title,don mazankowski,0.6695297956466675
RailwayLine_left.csv,title,go-alrt,MemberOfParliament_left,title,john michael gorst,0.6658867597579956
RailwayLine_left.csv,title,thumer netz,MemberOfParliament_left,title,tsebin tchen,0.6656492948532104
RailwayLine_left.csv,title,hsl 1,MemberOfParliament_left,title,les haylen,0.6654723286628723
RailwayLine_left.csv,title,gyeongbuk line,MemberOfParliament_left,title,zaw myint maung,0.6638737916946411
RailwayLine_left.csv,title,uetsu main line,MemberOfParliament_left,title,henare uru,0.6616373062133789
RailwayLine_left.csv,title,kisuki line,MemberOfParliament_left,title,kieren keke,0.6608506441116333
RailwayLine_left.csv,title,seibu seibu-en line,MemberOfParliament_left,title,kwadwo baah wiredu,0.6603342294692993
RailwayLine_left.csv,title,mito line,MemberOfParliament_left,title,mita ririnui,0.6583365201950073
RailwayLine_left.csv,title,betuweroute,MemberOfParliament_left,title,ruwan wijewardene,0.6561282873153687
RailwayLine_left.csv,title,katsuyama eiheiji line,MemberOfParliament_left,title,haami tokouru ratana,0.6557575464248657
RailwayLine_left.csv,title,muroran main line,MemberOfParliament_left,title,muthu sivalingam,0.6553781032562256
RailwayLine_left.csv,title,nichinan line,MemberOfParliament_left,title,nic dakin,0.6539440751075745
RailwayLine_left.csv,title,hanshin namba line,MemberOfParliament_left,title,khin htay kywe,0.6524229049682617
RailwayLine_left.csv,title,ferrocarril general urquiza,MemberOfParliament_left,title,te ururoa flavell,0.6522897481918335
RailwayLine_left.csv,title,media/elwyn line,MemberOfParliament_left,title,elfyn llwyd,0.6521113514900208
RailwayLine_left.csv,title,gyeongbu line,MemberOfParliament_left,title,khin aung myint,0.6521079540252686
RailwayLine_left.csv,title,changjin line,MemberOfParliament_left,title,chay wai chuen,0.6512163281440735
RailwayLine_left.csv,title,tua line,MemberOfParliament_left,title,metiria turei,0.6508110761642456
RailwayLine_left.csv,title,seibu sayama line,MemberOfParliament_left,title,sej motau,0.6504780650138855
RailwayLine_left.csv,title,hanawa line,MemberOfParliament_left,title,hone harawira,0.6500064134597778
RailwayLine_left.csv,title,douglas branch,MemberOfParliament_left,title,daniel j. macdonald,0.6476782560348511
RailwayLine_left.csv,title,paengma line,MemberOfParliament_left,title,tapihana paraire paikea,0.6471042037010193
RailwayLine_left.csv,title,ligne du haut-bugey,MemberOfParliament_left,title,fabien boisvert,0.6468518972396851
RailwayLine_left.csv,title,toei asakusa line,MemberOfParliament_left,title,ihaia tainui,0.6457264423370361
RailwayLine_left.csv,title,sulitjelma line,MemberOfParliament_left,title,susil moonesinghe,0.642024040222168
RailwayLine_left.csv,title,ferrocarril general roca,MemberOfParliament_left,title,anthony rota,0.6395021080970764
RailwayLine_left.csv,title,rer d,MemberOfParliament_left,title,kerry rea,0.6389788389205933
RailwayLine_left.csv,title,tsuen wan line,MemberOfParliament_left,title,peter chin fah kui,0.6388084292411804
RailwayLine_left.csv,title,e embarcadero,MemberOfParliament_left,title,con sciacca,0.6381567716598511
RailwayLine_left.csv,title,hejaz railway,MemberOfParliament_left,title,lutz heilmann,0.6361316442489624
RailwayLine_left.csv,title,dolderbahn,MemberOfParliament_left,title,ralf dahrendorf,0.6347097158432007
RailwayLine_left.csv,title,roslagsbanan,MemberOfParliament_left,title,sussan ley,0.6344618797302246
RailwayLine_left.csv,title,senzan line,MemberOfParliament_left,title,mark senn,0.63233482837677
RailwayLine_left.csv,title,hallam line,MemberOfParliament_left,title,eldred hallas,0.6312264204025269
RailwayLine_left.csv,title,bankura damodar railway,MemberOfParliament_left,title,r. m. gamini rathnayake,0.6298694610595703
RailwayLine_left.csv,title,rail baltica,MemberOfParliament_left,title,oras tynkkynen,0.6280755996704102
