query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RailwayLine_left.csv,title,s30 (zvv),TelevisionStation_left,title,k30hb,0.7689552307128906
RailwayLine_left.csv,title,s15 (zvv),TelevisionStation_left,title,k15fw,0.7638651132583618
RailwayLine_left.csv,title,klia ekspres,TelevisionStation_left,title,kxla,0.7550853490829468
RailwayLine_left.csv,title,hsl 1,TelevisionStation_left,title,khnl,0.753756046295166
RailwayLine_left.csv,title,s24 (zvv),TelevisionStation_left,title,svt24,0.7471081614494324
RailwayLine_left.csv,title,s29 (zvv),TelevisionStation_left,title,k28hs,0.7460685968399048
RailwayLine_left.csv,title,s41 (zvv),TelevisionStation_left,title,k41oi,0.7447547912597656
RailwayLine_left.csv,title,niesenbahn,TelevisionStation_left,title,nrn,0.7348266839981079
RailwayLine_left.csv,title,thumer netz,TelevisionStation_left,title,trt avaz,0.7146725654602051
RailwayLine_left.csv,title,betuweroute,TelevisionStation_left,title,trt belgesel,0.7113996744155884
RailwayLine_left.csv,title,s35 (zvv),TelevisionStation_left,title,k35dg,0.70960533618927
RailwayLine_left.csv,title,rea vaya,TelevisionStation_left,title,dvojka,0.704379677772522
RailwayLine_left.csv,title,grenaabanen,TelevisionStation_left,title,tvn gra,0.7041840553283691
RailwayLine_left.csv,title,ebart,TelevisionStation_left,title,etb 1,0.6984114050865173
RailwayLine_left.csv,title,roslagsbanan,TelevisionStation_left,title,gnn roxas,0.6971986293792725
RailwayLine_left.csv,title,arex,TelevisionStation_left,title,wfgx,0.6945429444313049
RailwayLine_left.csv,title,s9 (zvv),TelevisionStation_left,title,k09yl-d,0.6893850564956665
RailwayLine_left.csv,title,kishin line,TelevisionStation_left,title,kkai,0.6875309944152832
RailwayLine_left.csv,title,tseung kwan o line,TelevisionStation_left,title,shuang xing,0.6856067180633545
RailwayLine_left.csv,title,muroran main line,TelevisionStation_left,title,mun2,0.6847313046455383
RailwayLine_left.csv,title,hokuriku shinkansen,TelevisionStation_left,title,kuen,0.6840125918388367
RailwayLine_left.csv,title,kisuki line,TelevisionStation_left,title,kake,0.67741858959198
RailwayLine_left.csv,title,hirtshalsbanen,TelevisionStation_left,title,weht,0.6708736419677734
RailwayLine_left.csv,title,tsukuba express,TelevisionStation_left,title,chau-dt,0.6643734574317932
RailwayLine_left.csv,title,assensbanen,TelevisionStation_left,title,axn,0.6639291048049927
RailwayLine_left.csv,title,505 dundas,TelevisionStation_left,title,k47dr,0.6611214876174927
RailwayLine_left.csv,title,rantarata,TelevisionStation_left,title,rcti,0.6606397032737732
RailwayLine_left.csv,title,karatsu line,TelevisionStation_left,title,k11uj,0.6591801643371582
RailwayLine_left.csv,title,rer d,TelevisionStation_left,title,khrr,0.6571896076202393
RailwayLine_left.csv,title,seibu seibu-en line,TelevisionStation_left,title,kyuu-ld,0.6569305658340454
RailwayLine_left.csv,title,whifflet line,TelevisionStation_left,title,wlfl,0.656042218208313
RailwayLine_left.csv,title,marzilibahn funicular,TelevisionStation_left,title,buzmuzik,0.6542538404464722
RailwayLine_left.csv,title,mrt purple line,TelevisionStation_left,title,mrt 1,0.6533405184745789
RailwayLine_left.csv,title,tua line,TelevisionStation_left,title,tisa 1,0.6518582105636597
RailwayLine_left.csv,title,kotoden kotohira line,TelevisionStation_left,title,koin,0.6492030024528503
RailwayLine_left.csv,title,kwun tong line,TelevisionStation_left,title,kuok-ca,0.647864818572998
RailwayLine_left.csv,title,carmelit,TelevisionStation_left,title,k69it,0.6469692587852478
RailwayLine_left.csv,title,uetsu main line,TelevisionStation_left,title,utv2,0.6462902426719666
RailwayLine_left.csv,title,lgv est,TelevisionStation_left,title,kltv,0.6452096700668335
RailwayLine_left.csv,title,nordvestfyenske jernbane,TelevisionStation_left,title,rikstoto direkte,0.6417362093925476
RailwayLine_left.csv,title,hsl-zuid,TelevisionStation_left,title,arutz hayeladim,0.6406561136245728
RailwayLine_left.csv,title,gyeongbuk line,TelevisionStation_left,title,kuok,0.6385706663131714
RailwayLine_left.csv,title,e embarcadero,TelevisionStation_left,title,enca,0.63829505443573
RailwayLine_left.csv,title,yamatoji line,TelevisionStation_left,title,yswa,0.6372203230857849
RailwayLine_left.csv,title,kelana jaya line,TelevisionStation_left,title,mahuaa khobor,0.6369230151176453
RailwayLine_left.csv,title,lgv nord,TelevisionStation_left,title,kvnv,0.6330978870391846
RailwayLine_left.csv,title,svendborgbanen,TelevisionStation_left,title,klmn,0.6307917833328247
RailwayLine_left.csv,title,nordfyenske jernbane,TelevisionStation_left,title,zdfkultur,0.630516529083252
RailwayLine_left.csv,title,502 downtowner,TelevisionStation_left,title,w50ch,0.6299023628234863
RailwayLine_left.csv,title,kotoden shido line,TelevisionStation_left,title,ktdo,0.6267400979995728
RailwayLine_left.csv,title,506 carlton,TelevisionStation_left,title,w47co,0.6255412101745605
RailwayLine_left.csv,title,styal line,TelevisionStation_left,title,stq,0.6232766509056091
RailwayLine_left.csv,title,rhein-express,TelevisionStation_left,title,srf zwei,0.6217782497406006
RailwayLine_left.csv,title,srt dark red line,TelevisionStation_left,title,srf 1,0.6217349767684937
RailwayLine_left.csv,title,wriezen railway,TelevisionStation_left,title,woch-ca,0.6205493807792664
RailwayLine_left.csv,title,kagoshima main line,TelevisionStation_left,title,kakm,0.6181519031524658
RailwayLine_left.csv,title,go-alrt,TelevisionStation_left,title,gnt,0.6180630922317505
RailwayLine_left.csv,title,nichinan line,TelevisionStation_left,title,nilachakra ekamra,0.6180604696273804
RailwayLine_left.csv,title,rjukan line,TelevisionStation_left,title,rik 1,0.6178484559059143
RailwayLine_left.csv,title,gyeongbu line,TelevisionStation_left,title,khou,0.6178361177444458
RailwayLine_left.csv,title,o-train,TelevisionStation_left,title,oln,0.6170339584350586
RailwayLine_left.csv,title,parsenn bahn,TelevisionStation_left,title,prosiebensat.1 welt,0.6164371967315674
RailwayLine_left.csv,title,kashima line,TelevisionStation_left,title,kasw,0.6161664128303528
RailwayLine_left.csv,title,karasuyama line,TelevisionStation_left,title,kmyu,0.6157914400100708
RailwayLine_left.csv,title,kei rail,TelevisionStation_left,title,kiii,0.6150978803634644
RailwayLine_left.csv,title,skagensbanen,TelevisionStation_left,title,klrn,0.6139870882034302
RailwayLine_left.csv,title,kotoden nagao line,TelevisionStation_left,title,ksao-ld,0.6128250956535339
RailwayLine_left.csv,title,north-west t-way,TelevisionStation_left,title,wway,0.6119592189788818
RailwayLine_left.csv,title,m ocean view,TelevisionStation_left,title,k08mm,0.6115469932556152
RailwayLine_left.csv,title,la trochita,TelevisionStation_left,title,la deux,0.6112508773803711
RailwayLine_left.csv,title,rokua railway,TelevisionStation_left,title,klru,0.6106129288673401
RailwayLine_left.csv,title,509 harbourfront,TelevisionStation_left,title,k49fv,0.6096826791763306
RailwayLine_left.csv,title,kalininskaya line,TelevisionStation_left,title,kinotv,0.6078701019287109
RailwayLine_left.csv,title,r7 (septa),TelevisionStation_left,title,w07bn-d,0.6055771112442017
RailwayLine_left.csv,title,ibusuki makurazaki line,TelevisionStation_left,title,ibuy,0.6047328114509583
RailwayLine_left.csv,title,seibu tamako line,TelevisionStation_left,title,yle teema,0.6046614646911621
RailwayLine_left.csv,title,wherry lines,TelevisionStation_left,title,wqow,0.6045746803283691
RailwayLine_left.csv,title,red line (kmrt),TelevisionStation_left,title,kmtr,0.6045417785644531
RailwayLine_left.csv,title,te aro extension,TelevisionStation_left,title,explora,0.604097843170166
RailwayLine_left.csv,title,kitakami line,TelevisionStation_left,title,kyma-dt,0.6035200357437134
RailwayLine_left.csv,title,hitahikosan line,TelevisionStation_left,title,koha-ld,0.6012940406799316
