query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SportsLeague_left.csv,title,malaysia premier league,SoccerClubSeason_right,title,2012 kuala lumpur fa season,0.8352153301239014
SportsLeague_left.csv,title,australian football international cup,SoccerClubSeason_right,title,2006 australia national soccer team season,0.8104137182235718
SportsLeague_left.csv,title,ulster senior league (association football),SoccerClubSeason_right,title,2011 down gaa senior football,0.7882684469223022
SportsLeague_left.csv,title,korea national league,SoccerClubSeason_right,title,2011 incheon united fc season,0.7502894997596741
SportsLeague_left.csv,title,south wales senior league,SoccerClubSeason_right,title,2010 down gaa senior football,0.7482799887657166
SportsLeague_left.csv,title,rugby football league championship,SoccerClubSeason_right,title,2012 woodlands wellington fc season,0.730097770690918
SportsLeague_left.csv,title,northern ireland intermediate league,SoccerClubSeason_right,title,derry football season 2008,0.7277151346206665
SportsLeague_left.csv,title,league of ireland first division,SoccerClubSeason_right,title,derry football season 2010,0.7192962169647217
SportsLeague_left.csv,title,oceania cup,SoccerClubSeason_right,title,2008 australia national soccer team season,0.7181088924407959
SportsLeague_left.csv,title,basingstoke and district football league,SoccerClubSeason_right,title,derry football season 2009,0.7105059623718262
SportsLeague_left.csv,title,midlands rugby league division one,SoccerClubSeason_right,title,2011 woodlands wellington fc season,0.7099486589431763
SportsLeague_left.csv,title,north gwent football league,SoccerClubSeason_right,title,2010 woodlands wellington fc season,0.7082620859146118
SportsLeague_left.csv,title,foru oceania cup,SoccerClubSeason_right,title,2009 australia national soccer team season,0.7040205597877502
SportsLeague_left.csv,title,esso cup,SoccerClubSeason_right,title,2003 cienciano season,0.7011082172393799
SportsLeague_left.csv,title,super league (australia),SoccerClubSeason_right,title,2007 australia national soccer team season,0.6993110179901123
SportsLeague_left.csv,title,highland football league,SoccerClubSeason_right,title,2013 woodlands wellington fc season,0.6969342231750488
SportsLeague_left.csv,title,florida international league,SoccerClubSeason_right,title,2011 orlando city sc season,0.6935828924179077
SportsLeague_left.csv,title,swedish football division 2,SoccerClubSeason_right,title,2009 helsingin jalkapalloklubi season,0.6874321699142456
SportsLeague_left.csv,title,egyptian premier league,SoccerClubSeason_right,title,2012 incheon united fc season,0.682105302810669
SportsLeague_left.csv,title,nsw premier league,SoccerClubSeason_right,title,2010 australia national soccer team season,0.679304838180542
SportsLeague_left.csv,title,south australian amateur football league,SoccerClubSeason_right,title,2013 australia national soccer team season,0.6718990206718445
SportsLeague_left.csv,title,oceania baseball championship,SoccerClubSeason_right,title,2002 australia national soccer team season,0.670850396156311
SportsLeague_left.csv,title,australian provincial championship,SoccerClubSeason_right,title,2011 australia national soccer team season,0.6676019430160522
SportsLeague_left.csv,title,north east australian football league,SoccerClubSeason_right,title,2012 australia national soccer team season,0.6639034748077393
SportsLeague_left.csv,title,egyptian fourth division,SoccerClubSeason_right,title,2013 incheon united fc season,0.661784291267395
SportsLeague_left.csv,title,west australian football league,SoccerClubSeason_right,title,2005 australia national soccer team season,0.6559237241744995
SportsLeague_left.csv,title,fk-league,SoccerClubSeason_right,title,2012 jeju united fc season,0.6556878089904785
SportsLeague_left.csv,title,safa regional league,SoccerClubSeason_right,title,2013 negeri sembilan fa season,0.6547954678535461
SportsLeague_left.csv,title,sydney women's afl,SoccerClubSeason_right,title,2000 australia national soccer team season,0.6493169069290161
SportsLeague_left.csv,title,queensland cup,SoccerClubSeason_right,title,1999 australia national soccer team season,0.6455650329589844
SportsLeague_left.csv,title,malaysia fa cup,SoccerClubSeason_right,title,2011 jeonbuk hyundai motors fc season,0.6404592394828796
SportsLeague_left.csv,title,major league soccer,SoccerClubSeason_right,title,2012 orlando city sc season,0.6395130157470703
SportsLeague_left.csv,title,southern football league (south australia),SoccerClubSeason_right,title,2003 australia national soccer team season,0.6390523910522461
SportsLeague_left.csv,title,australian baseball league,SoccerClubSeason_right,title,2004 australia national soccer team season,0.6369988322257996
SportsLeague_left.csv,title,ontario australian football league division 2,SoccerClubSeason_right,title,2001 australia national soccer team season,0.6306169033050537
SportsLeague_left.csv,title,south african soccer league,SoccerClubSeason_right,title,2012 daejeon citizen fc season,0.6295680999755859
SportsLeague_left.csv,title,central hockey league,SoccerClubSeason_right,title,2013 carolina railhawks season,0.6285529136657715
SportsLeague_left.csv,title,australia women's championships (baseball),SoccerClubSeason_right,title,1998 australia national soccer team season,0.6269574761390686
SportsLeague_left.csv,title,american professional football league,SoccerClubSeason_right,title,2012 down football season,0.6256579756736755
SportsLeague_left.csv,title,united states football league (2013-),SoccerClubSeason_right,title,2013 down football season,0.6239113807678223
SportsLeague_left.csv,title,korea baseball futures league,SoccerClubSeason_right,title,2011 daejeon citizen fc season,0.6221588850021362
SportsLeague_left.csv,title,cev champions league,SoccerClubSeason_right,title,2013 orlando city sc season,0.6164733171463013
SportsLeague_left.csv,title,fiba oceania youth tournament,SoccerClubSeason_right,title,1996 australia national soccer team season,0.6163841485977173
SportsLeague_left.csv,title,all american football league,SoccerClubSeason_right,title,2010 down football season,0.6092190742492676
SportsLeague_left.csv,title,australian national water polo league,SoccerClubSeason_right,title,1997 australia national soccer team season,0.6079084873199463
SportsLeague_left.csv,title,united states football league,SoccerClubSeason_right,title,2009 down football season,0.6067055463790894
SportsLeague_left.csv,title,southern football league,SoccerClubSeason_right,title,2011 down football season,0.606106698513031
SportsLeague_left.csv,title,omani super cup,SoccerClubSeason_right,title,2010 jeonbuk hyundai motors fc season,0.6057262420654297
SportsLeague_left.csv,title,safa second division,SoccerClubSeason_right,title,2012 jeonbuk hyundai motors fc season,0.5778284072875977
SportsLeague_left.csv,title,k league,SoccerClubSeason_right,title,2012 jeonnam dragons season,0.5724949836730957
SportsLeague_left.csv,title,welsh alliance league,SoccerClubSeason_right,title,2011 jeonnam dragons season,0.5682719945907593
