query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Stadium_left.csv,title,bladerunners ice complex,Stadium_right,title,bladerunners ice complex,1.0
Stadium_left.csv,title,hohokam stadium,Stadium_right,title,hohokam stadium,1.0
Stadium_left.csv,title,sartain hall (old trojan arena),Stadium_right,title,sartain hall (old trojan arena),0.9999999403953552
Stadium_left.csv,title,"memorial stadium, asheville",Stadium_right,title,memorial stadium (asheville),0.9909622073173523
Stadium_left.csv,title,k park training academy,Stadium_right,title,k-park training academy,0.9887659549713135
Stadium_left.csv,title,jinnah stadium (gujranwala),Stadium_right,title,"jinnah stadium, gujranwala",0.9823787808418274
Stadium_left.csv,title,"county ground, leyland",Stadium_right,title,county ground (leyland),0.9819949865341187
Stadium_left.csv,title,"world arena, colorado springs",Stadium_right,title,"world arena (colorado springs, colorado)",0.9792343378067017
Stadium_left.csv,title,stade d'albert domec,Stadium_right,title,stade albert domec,0.9778079986572266
Stadium_left.csv,title,the float at marina bay,Stadium_right,title,the float@marina bay,0.976239800453186
Stadium_left.csv,title,stadion florian krygier,Stadium_right,title,stadion florian kryger,0.9762006402015686
Stadium_left.csv,title,stade 5 juillet 1962,Stadium_right,title,stade du 5 juillet 1962,0.9760351181030273
Stadium_left.csv,title,"victory park, chorley",Stadium_right,title,victory park (chorley),0.9760036468505859
Stadium_left.csv,title,the sevens (stadium),Stadium_right,title,the sevens stadium,0.9750398397445679
Stadium_left.csv,title,"west end park (houston, texas)",Stadium_right,title,west end park (houston),0.9726460576057434
Stadium_left.csv,title,city stadium (podujevo),Stadium_right,title,podujevo city stadium,0.9715641140937805
Stadium_left.csv,title,iksan south korea national baseball team training stadium,Stadium_right,title,"south korea national baseball team training stadium, iksan",0.9703731536865234
Stadium_left.csv,title,lg champions park,Stadium_right,title,lg champion's park,0.968191385269165
Stadium_left.csv,title,"christie park, morecambe",Stadium_right,title,christie park (morecambe),0.9680655002593994
Stadium_left.csv,title,lagos national stadium,Stadium_right,title,"national stadium, lagos",0.9671794176101685
Stadium_left.csv,title,united stadium of chiangrai,Stadium_right,title,united stadium of chiang rai,0.9671410322189331
Stadium_left.csv,title,geroskipou stadium,Stadium_right,title,geroskipou municipality stadium,0.9654124975204468
Stadium_left.csv,title,"eugene e. stone iii stadium (greenville, south carolina)",Stadium_right,title,eugene e. stone iii stadium (greenville),0.9626493453979492
Stadium_left.csv,title,ulsan baseball stadium,Stadium_right,title,ulsan munsu baseball stadium,0.9605644941329956
Stadium_left.csv,title,goyang korea national baseball team training stadium,Stadium_right,title,"south korea national baseball team training stadium, goyang",0.9588267803192139
Stadium_left.csv,title,"victoria park, hartlepool",Stadium_right,title,victoria park (hartlepool),0.9584051370620728
Stadium_left.csv,title,krylatskoe sport palace,Stadium_right,title,krylatskoye sports palace,0.9496948719024658
Stadium_left.csv,title,zayed sports city stadium,Stadium_right,title,sheikh zayed stadium,0.946069598197937
Stadium_left.csv,title,fedexfield,Stadium_right,title,fedex field,0.9424810409545898
Stadium_left.csv,title,bright hockey center,Stadium_right,title,bright-landry hockey center,0.9363461136817932
Stadium_left.csv,title,lankaran city stadium,Stadium_right,title,khazar lankaran central stadium,0.9360727071762085
Stadium_left.csv,title,city stadium (gnjilane),Stadium_right,title,city stadium (gjilan),0.9318662881851196
Stadium_left.csv,title,guangdong olympic tennis centre,Stadium_right,title,"national tennis center, beijing",0.9245831966400146
Stadium_left.csv,title,khon kaen stadium,Stadium_right,title,khon kaen provincial stadium,0.9237250089645386
Stadium_left.csv,title,welch stadium,Stadium_right,title,francis g. welch stadium,0.9228328466415405
Stadium_left.csv,title,"jean-bouin stadium, angers",Stadium_right,title,stade jean-bouin (angers),0.9226497411727905
Stadium_left.csv,title,toyota athletic stadium,Stadium_right,title,toyota stadium (texas),0.9221411943435669
Stadium_left.csv,title,arena zagreb,Stadium_right,title,belgrade arena,0.9170459508895874
Stadium_left.csv,title,schaumburg baseball stadium,Stadium_right,title,schaumburg boomers stadium,0.9129179120063782
Stadium_left.csv,title,estadio iv centenario,Stadium_right,title,estadio centenario (cuernavaca),0.9126561880111694
Stadium_left.csv,title,bb&t ballpark (charlotte),Stadium_right,title,"bb&t ballpark (winston-salem, north carolina)",0.911245584487915
Stadium_left.csv,title,kocaeli b.b. ice arena,Stadium_right,title,kocaeli ice rink,0.9093894958496094
Stadium_left.csv,title,yadegar-e emam stadium,Stadium_right,title,yadegar-e emam stadium (tabriz),0.9093684554100037
Stadium_left.csv,title,olympic stadium (berlin),Stadium_right,title,olympiastadion (berlin),0.9088708162307739
Stadium_left.csv,title,jassim bin hamad stadium,Stadium_right,title,saoud bin abdulrahman stadium,0.9082565307617188
Stadium_left.csv,title,the o2 arena,Stadium_right,title,the o2 arena (london),0.9071366786956787
Stadium_left.csv,title,eintracht-stadion,Stadium_right,title,stadion am laubenweg,0.9065208435058594
Stadium_left.csv,title,varsity field (albany baseball),Stadium_right,title,"varsity field (albany, new york)",0.9062549471855164
Stadium_left.csv,title,penang international sports arena,Stadium_right,title,penang state stadium,0.9056345820426941
Stadium_left.csv,title,varsity field (binghamton baseball),Stadium_right,title,"varsity field (binghamton, new york)",0.9039248824119568
Stadium_left.csv,title,baluan sholak palace of culture and sports,Stadium_right,title,baluan sholak sports palace,0.9038619995117188
Stadium_left.csv,title,york stadium,Stadium_right,title,york lions stadium,0.901096761226654
Stadium_left.csv,title,arena fonte nova,Stadium_right,title,itaipava arena fonte nova,0.899900496006012
Stadium_left.csv,title,moscow region stadium,Stadium_right,title,spartak stadium (moscow),0.899690568447113
Stadium_left.csv,title,suwon world cup stadium,Stadium_right,title,suwon civic stadium,0.8994877338409424
Stadium_left.csv,title,chandrasekharan nair stadium,Stadium_right,title,rajiv gandhi indoor stadium,0.8991782665252686
Stadium_left.csv,title,td waterhouse stadium,Stadium_right,title,td stadium,0.898605465888977
Stadium_left.csv,title,stadion woudestein,Stadium_right,title,isachsen stadion,0.8980214595794678
Stadium_left.csv,title,stadion lachen,Stadium_right,title,lahden stadion,0.8976008892059326
Stadium_left.csv,title,siu arena,Stadium_right,title,secu arena,0.8940438032150269
Stadium_left.csv,title,panathinaikos f.c. new stadium,Stadium_right,title,panathinaiko stadium,0.8926504850387573
Stadium_left.csv,title,al-najma club stadium,Stadium_right,title,al-khor sc stadium,0.8913553953170776
Stadium_left.csv,title,suphanburi municipality stadium,Stadium_right,title,suphan buri provincial stadium,0.8911861181259155
Stadium_left.csv,title,guangdong provincial people's stadium,Stadium_right,title,guangzhou university town stadium,0.8910874128341675
Stadium_left.csv,title,nuevo estadio de malabo,Stadium_right,title,estadio municipal da malata,0.8900771141052246
Stadium_left.csv,title,all sports stadium,Stadium_right,title,athletics stadium,0.8882529735565186
Stadium_left.csv,title,stadio claudio tomei,Stadium_right,title,stadio sergio lanfranchi,0.8877415657043457
Stadium_left.csv,title,estadio eduardo santos,Stadium_right,title,estadio luis \,0.8866264820098877
Stadium_left.csv,title,td bank sports center,Stadium_right,title,td place arena,0.8849437236785889
