query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Hospital_left.csv,title,st emlyn's,HistoricBuilding_left,title,st george botolph lane,0.7667275071144104
Hospital_left.csv,title,kantonsspital st. gallen,HistoricBuilding_left,title,domkirche st. marien,0.7583779096603394
Hospital_left.csv,title,whitchurch hospital,HistoricBuilding_left,title,wythburn church,0.737085223197937
Hospital_left.csv,title,the christ hospital,HistoricBuilding_left,title,christ the redeemer church,0.7316990494728088
Hospital_left.csv,title,hospital del divino salvador,HistoricBuilding_left,title,iglesia de san salvador (nocedo),0.722657322883606
Hospital_left.csv,title,istituto giannina gaslini,HistoricBuilding_left,title,sant'angelo a nilo,0.7201948165893555
Hospital_left.csv,title,"hospital of st john the baptist, high wycombe",HistoricBuilding_left,title,"st john the baptist, hoxton",0.7198847532272339
Hospital_left.csv,title,our lady of maryknoll hospital,HistoricBuilding_left,title,"st. mary of perpetual help's church (chicago, illinois)",0.7157830595970154
Hospital_left.csv,title,klinikum aachen,HistoricBuilding_left,title,"oostkerk, middelburg",0.7146122455596924
Hospital_left.csv,title,hospital kiang wu,HistoricBuilding_left,title,jingo-ji,0.7129029035568237
Hospital_left.csv,title,st pancras hospital,HistoricBuilding_left,title,"st pancras, soper lane",0.7099617719650269
Hospital_left.csv,title,baptist health,HistoricBuilding_left,title,stechford baptist church,0.7070733308792114
Hospital_left.csv,title,"queen mary's hospital, sidcup",HistoricBuilding_left,title,st mary our lady sidlesham,0.706755518913269
Hospital_left.csv,title,sabbatsbergs sjukhus,HistoricBuilding_left,title,"christophoruskirche, schierstein",0.7003960013389587
Hospital_left.csv,title,"st. mary's hospital, burghill",HistoricBuilding_left,title,"st mary's church, burham",0.6993405818939209
Hospital_left.csv,title,"diocesan house, st albans",HistoricBuilding_left,title,"st peter ad vincula, south newington",0.6932495832443237
Hospital_left.csv,title,st audry's hospital,HistoricBuilding_left,title,st mary aldermary,0.6882381439208984
Hospital_left.csv,title,jinja hospital,HistoricBuilding_left,title,jindai-ji,0.6868674755096436
Hospital_left.csv,title,warneford hospital,HistoricBuilding_left,title,"jireh chapel, haywards heath",0.6862417459487915
Hospital_left.csv,title,our lady of lourdes hospital (drogheda),HistoricBuilding_left,title,"our lady of lourdes church, tiruchirapalli",0.6862314343452454
Hospital_left.csv,title,hoshizuka keiaien sanatorium,HistoricBuilding_left,title,"kiyomizu-dera (isumi, chiba)",0.6859676837921143
Hospital_left.csv,title,st catherine's hospital,HistoricBuilding_left,title,"st margaret's, cley",0.6834166049957275
Hospital_left.csv,title,murambinda mission hospital,HistoricBuilding_left,title,mulanthuruthy marthoman church,0.6826597452163696
Hospital_left.csv,title,bangued christian hospital,HistoricBuilding_left,title,church of our lady the merciful,0.6824076771736145
Hospital_left.csv,title,saint louis university hospital,HistoricBuilding_left,title,saint-paul-saint-louis,0.6812809109687805
Hospital_left.csv,title,bangkok christian hospital,HistoricBuilding_left,title,"sacred heart church, doboj",0.6795503497123718
Hospital_left.csv,title,st peter's hospital (chertsey),HistoricBuilding_left,title,"st christopher's church, pott shrigley",0.6793568134307861
Hospital_left.csv,title,kingseat hospital,HistoricBuilding_left,title,king's church uckfield,0.6773310303688049
Hospital_left.csv,title,khoo teck puat hospital,HistoricBuilding_left,title,wat phra kaew,0.6767518520355225
Hospital_left.csv,title,st. mary's hospital lacor,HistoricBuilding_left,title,st mary matfelon,0.674697756767273
Hospital_left.csv,title,pok oi hospital,HistoricBuilding_left,title,hokke-ji,0.6710519790649414
Hospital_left.csv,title,st vincents & mercy private hospital,HistoricBuilding_left,title,"st michael le belfrey, york",0.6695248484611511
Hospital_left.csv,title,lakeridge health bowmanville,HistoricBuilding_left,title,lakewood church,0.666284441947937
Hospital_left.csv,title,kwong wah hospital,HistoricBuilding_left,title,kheng hock keong temple,0.6630781888961792
Hospital_left.csv,title,sacred heart hospital (roscommon),HistoricBuilding_left,title,"st michael's church, burwell",0.6627522706985474
Hospital_left.csv,title,beijing tongren hospital,HistoricBuilding_left,title,tianning temple (changzhou),0.6618191003799438
Hospital_left.csv,title,saint john's health center,HistoricBuilding_left,title,"st. mary with st. john's church, n18",0.6611654758453369
Hospital_left.csv,title,jarvis hospital,HistoricBuilding_left,title,"rehoboth chapel, jarvis brook",0.6609460115432739
Hospital_left.csv,title,oku-komyo-en sanatorium,HistoricBuilding_left,title,okkenhaug chapel,0.6605570316314697
Hospital_left.csv,title,st. mary's hospital (montreal),HistoricBuilding_left,title,"st. francis of assisi, toronto",0.659066915512085
Hospital_left.csv,title,ishaka adventist hospital,HistoricBuilding_left,title,atlah worldwide church,0.6585416793823242
Hospital_left.csv,title,st andrews community hospital,HistoricBuilding_left,title,"st leonard, eastcheap",0.6585172414779663
Hospital_left.csv,title,the methodist hospital,HistoricBuilding_left,title,borrowash methodist church,0.6584303379058838
Hospital_left.csv,title,the nazareth hospital,HistoricBuilding_left,title,st. luke's united church,0.6573506593704224
Hospital_left.csv,title,sisters of charity hospital (zagreb),HistoricBuilding_left,title,"church of our lady of health, kistanje",0.6569130420684814
Hospital_left.csv,title,st. clare hospital,HistoricBuilding_left,title,st mary abchurch,0.6557105779647827
Hospital_left.csv,title,itojo hospital,HistoricBuilding_left,title,daitoku-ji,0.6549856066703796
Hospital_left.csv,title,nishtar hospital,HistoricBuilding_left,title,ninna-ji,0.654625654220581
Hospital_left.csv,title,stracathro hospital,HistoricBuilding_left,title,strinda church,0.6545475721359253
Hospital_left.csv,title,miyako nanseien sanatorium,HistoricBuilding_left,title,narita-san,0.6540840864181519
Hospital_left.csv,title,st helier hospital,HistoricBuilding_left,title,st benet sherehog,0.6537991762161255
Hospital_left.csv,title,bispebjerg hospital,HistoricBuilding_left,title,burfjord church,0.6531096696853638
Hospital_left.csv,title,royal derby hospital,HistoricBuilding_left,title,"st werburgh's church, derby",0.6523411273956299
Hospital_left.csv,title,st christopher's hospice,HistoricBuilding_left,title,st chrysostom's church,0.651948869228363
Hospital_left.csv,title,shady grove adventist hospital,HistoricBuilding_left,title,sarang community church of southern california,0.6506054401397705
Hospital_left.csv,title,st thomas' hospital,HistoricBuilding_left,title,"st mary's, stretton",0.6487221121788025
Hospital_left.csv,title,st john of god subiaco hospital,HistoricBuilding_left,title,"st john the divine, richmond",0.6480658650398254
Hospital_left.csv,title,warburton hospital,HistoricBuilding_left,title,"st werburgh's church, warburton",0.6477043628692627
Hospital_left.csv,title,hospital of st john and st elizabeth,HistoricBuilding_left,title,"st john's church, high legh",0.6475996375083923
Hospital_left.csv,title,tohoku shinseien sanatorium,HistoricBuilding_left,title,"shonenji temple, takachiho",0.647339940071106
Hospital_left.csv,title,manarom hospital,HistoricBuilding_left,title,manarcad church,0.6472018361091614
Hospital_left.csv,title,masaka hospital,HistoricBuilding_left,title,masi church,0.6471703052520752
Hospital_left.csv,title,little company of mary hospital (evergreen park),HistoricBuilding_left,title,our lady of lourdes church (new york city),0.6460760831832886
Hospital_left.csv,title,ruijin hospital,HistoricBuilding_left,title,iiyama kannon,0.6458837985992432
Hospital_left.csv,title,lira hospital,HistoricBuilding_left,title,ligonier ministries,0.645843505859375
Hospital_left.csv,title,rnh bighi,HistoricBuilding_left,title,isshin-ji,0.6451650857925415
Hospital_left.csv,title,sacred heart medical center at riverbend,HistoricBuilding_left,title,sacred heart-saint wenceslaus church,0.6450128555297852
Hospital_left.csv,title,danviken hospital,HistoricBuilding_left,title,hasvik church,0.644729495048523
Hospital_left.csv,title,sydney adventist hospital,HistoricBuilding_left,title,christ church of lower kickapoo,0.6446915864944458
Hospital_left.csv,title,sanjeevan hospital,HistoricBuilding_left,title,sakshaug church,0.6433810591697693
Hospital_left.csv,title,beechworth asylum,HistoricBuilding_left,title,"woodhey chapel, faddiley",0.6431723833084106
Hospital_left.csv,title,calvary wakefield hospital,HistoricBuilding_left,title,"all saints church, chadshunt",0.6401875019073486
Hospital_left.csv,title,estrella hospital,HistoricBuilding_left,title,iglesia de san isidoro (oviedo),0.6401766538619995
Hospital_left.csv,title,holy spirit hospital (mumbai),HistoricBuilding_left,title,"st. mary's simhasana church, veliyanad",0.6400084495544434
Hospital_left.csv,title,lakeridge health oshawa,HistoricBuilding_left,title,ontario khalsa darbar,0.639772355556488
Hospital_left.csv,title,runwell hospital,HistoricBuilding_left,title,"all saints' church, runcorn",0.6388082504272461
Hospital_left.csv,title,caton merchant house,HistoricBuilding_left,title,"st alban, wood street",0.6387971639633179
Hospital_left.csv,title,kitojo hospital,HistoricBuilding_left,title,kita-in,0.6375136971473694
Hospital_left.csv,title,st elizabeth mission hospital,HistoricBuilding_left,title,church of the redeemer (toronto),0.6374046802520752
Hospital_left.csv,title,buntingford almshouses,HistoricBuilding_left,title,"st alkmund's church, duffield",0.6373187303543091
Hospital_left.csv,title,aizawl adventist hospital,HistoricBuilding_left,title,alderley edge methodist church,0.6365820169448853
Hospital_left.csv,title,hospital pantai mutiara,HistoricBuilding_left,title,ruwanwelisaya,0.6355472803115845
