query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Hospital_left.csv,title,donka hospital,Hospital_left,title,donka hospital,1.0000004768371582
Hospital_left.csv,title,stracathro hospital,Hospital_left,title,stracathro hospital,1.0000004768371582
Hospital_left.csv,title,hatyai hospital,Hospital_left,title,hatyai hospital,1.0000004768371582
Hospital_left.csv,title,mater women's and children's hospital,Hospital_left,title,mater women's and children's hospital,1.0000004768371582
Hospital_left.csv,title,wycombe general hospital,Hospital_left,title,wycombe general hospital,1.0000004768371582
Hospital_left.csv,title,cambridge university health partners,Hospital_left,title,cambridge university health partners,1.0000004768371582
Hospital_left.csv,title,via christi hospital (pittsburg),Hospital_left,title,via christi hospital (pittsburg),1.0000004768371582
Hospital_left.csv,title,douglas mental health university institute,Hospital_left,title,douglas mental health university institute,1.0000004768371582
Hospital_left.csv,title,comu hospital,Hospital_left,title,comu hospital,1.0000003576278687
Hospital_left.csv,title,sdu research hospital,Hospital_left,title,sdu research hospital,1.0000003576278687
Hospital_left.csv,title,hoima hospital,Hospital_left,title,hoima hospital,1.0000003576278687
Hospital_left.csv,title,vanivilas women and children hospital,Hospital_left,title,vanivilas women and children hospital,1.0000003576278687
Hospital_left.csv,title,the 2nd affiliated hospital & yuying children's hospital,Hospital_left,title,the 2nd affiliated hospital & yuying children's hospital,1.0000003576278687
Hospital_left.csv,title,hinton healthcare centre,Hospital_left,title,hinton healthcare centre,1.0000003576278687
Hospital_left.csv,title,kibuli hospital,Hospital_left,title,kibuli hospital,1.0000003576278687
Hospital_left.csv,title,cliniques universitaires saint-luc,Hospital_left,title,cliniques universitaires saint-luc,1.0000003576278687
Hospital_left.csv,title,kirkwood hospice,Hospital_left,title,kirkwood hospice,1.0000003576278687
Hospital_left.csv,title,scunthorpe general hospital,Hospital_left,title,scunthorpe general hospital,1.0000003576278687
Hospital_left.csv,title,mid coast hospital,Hospital_left,title,mid coast hospital,1.0000003576278687
Hospital_left.csv,title,prince aly khan hospital,Hospital_left,title,prince aly khan hospital,1.0000003576278687
Hospital_left.csv,title,the meriden hospital,Hospital_left,title,the meriden hospital,1.0000003576278687
Hospital_left.csv,title,king fahd university hospital,Hospital_left,title,king fahd university hospital,1.0000003576278687
Hospital_left.csv,title,kilmarnock infirmary,Hospital_left,title,kilmarnock infirmary,1.000000238418579
Hospital_left.csv,title,iu health north medical center,Hospital_left,title,iu health north medical center,1.000000238418579
Hospital_left.csv,title,kayts hospital,Hospital_left,title,kayts hospital,1.000000238418579
Hospital_left.csv,title,labette health,Hospital_left,title,labette health,1.000000238418579
Hospital_left.csv,title,michael e. debakey veterans affairs medical center in houston,Hospital_left,title,michael e. debakey veterans affairs medical center in houston,1.000000238418579
Hospital_left.csv,title,bangur institute of neurosciences,Hospital_left,title,bangur institute of neurosciences,1.000000238418579
Hospital_left.csv,title,falmouth hospital,Hospital_left,title,falmouth hospital,1.000000238418579
