query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SportFacility_left.csv,title,lawson tama stadium,SportFacility_left,title,lawson tama stadium,1.0000007152557373
SportFacility_left.csv,title,the wilds at salmonier river golf club,SportFacility_left,title,the wilds at salmonier river golf club,1.0000005960464478
SportFacility_left.csv,title,klfa stadium,SportFacility_left,title,klfa stadium,1.0000004768371582
SportFacility_left.csv,title,donaustadion,SportFacility_left,title,donaustadion,1.0000004768371582
SportFacility_left.csv,title,progressive field,SportFacility_left,title,progressive field,1.0000004768371582
SportFacility_left.csv,title,rsc olimpiyskiy,SportFacility_left,title,rsc olimpiyskiy,1.0000004768371582
SportFacility_left.csv,title,hang tuah stadium,SportFacility_left,title,hang tuah stadium,1.0000003576278687
SportFacility_left.csv,title,les menuires,SportFacility_left,title,les menuires,1.0000003576278687
SportFacility_left.csv,title,tipton road,SportFacility_left,title,tipton road,1.000000238418579
SportFacility_left.csv,title,the red mile,SportFacility_left,title,the red mile,1.000000238418579
SportFacility_left.csv,title,enmax centre,SportFacility_left,title,enmax centre,1.000000238418579
SportFacility_left.csv,title,sherry golf jerez,SportFacility_left,title,sherry golf jerez,1.000000238418579
SportFacility_left.csv,title,mediolanum forum,SportFacility_left,title,mediolanum forum,1.000000238418579
SportFacility_left.csv,title,rogla ski resort,SportFacility_left,title,rogla ski resort,1.000000238418579
SportFacility_left.csv,title,mire aware stadium,SportFacility_left,title,mire aware stadium,1.000000238418579
SportFacility_left.csv,title,norefjell ski resort,SportFacility_left,title,norefjell ski resort,1.000000238418579
SportFacility_left.csv,title,leimbachstadion,SportFacility_left,title,leimbachstadion,1.000000238418579
SportFacility_left.csv,title,credit union centre,SportFacility_left,title,credit union centre,1.000000238418579
SportFacility_left.csv,title,irwin belk complex,SportFacility_left,title,irwin belk complex,1.000000238418579
SportFacility_left.csv,title,anfield,SportFacility_left,title,anfield,1.000000238418579
SportFacility_left.csv,title,stade de la meinau,SportFacility_left,title,stade de la meinau,1.000000238418579
SportFacility_left.csv,title,mesker amphitheatre,SportFacility_left,title,mesker amphitheatre,1.000000238418579
SportFacility_left.csv,title,westfalenhallen,SportFacility_left,title,westfalenhallen,1.000000238418579
SportFacility_left.csv,title,y traeth,SportFacility_left,title,y traeth,1.000000238418579
SportFacility_left.csv,title,formigal,SportFacility_left,title,formigal,1.000000238418579
SportFacility_left.csv,title,avoriaz,SportFacility_left,title,avoriaz,1.000000238418579
SportFacility_left.csv,title,stadio tommaso fattori,SportFacility_left,title,stadio tommaso fattori,1.000000238418579
SportFacility_left.csv,title,smugglers' notch,SportFacility_left,title,smugglers' notch,1.000000238418579
SportFacility_left.csv,title,suplizio field,SportFacility_left,title,suplizio field,1.000000238418579
SportFacility_left.csv,title,steetley company ground,SportFacility_left,title,steetley company ground,1.0000001192092896
SportFacility_left.csv,title,crisler center,SportFacility_left,title,crisler center,1.0000001192092896
