query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Case_left.csv,title,republican party of minnesota v. white,Election_left,title,"minnesota attorney general election, 2010",0.7092627286911011
Case_left.csv,title,mcintyre v. ohio elections commission,Election_left,title,"ohio gubernatorial election, 2010",0.680980384349823
Case_left.csv,title,harper v. virginia state board of elections,Election_left,title,"west virginia gubernatorial special election, 2011",0.6578036546707153
Case_left.csv,title,california democratic party v. jones,Election_left,title,"california attorney general election, 2010",0.6556457281112671
Case_left.csv,title,bush v. gore,Election_left,title,"united states presidential election, 2000",0.6553564071655273
Case_left.csv,title,new york state board of elections v. lopez torres,Election_left,title,"new york city public advocate election, 2009",0.654204249382019
Case_left.csv,title,provident institution for sav. v. mayor of jersey city,Election_left,title,"new jersey general assembly elections, 2009",0.650976300239563
Case_left.csv,title,director of revenue of missouri v. cobank acb,Election_left,title,"missouri state auditor election, 2010",0.6503905057907104
Case_left.csv,title,florida v. j. l.,Election_left,title,"florida attorney general election, 2006",0.6457383632659912
Case_left.csv,title,ontario v. quon,Election_left,title,"ontario general election, 2007",0.6426284313201904
Case_left.csv,title,florida v. jimeno,Election_left,title,"florida attorney general election, 2010",0.6372401714324951
Case_left.csv,title,california v. acevedo,Election_left,title,"california attorney general election, 2006",0.6321597099304199
Case_left.csv,title,federal election commission v. akins,Election_left,title,"north carolina attorney general election, 2012",0.6256601810455322
Case_left.csv,title,chambers v. florida,Election_left,title,"florida attorney general election, 2014",0.6217375993728638
Case_left.csv,title,superintendent v. hill,Election_left,title,"creigh deeds attorney general campaign, 2005",0.6174955368041992
Case_left.csv,title,wyoming v. houghton,Election_left,title,"wyoming gubernatorial election, 2010",0.6149872541427612
Case_left.csv,title,national socialist party of america v. village of skokie,Election_left,title,"peoria, illinois mayoral election, 1997",0.6149160861968994
Case_left.csv,title,new jersey v. delaware,Election_left,title,"united states senate special election in delaware, 2010",0.611194372177124
Case_left.csv,title,south dakota v. opperman,Election_left,title,"south dakota gubernatorial election, 2014",0.6094192862510681
Case_left.csv,title,geer v. connecticut,Election_left,title,"connecticut attorney general election, 2010",0.6057186722755432
Case_left.csv,title,davis v. federal election commission,Election_left,title,"washington attorney general election, 2004",0.6023768186569214
Case_left.csv,title,hill v. colorado,Election_left,title,"united states senate election in colorado, 2010",0.5945314764976501
Case_left.csv,title,puerto rico v. branstad,Election_left,title,"negros occidental's 5th legislative district special election, 2012",0.5910035371780396
Case_left.csv,title,cruz v. new york,Election_left,title,"new york gubernatorial election, 2014",0.5825031995773315
