query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Noble_left.csv,title,jean-louis d'usson,ChristianBishop_right,title,louis jean dufaux,0.8465186357498169
Noble_left.csv,title,rostislav mikhailovich,ChristianBishop_right,title,serge konovalov,0.8325150012969971
Noble_left.csv,title,"william de montacute, 2nd baron montacute",ChristianBishop_right,title,william of montfort,0.8179805278778076
Noble_left.csv,title,margaret de stafford,ChristianBishop_right,title,margaret vertue,0.812384307384491
Noble_left.csv,title,"john ii, count of nevers",ChristianBishop_right,title,john ii of the sedre,0.8043324947357178
Noble_left.csv,title,menelaus,ChristianBishop_right,title,mansuetus,0.8038403987884521
Noble_left.csv,title,berthold i of istria,ChristianBishop_right,title,joachim i of constantinople,0.7948294878005981
Noble_left.csv,title,emanuel von friedrichsthal,ChristianBishop_right,title,gregor leonhard andreas von scherr,0.787980318069458
Noble_left.csv,title,anthony kingston,ChristianBishop_right,title,anthony tremlett,0.786462664604187
Noble_left.csv,title,anne d'arpajon,ChristianBishop_right,title,annetto depasquale,0.7839486598968506
Noble_left.csv,title,janja kantakouzenos,ChristianBishop_right,title,arsenije sremac,0.7821074724197388
Noble_left.csv,title,matej ninoslav,ChristianBishop_right,title,josyf milyan,0.7810770273208618
Noble_left.csv,title,william of werle,ChristianBishop_right,title,william of bitton,0.778815746307373
Noble_left.csv,title,"frederick, duke of schleswig-holstein-sonderburg-augustenburg",ChristianBishop_right,title,nicholas i (bishop of schleswig),0.7773157358169556
Noble_left.csv,title,"john of artois, count of eu",ChristianBishop_right,title,john of burgundy (bishop of cambrai),0.7757481336593628
Noble_left.csv,title,sebestyanos,ChristianBishop_right,title,geevarghese ivanios,0.7720459699630737
Noble_left.csv,title,wulfhilde of saxony,ChristianBishop_right,title,wulfsige (bishop of lichfield),0.7707343101501465
Noble_left.csv,title,varvara golovina,ChristianBishop_right,title,mihail gogov,0.7668592929840088
Noble_left.csv,title,william d'ecouis,ChristianBishop_right,title,richard de belmeis i,0.7620037794113159
Noble_left.csv,title,"william marshal, 1st earl of pembroke",ChristianBishop_right,title,henry marshal (bishop of exeter),0.7617284655570984
Noble_left.csv,title,franciszek grocholski,ChristianBishop_right,title,thomas paprocki,0.7601190805435181
Noble_left.csv,title,alberada of buonalbergo,ChristianBishop_right,title,norberto do amaral,0.7599381804466248
Noble_left.csv,title,william fitz giroie,ChristianBishop_right,title,william sheridan,0.7549192905426025
Noble_left.csv,title,pedro madruga,ChristianBishop_right,title,jorge ortiga,0.7547460198402405
Noble_left.csv,title,kara mahmud bushati,ChristianBishop_right,title,yaqob abuna,0.7544388771057129
Noble_left.csv,title,vojvoda vojin,ChristianBishop_right,title,vavila,0.7529572248458862
Noble_left.csv,title,dalem samprangan,ChristianBishop_right,title,gnanasigamony devakadasham,0.7501914501190186
Noble_left.csv,title,klementyna czartoryska,ChristianBishop_right,title,nykodym (rusnak),0.7500230669975281
Noble_left.csv,title,frederick ii of legnica,ChristianBishop_right,title,joachim iv of constantinople,0.7497842311859131
Noble_left.csv,title,gjergj arianiti,ChristianBishop_right,title,iakovos garmatis,0.7474967241287231
Noble_left.csv,title,"alexander seton, lord gordon",ChristianBishop_right,title,alexander gordon (bishop of galloway),0.7464638948440552
Noble_left.csv,title,francis englefield,ChristianBishop_right,title,francis grimshaw,0.7449085712432861
Noble_left.csv,title,maurice vi de craon,ChristianBishop_right,title,maurice-adolphe gaidon,0.7439841628074646
Noble_left.csv,title,francesco i sforza,ChristianBishop_right,title,bertoldo de merania,0.7430909872055054
Noble_left.csv,title,john doukas,ChristianBishop_right,title,john jukes,0.7424173355102539
Noble_left.csv,title,charles juste de beauvau,ChristianBishop_right,title,pierre-paul durieu,0.7423254251480103
Noble_left.csv,title,giovanni di cosimo de' medici,ChristianBishop_right,title,filippo maria visconti (bishop),0.7419670820236206
Noble_left.csv,title,"william, duke of opava",ChristianBishop_right,title,william (bishop of orange),0.7418250441551208
Noble_left.csv,title,john vi of naples,ChristianBishop_right,title,ignatius john xiii,0.7391933798789978
Noble_left.csv,title,kuaiwa,ChristianBishop_right,title,gewargis sliwa,0.7347251176834106
Noble_left.csv,title,john komnenos doukas,ChristianBishop_right,title,john yasutaro naide,0.7335875034332275
Noble_left.csv,title,charles philippe henri de noailles,ChristianBishop_right,title,claude henri edouard frikart,0.7328106760978699
