query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Song_left.csv,title,sveta ljubav,Wrestler_left,title,anastasija grigorjeva,0.8414061069488525
Song_left.csv,title,czarna dziewczyna,Wrestler_left,title,wladek zbyszko,0.8412632942199707
Song_left.csv,title,kangding qingge,Wrestler_left,title,feng aigang,0.8215829133987427
Song_left.csv,title,kolyadka,Wrestler_left,title,oleg kryoka,0.8207566142082214
Song_left.csv,title,masakali,Wrestler_left,title,masa takanashi,0.8069090843200684
Song_left.csv,title,toi (song),Wrestler_left,title,tosanoumi toshio,0.7923452258110046
Song_left.csv,title,sol de inverno,Wrestler_left,title,el solitario,0.7800941467285156
Song_left.csv,title,el choclo,Wrestler_left,title,el torero,0.7786550521850586
Song_left.csv,title,der hohenfriedberger,Wrestler_left,title,reinhold hucker,0.7779310345649719
Song_left.csv,title,samo shampioni,Wrestler_left,title,sadanofuji akihiro,0.7768052220344543
Song_left.csv,title,zauvijek volim te,Wrestler_left,title,nejdet zalev,0.7671078443527222
Song_left.csv,title,main naahin maakhan khaayo,Wrestler_left,title,habibollah akhlaghi,0.7632139921188354
Song_left.csv,title,nuku pommiin,Wrestler_left,title,maki narumiya,0.7631502151489258
Song_left.csv,title,tajomstvo hier,Wrestler_left,title,masurao hiroo,0.7630943059921265
Song_left.csv,title,james hatley,Wrestler_left,title,james dryden,0.7585060000419617
Song_left.csv,title,tori no uta,Wrestler_left,title,toru yano,0.7561272382736206
Song_left.csv,title,korake ti znam,Wrestler_left,title,kotogahama sadao,0.7547091245651245
Song_left.csv,title,jaan pehechan ho,Wrestler_left,title,jahanbakht tofigh,0.7534478306770325
Song_left.csv,title,mera naam chin chin chu,Wrestler_left,title,cha kwang-su,0.753171443939209
Song_left.csv,title,kallai mattum,Wrestler_left,title,kola kwariani,0.7516951560974121
Song_left.csv,title,to diko sou asteri,Wrestler_left,title,wakafutase tadayuki,0.7509350776672363
Song_left.csv,title,ocho kandelikas,Wrestler_left,title,oginohana akikazu,0.7459707856178284
Song_left.csv,title,ekbar biday de ma ghure ashi,Wrestler_left,title,halil kaya,0.7392664551734924
Song_left.csv,title,pia prosefhi,Wrestler_left,title,sakhidad hamidi,0.7389485836029053
Song_left.csv,title,candy-o (song),Wrestler_left,title,candy okutsu,0.7316628694534302
Song_left.csv,title,nygammal vals,Wrestler_left,title,valdemaras venckaitis,0.7315746545791626
Song_left.csv,title,danny farrell,Wrestler_left,title,danny mcshain,0.7304823994636536
Song_left.csv,title,hablemos del amor,Wrestler_left,title,samuray del sol,0.7295508980751038
Song_left.csv,title,alif allah (jugni),Wrestler_left,title,abdollah movahed,0.7279770374298096
Song_left.csv,title,kajra re,Wrestler_left,title,badri khasaia,0.7273125648498535
Song_left.csv,title,doctor robert,Wrestler_left,title,robert maillet,0.7251898646354675
Song_left.csv,title,awara hoon,Wrestler_left,title,wakanohana masaru,0.7244807481765747
Song_left.csv,title,contra el viento,Wrestler_left,title,el hijo de cien caras,0.7235017418861389
Song_left.csv,title,soy de san luis,Wrestler_left,title,el texano,0.7201571464538574
Song_left.csv,title,kannum kannum kalanthu,Wrestler_left,title,vakhtang balavadze,0.7184524536132812
Song_left.csv,title,harimuraleeravam,Wrestler_left,title,ulambayaryn byambajav,0.7182909846305847
Song_left.csv,title,pred da se razdeni,Wrestler_left,title,savkuz dzarasov,0.7174860239028931
Song_left.csv,title,dafino vino crveno,Wrestler_left,title,coloso colosetti,0.716863751411438
Song_left.csv,title,anouschka,Wrestler_left,title,volha khilko,0.7159883975982666
Song_left.csv,title,"ne zori, zoro",Wrestler_left,title,nayoroiwa shizuo,0.7151116728782654
Song_left.csv,title,dukkemann,Wrestler_left,title,uwe neupert,0.7132694125175476
Song_left.csv,title,s druz'yami,Wrestler_left,title,ghani yalouz,0.7126377820968628
Song_left.csv,title,moja ljubavi,Wrestler_left,title,lazaros loizidis,0.709808886051178
Song_left.csv,title,zindagi ek safar hai suhana,Wrestler_left,title,sione vailahi,0.7058467864990234
Song_left.csv,title,arrivederci roma,Wrestler_left,title,petre dicu,0.7055211067199707
Song_left.csv,title,rocky raccoon,Wrestler_left,title,rocky iaukea,0.7052377462387085
Song_left.csv,title,laat me nu gaan,Wrestler_left,title,badrakhyn odonchimeg,0.7052278518676758
Song_left.csv,title,samson (song),Wrestler_left,title,samson kutsuwada,0.7041487693786621
Song_left.csv,title,questo amore,Wrestler_left,title,la amapola,0.7032999992370605
Song_left.csv,title,peklo milencov,Wrestler_left,title,vladislav metodiev,0.7028518915176392
Song_left.csv,title,corde della mia chitarra,Wrestler_left,title,alireza soleimani,0.7025919556617737
Song_left.csv,title,guardando il sole,Wrestler_left,title,la seductora,0.7014100551605225
Song_left.csv,title,hrafntinna,Wrestler_left,title,ehsan lashgari,0.701366662979126
Song_left.csv,title,brown adam,Wrestler_left,title,d'lo brown,0.6993038058280945
Song_left.csv,title,kempy kay,Wrestler_left,title,krysta lynn scott,0.6983577013015747
Song_left.csv,title,"piove (ciao, ciao bambina)",Wrestler_left,title,pimpinela escarlata,0.6961762309074402
Song_left.csv,title,troppo tempo,Wrestler_left,title,talata embalo,0.695793628692627
Song_left.csv,title,antes do adeus,Wrestler_left,title,ad santel,0.6944961547851562
Song_left.csv,title,straatdeuntje,Wrestler_left,title,bestia salvaje,0.694314181804657
Song_left.csv,title,sonntag (song),Wrestler_left,title,soner sucu,0.6928909420967102
Song_left.csv,title,bozner bergsteigerlied,Wrestler_left,title,wolfgang radmacher,0.6925709247589111
Song_left.csv,title,voorgoed voorbij,Wrestler_left,title,danie voges,0.6911443471908569
Song_left.csv,title,o vento mudou,Wrestler_left,title,valeriu bularca,0.689389169216156
Song_left.csv,title,campanilleros,Wrestler_left,title,mocho cota,0.6887586116790771
Song_left.csv,title,tanzania nakupenda kwa moyo wote,Wrestler_left,title,kinta tamaoka,0.6856449842453003
Song_left.csv,title,rimi rimi ley,Wrestler_left,title,masao arai,0.684923529624939
Song_left.csv,title,aspro mavro,Wrestler_left,title,amiran kardanov,0.6841182112693787
Song_left.csv,title,neke davne zvezde,Wrestler_left,title,shalva gadabadze,0.6839869022369385
Song_left.csv,title,hey tuttie tatie,Wrestler_left,title,teila tuli,0.6832847595214844
Song_left.csv,title,emor shalom,Wrestler_left,title,sem shilimela,0.6826456785202026
Song_left.csv,title,a ram sam sam,Wrestler_left,title,sam fatu,0.6800745725631714
Song_left.csv,title,o rosa bella,Wrestler_left,title,el felino,0.6757177114486694
Song_left.csv,title,brodovi,Wrestler_left,title,bayu baev,0.6751261949539185
Song_left.csv,title,ah-leu-cha,Wrestler_left,title,jarkko ala-huikku,0.6746881604194641
Song_left.csv,title,"prinz eugen, der edle ritter",Wrestler_left,title,wolfgang ehrl,0.6725342273712158
Song_left.csv,title,mary hamilton,Wrestler_left,title,maryse ouellet,0.6707251071929932
Song_left.csv,title,o julissi,Wrestler_left,title,bilel ouechtati,0.6701017618179321
Song_left.csv,title,io senza te,Wrestler_left,title,iwashita eiichi,0.668956995010376
Song_left.csv,title,si no te hubiera conocido,Wrestler_left,title,el hijo de dos caras,0.6673851609230042
Song_left.csv,title,jamie foyers,Wrestler_left,title,matthew hannan,0.6671468019485474
Song_left.csv,title,"un peu de poivre, un peu de sel",Wrestler_left,title,petre coman,0.6654238700866699
Song_left.csv,title,nous vivrons d'amour,Wrestler_left,title,armands zvirbulis,0.6626009941101074
Song_left.csv,title,pyar kiya to darna kya,Wrestler_left,title,kiyokuni katsuo,0.6625375151634216
Song_left.csv,title,supervixen,Wrestler_left,title,super shisa,0.662285327911377
Song_left.csv,title,n'avoue jamais,Wrestler_left,title,jos leduc,0.6599529981613159
Song_left.csv,title,the bob (medley),Wrestler_left,title,bob geigel,0.6598714590072632
Song_left.csv,title,jeg rev et blad ud af min dagbog,Wrestler_left,title,oleksandr daragan,0.6596044898033142
