query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Device_left.csv,title,yanmaodao,Wrestler_left,title,toru yano,0.8311766386032104
Device_left.csv,title,cinquedea,Wrestler_left,title,cien caras,0.8140119314193726
Device_left.csv,title,davidka,Wrestler_left,title,david gvantseladze,0.7858273983001709
Device_left.csv,title,abdali-i,Wrestler_left,title,saeid abdevali,0.7847909927368164
Device_left.csv,title,dahong palay,Wrestler_left,title,lee wang pyo,0.7826202511787415
Device_left.csv,title,wechselapparat,Wrestler_left,title,heinz-helmut wehling,0.7819336652755737
Device_left.csv,title,buntot pagi,Wrestler_left,title,petre poalelungi,0.770783543586731
Device_left.csv,title,al-zarrar,Wrestler_left,title,ashraf el-gharably,0.7706541419029236
Device_left.csv,title,otokar akrep,Wrestler_left,title,wakamisugi akiteru,0.7574015855789185
Device_left.csv,title,roketsan cirit,Wrestler_left,title,shalva gadabadze,0.7555854916572571
Device_left.csv,title,pokpung-ho,Wrestler_left,title,cha kwang-su,0.7507992386817932
Device_left.csv,title,sturmtiger,Wrestler_left,title,stukita,0.7476491928100586
Device_left.csv,title,kugelblitz,Wrestler_left,title,heinz kiehl,0.7427096366882324
Device_left.csv,title,zastava p25,Wrestler_left,title,victor zangiev,0.7421181201934814
Device_left.csv,title,mesbah 1,Wrestler_left,title,ebrahim mehraban,0.7372380495071411
Device_left.csv,title,m1867 russian krnka,Wrestler_left,title,oleg kryoka,0.7370138168334961
Device_left.csv,title,szczerbiec,Wrestler_left,title,wladek zbyszko,0.7346159219741821
Device_left.csv,title,jagdpanzer,Wrestler_left,title,jtg,0.7330642938613892
Device_left.csv,title,falarica,Wrestler_left,title,valeriu bularca,0.726425290107727
Device_left.csv,title,kanonenjagdpanzer,Wrestler_left,title,tanikaze kajinosuke,0.7224615812301636
Device_left.csv,title,km-sam,Wrestler_left,title,sam fatu,0.7204242944717407
Device_left.csv,title,valanx,Wrestler_left,title,valdemaras venckaitis,0.7201350927352905
Device_left.csv,title,sisu nasu,Wrestler_left,title,soner sucu,0.7196823358535767
Device_left.csv,title,kurbash,Wrestler_left,title,ehsan lashgari,0.7193693518638611
Device_left.csv,title,otoy,Wrestler_left,title,kenan olcay,0.7178134918212891
Device_left.csv,title,kobo glo,Wrestler_left,title,kotogahama sadao,0.7161921262741089
Device_left.csv,title,rooikat,Wrestler_left,title,rukkus,0.7104768753051758
Device_left.csv,title,volkov-yartsev vya-23,Wrestler_left,title,valery arutyunov,0.7100040912628174
Device_left.csv,title,zastava m84,Wrestler_left,title,zaza turmanidze,0.7096922993659973
Device_left.csv,title,tog1,Wrestler_left,title,togi makabe,0.7084259986877441
Device_left.csv,title,nambu pistol,Wrestler_left,title,sakaigawa namiemon,0.7076553106307983
Device_left.csv,title,kashtan ciws,Wrestler_left,title,konnan,0.7059518694877625
Device_left.csv,title,valuk,Wrestler_left,title,volha khilko,0.705126166343689
Device_left.csv,title,2b9 vasilek,Wrestler_left,title,savkuz dzarasov,0.704134464263916
Device_left.csv,title,ckm wz.30,Wrestler_left,title,m.c.kz,0.7038083076477051
Device_left.csv,title,richard fiedler,Wrestler_left,title,robert smedley,0.7011444568634033
Device_left.csv,title,zastava m80,Wrestler_left,title,olesya zamula,0.6980174779891968
Device_left.csv,title,aardvark jsfu,Wrestler_left,title,arvi aavik,0.6937777996063232
Device_left.csv,title,sun ray,Wrestler_left,title,ray hrstich,0.6927550435066223
Device_left.csv,title,electronika bk,Wrestler_left,title,etsuko mita,0.6914809942245483
Device_left.csv,title,wimmersperg spz-kr,Wrestler_left,title,georgy skhirtladze,0.690070629119873
Device_left.csv,title,superav,Wrestler_left,title,super shisa,0.6896820664405823
Device_left.csv,title,2s12 sani,Wrestler_left,title,saeid ebrahimi,0.6886358857154846
Device_left.csv,title,jagdpanther,Wrestler_left,title,jon heidenreich,0.6885074377059937
Device_left.csv,title,zf.ger.38,Wrestler_left,title,wolfgang radmacher,0.6879667639732361
Device_left.csv,title,tsar bomba,Wrestler_left,title,kaloyan dinchev,0.6873264908790588
Device_left.csv,title,oto melara 76 mm,Wrestler_left,title,kinta tamaoka,0.6858745813369751
Device_left.csv,title,hyunmoo-3,Wrestler_left,title,kurohimeyama hideo,0.6856181025505066
Device_left.csv,title,celurit,Wrestler_left,title,choucri atafi,0.6834779381752014
Device_left.csv,title,zastava m85,Wrestler_left,title,shota lomidze,0.683246374130249
Device_left.csv,title,9m123 khrizantema,Wrestler_left,title,reza soukhteh-saraei,0.6826987266540527
Device_left.csv,title,carden loyd tankette,Wrestler_left,title,ashley fliehr,0.681160569190979
Device_left.csv,title,galaksija (computer),Wrestler_left,title,anastasija grigorjeva,0.680153489112854
Device_left.csv,title,zaragoza corla,Wrestler_left,title,chamaco valaguez,0.6796598434448242
Device_left.csv,title,ka-bar,Wrestler_left,title,kafu,0.679577112197876
Device_left.csv,title,hs2000,Wrestler_left,title,mschif,0.6781671047210693
Device_left.csv,title,taden gun,Wrestler_left,title,tadasuke,0.6767466068267822
Device_left.csv,title,vityaz (atv),Wrestler_left,title,kaz hayashi,0.6748770475387573
Device_left.csv,title,amz tur,Wrestler_left,title,alireza dabir,0.6734418272972107
Device_left.csv,title,fhj 84,Wrestler_left,title,junji hirata,0.6717060804367065
Device_left.csv,title,rohrbaugh r9,Wrestler_left,title,heinz rhyn,0.6706939935684204
Device_left.csv,title,ashoura (missile),Wrestler_left,title,aran hakutora,0.6694124937057495
Device_left.csv,title,alvis tactica,Wrestler_left,title,reineris salas,0.6693094968795776
Device_left.csv,title,jl-1,Wrestler_left,title,j-dawg,0.6674942970275879
Device_left.csv,title,puteaux sa 18,Wrestler_left,title,jos leduc,0.6671316623687744
Device_left.csv,title,grendel p30,Wrestler_left,title,sylvain grenier,0.6670022010803223
Device_left.csv,title,toz-106,Wrestler_left,title,tosanoumi toshio,0.6646223664283752
Device_left.csv,title,alex ereader,Wrestler_left,title,arn anderson,0.6642801761627197
Device_left.csv,title,k31,Wrestler_left,title,kemonito,0.6635034084320068
Device_left.csv,title,zastava m76,Wrestler_left,title,nejdet zalev,0.661998987197876
Device_left.csv,title,fateh-110,Wrestler_left,title,rahim aliabadi,0.6602023839950562
Device_left.csv,title,tabak-toyok,Wrestler_left,title,mitsuneyama hokoku,0.6583783626556396
Device_left.csv,title,saur 1,Wrestler_left,title,yasser sakr,0.6577222347259521
Device_left.csv,title,stridsvagn 103,Wrestler_left,title,ib solvang hansen,0.6573649644851685
Device_left.csv,title,piat,Wrestler_left,title,petre coman,0.6573618650436401
Device_left.csv,title,obice da 105/14,Wrestler_left,title,segundo olmedo,0.6572796702384949
Device_left.csv,title,lahat,Wrestler_left,title,ed farhat,0.656303882598877
Device_left.csv,title,sord m5,Wrestler_left,title,sosay,0.655336320400238
Device_left.csv,title,mendoza rm2,Wrestler_left,title,cassandro,0.6552451848983765
Device_left.csv,title,holless wilbur allen,Wrestler_left,title,atholl oakeley,0.6540489792823792
Device_left.csv,title,campo giro,Wrestler_left,title,antonino rocca,0.6522746086120605
Device_left.csv,title,15 cm nebelwerfer 41,Wrestler_left,title,wolfgang ehrl,0.648999810218811
Device_left.csv,title,wg66,Wrestler_left,title,bestia 666,0.6489500999450684
Device_left.csv,title,fv106 samson,Wrestler_left,title,samson kutsuwada,0.6487079858779907
Device_left.csv,title,ks-23,Wrestler_left,title,kola kwariani,0.6484360694885254
Device_left.csv,title,miracl,Wrestler_left,title,mikel scicluna,0.6474036574363708
Device_left.csv,title,agram 2000,Wrestler_left,title,abolghasem sakhdari,0.6472939252853394
Device_left.csv,title,brandistock,Wrestler_left,title,bill martel,0.6456172466278076
Device_left.csv,title,mortier de 12 gribeauval,Wrestler_left,title,armands zvirbulis,0.6445492506027222
Device_left.csv,title,fritz x,Wrestler_left,title,klaus rost,0.643198549747467
Device_left.csv,title,zagi m-91,Wrestler_left,title,makoto hashi,0.6414799094200134
Device_left.csv,title,ak-104,Wrestler_left,title,amiran kardanov,0.6399485468864441
Device_left.csv,title,gorgas machine gun,Wrestler_left,title,gobar guha,0.639911949634552
Device_left.csv,title,gu230,Wrestler_left,title,nidia guenard,0.6398534774780273
Device_left.csv,title,sanna 77,Wrestler_left,title,tamanishiki san'emon,0.6391823887825012
Device_left.csv,title,maxim gun,Wrestler_left,title,max taogaga,0.6382931470870972
Device_left.csv,title,dubna 48k,Wrestler_left,title,wakafutase tadayuki,0.6366214752197266
Device_left.csv,title,ah-iv,Wrestler_left,title,hoshitango imachi,0.6365230083465576
Device_left.csv,title,wetab,Wrestler_left,title,wakanohana masaru,0.6364453434944153
Device_left.csv,title,benelli mr1,Wrestler_left,title,alireza soleimani,0.6363376975059509
Device_left.csv,title,7.5 cm pak 41,Wrestler_left,title,gadowar singh sahota,0.6359738707542419
Device_left.csv,title,little boy,Wrestler_left,title,kid kash,0.6358927488327026
Device_left.csv,title,zuni (rocket),Wrestler_left,title,ryoji sai,0.6358458995819092
Device_left.csv,title,sks,Wrestler_left,title,skayde,0.6354433298110962
Device_left.csv,title,ghods saeghe,Wrestler_left,title,sadegh goudarzi,0.6350013017654419
Device_left.csv,title,aden cannon,Wrestler_left,title,arisa nakajima,0.6349947452545166
Device_left.csv,title,k30 biho,Wrestler_left,title,bayu baev,0.634263277053833
Device_left.csv,title,scr-108,Wrestler_left,title,shiro koshinaka,0.6336474418640137
Device_left.csv,title,alpha draco,Wrestler_left,title,dru onyx,0.6335693597793579
Device_left.csv,title,cannone da 90/53,Wrestler_left,title,la amapola,0.6313003301620483
Device_left.csv,title,rikhter r-23,Wrestler_left,title,riho,0.6308575868606567
Device_left.csv,title,raketenjagdpanzer 2,Wrestler_left,title,petr kment,0.6294362545013428
Device_left.csv,title,nangun,Wrestler_left,title,wakanami jun,0.6291055083274841
Device_left.csv,title,oa vz. 30,Wrestler_left,title,lasha gogitadze,0.6288060545921326
Device_left.csv,title,malkara (missile),Wrestler_left,title,masakre,0.6283822059631348
Device_left.csv,title,cannone da 149/35 a,Wrestler_left,title,oficial fierro,0.6268570423126221
Device_left.csv,title,kh-58,Wrestler_left,title,kiyokuni katsuo,0.6263311505317688
Device_left.csv,title,cannone da 65/17 modello 13,Wrestler_left,title,coloso colosetti,0.6260321140289307
Device_left.csv,title,ksvk 12.7,Wrestler_left,title,kototsubaki katsuyuki,0.6248435974121094
Device_left.csv,title,moplah (sword),Wrestler_left,title,abdollah movahed,0.6243939399719238
Device_left.csv,title,9m133 kornet,Wrestler_left,title,karam gaber,0.6241377592086792
Device_left.csv,title,l42a1,Wrestler_left,title,halil kaya,0.6241120100021362
Device_left.csv,title,litl,Wrestler_left,title,lufisto,0.623835027217865
Device_left.csv,title,nintendo dsi,Wrestler_left,title,matsunobori shigeo,0.6221615076065063
Device_left.csv,title,psa xud,Wrestler_left,title,masakazu fukuda,0.6221238374710083
Device_left.csv,title,r-7 semyorka,Wrestler_left,title,aleksey shumakov,0.622107744216919
Device_left.csv,title,beholla pistol,Wrestler_left,title,bruno bekkar,0.6219385862350464
Device_left.csv,title,zx81,Wrestler_left,title,shadow wx,0.6215221285820007
Device_left.csv,title,sd.kfz. 11,Wrestler_left,title,kimikaze toshiji,0.6214980483055115
Device_left.csv,title,weibel m/1932,Wrestler_left,title,ludwig schweickert,0.619979977607727
Device_left.csv,title,cannone da 47/32 m35,Wrestler_left,title,mosco de la merced,0.6199432611465454
Device_left.csv,title,ar-10,Wrestler_left,title,arda ocal,0.6195509433746338
Device_left.csv,title,maus mine,Wrestler_left,title,maki narumiya,0.6192333698272705
Device_left.csv,title,pindad ss4,Wrestler_left,title,kahagas,0.6185023784637451
Device_left.csv,title,spetum,Wrestler_left,title,dan spivey,0.6184730529785156
Device_left.csv,title,bravia chaimite,Wrestler_left,title,kory chavis,0.6175042390823364
Device_left.csv,title,cray x-mp,Wrestler_left,title,ion croitoru,0.6171896457672119
Device_left.csv,title,medium mark c,Wrestler_left,title,mark lewin,0.6163788437843323
Device_left.csv,title,kahr pm series,Wrestler_left,title,mohsen farahvashi,0.6163291931152344
Device_left.csv,title,panhard ebr,Wrestler_left,title,enache panait,0.6160276532173157
Device_left.csv,title,zune,Wrestler_left,title,zuleyma,0.6159154772758484
Device_left.csv,title,colt walker,Wrestler_left,title,wes brisco,0.6156989932060242
Device_left.csv,title,sraam,Wrestler_left,title,sem shilimela,0.6145132780075073
Device_left.csv,title,arsenal shipka,Wrestler_left,title,samir bouguerra,0.614113450050354
Device_left.csv,title,bwp-2000,Wrestler_left,title,b.j. whitmer,0.6140321493148804
Device_left.csv,title,vz. 58,Wrestler_left,title,otto wanz,0.6129816770553589
Device_left.csv,title,tkb-059,Wrestler_left,title,chii tomiya,0.6119289398193359
Device_left.csv,title,detasheet,Wrestler_left,title,derick neikirk,0.6114679574966431
Device_left.csv,title,24 cm kanone 3,Wrestler_left,title,megumi kudo,0.6112321615219116
Device_left.csv,title,tkb-072,Wrestler_left,title,tzuki,0.6111317873001099
Device_left.csv,title,valmet m76,Wrestler_left,title,kristina laum,0.6108769178390503
Device_left.csv,title,paris gun,Wrestler_left,title,rue debona,0.6108327507972717
Device_left.csv,title,babur (cruise missile),Wrestler_left,title,bashir babajanzadeh,0.6105393171310425
Device_left.csv,title,falaq-1,Wrestler_left,title,faby apache,0.6105121374130249
Device_left.csv,title,soltam m-68,Wrestler_left,title,el solitario,0.6102063655853271
Device_left.csv,title,orao (computer),Wrestler_left,title,masao orihara,0.6097965240478516
Device_left.csv,title,ur-100,Wrestler_left,title,umanosuke ueda,0.6072566509246826
Device_left.csv,title,cj-1,Wrestler_left,title,jt southern,0.6069861054420471
Device_left.csv,title,firestrike,Wrestler_left,title,naoki tanizaki,0.6059037446975708
Device_left.csv,title,maa-1 piranha,Wrestler_left,title,mocho cota,0.6055296063423157
Device_left.csv,title,vectrex,Wrestler_left,title,venelin venkov,0.6054897308349609
Device_left.csv,title,heckler & koch g3,Wrestler_left,title,georg gehring,0.6050777435302734
Device_left.csv,title,garanin machine gun,Wrestler_left,title,gennady korban,0.6046842336654663
Device_left.csv,title,zsu-37,Wrestler_left,title,yoshikaze masatsugu,0.6035054922103882
Device_left.csv,title,sm-62 snark,Wrestler_left,title,stan stasiak,0.6029373407363892
Device_left.csv,title,t-95,Wrestler_left,title,tommy seigler,0.6025382280349731
Device_left.csv,title,osborne vixen,Wrestler_left,title,shawna elizabeth,0.6018871068954468
Device_left.csv,title,k2 black panther,Wrestler_left,title,the great khali,0.6011060476303101
Device_left.csv,title,ukm-2000,Wrestler_left,title,ulambayaryn byambajav,0.6007587909698486
Device_left.csv,title,8 cm pl kanon vz. 37,Wrestler_left,title,vakhtang balavadze,0.6007448434829712
Device_left.csv,title,r-9 desna,Wrestler_left,title,wesna,0.5998134016990662
Device_left.csv,title,borchardt c-93,Wrestler_left,title,garett bischoff,0.5998015403747559
Device_left.csv,title,sinclair ql,Wrestler_left,title,jim barrell,0.5995637774467468
Device_left.csv,title,type 4 ka-tsu,Wrestler_left,title,kashiwado tsuyoshi,0.5987882614135742
Device_left.csv,title,bmpt,Wrestler_left,title,brian mailhot,0.5970107913017273
Device_left.csv,title,murata rifle,Wrestler_left,title,muhlis tayfur,0.5958746671676636
Device_left.csv,title,azon,Wrestler_left,title,rhyno,0.5958070755004883
Device_left.csv,title,jennings j-22,Wrestler_left,title,john t. smith,0.5949819087982178
Device_left.csv,title,marder (ifv),Wrestler_left,title,mansour barzegar,0.5942926406860352
Device_left.csv,title,grizzly big boar,Wrestler_left,title,big john studd,0.5942170023918152
Device_left.csv,title,cz 110,Wrestler_left,title,dark ozz,0.5940350294113159
Device_left.csv,title,kepd 350,Wrestler_left,title,dan kroffat,0.5934090614318848
Device_left.csv,title,acv-300,Wrestler_left,title,dilshod aripov,0.5928635597229004
Device_left.csv,title,pm-63 rak,Wrestler_left,title,radwan karout,0.5926179885864258
Device_left.csv,title,cannone da 75/32 modello 37,Wrestler_left,title,fuerza guerrera,0.5923857688903809
Device_left.csv,title,otobreda 127/54 compact,Wrestler_left,title,tochiazuma tomoyori,0.5922533273696899
Device_left.csv,title,ot-64 skot,Wrestler_left,title,daulet turlykhanov,0.5915566086769104
Device_left.csv,title,tt pistol,Wrestler_left,title,tatsuhito takaiwa,0.5909045934677124
Device_left.csv,title,asalm,Wrestler_left,title,abdel aaal rashed,0.5904768705368042
Device_left.csv,title,pt-76,Wrestler_left,title,phil theis,0.5903376340866089
Device_left.csv,title,vz. 50,Wrestler_left,title,tazz,0.5888790488243103
Device_left.csv,title,obice da 75/18 modello 34,Wrestler_left,title,pimpinela escarlata,0.5883855223655701
Device_left.csv,title,ultimax 100,Wrestler_left,title,max muscle,0.5880680680274963
Device_left.csv,title,lockitron,Wrestler_left,title,sharran alexander,0.5878122448921204
