query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
GovernmentAgency_left.csv,title,national institute of health (pakistan),Hospital_left,title,pakistan institute of medical sciences,0.8965250253677368
GovernmentAgency_left.csv,title,nhs wales,Hospital_left,title,university hospital of wales,0.8711754083633423
GovernmentAgency_left.csv,title,health canada,Hospital_left,title,vancouver hospital and health sciences centre,0.8271129131317139
GovernmentAgency_left.csv,title,public health england,Hospital_left,title,cambridge university health partners,0.8094668984413147
GovernmentAgency_left.csv,title,nhs scotland,Hospital_left,title,"royal hospital for sick children, glasgow",0.8020724058151245
GovernmentAgency_left.csv,title,national health research institutes,Hospital_left,title,health sciences north,0.7805556058883667
GovernmentAgency_left.csv,title,ministry of health (british columbia),Hospital_left,title,mcgill university health centre,0.771558940410614
GovernmentAgency_left.csv,title,national cancer intelligence network,Hospital_left,title,cross cancer institute,0.7647261619567871
GovernmentAgency_left.csv,title,centers for disease control and prevention,Hospital_left,title,communicable disease centre,0.7628561854362488
GovernmentAgency_left.csv,title,ministry of health (south sudan),Hospital_left,title,kinshasa general hospital,0.7517160177230835
GovernmentAgency_left.csv,title,new york city health and hospitals corporation,Hospital_left,title,north york general hospital,0.7473589777946472
GovernmentAgency_left.csv,title,illinois department of healthcare and family services,Hospital_left,title,university of illinois medical center,0.7382944822311401
GovernmentAgency_left.csv,title,nih intramural research program,Hospital_left,title,n. s. memorial institute of medical sciences,0.7350671291351318
GovernmentAgency_left.csv,title,health resources and services administration,Hospital_left,title,misericordia health centre,0.7343925833702087
GovernmentAgency_left.csv,title,department of general and higher education (kerala),Hospital_left,title,post graduate institute of medical education and research (new delhi),0.7271050214767456
GovernmentAgency_left.csv,title,health sponsorship council,Hospital_left,title,cambridge health alliance,0.7237534523010254
GovernmentAgency_left.csv,title,centers for medicare and medicaid services,Hospital_left,title,st. patrick hospital and health sciences center,0.7230582237243652
GovernmentAgency_left.csv,title,galician healthcare service,Hospital_left,title,miguel de cervantes health care centre,0.7218330502510071
GovernmentAgency_left.csv,title,ministry of health & family welfare (west bengal),Hospital_left,title,"shushrusha citizens' co-operative hospital, shivaji park, mumbai",0.7211387157440186
GovernmentAgency_left.csv,title,ministry of health (vietnam),Hospital_left,title,dong-a university hospital,0.7163110971450806
GovernmentAgency_left.csv,title,new york state department of mental hygiene,Hospital_left,title,winnebago mental health institute,0.7119147777557373
GovernmentAgency_left.csv,title,kenosha county division of health,Hospital_left,title,arad county clinical hospital,0.7057145833969116
GovernmentAgency_left.csv,title,boston public health commission,Hospital_left,title,university of connecticut health center,0.7043022513389587
GovernmentAgency_left.csv,title,ambulance tasmania,Hospital_left,title,launceston general hospital,0.7017966508865356
GovernmentAgency_left.csv,title,california emergency medical services authority,Hospital_left,title,children's hospital los angeles,0.699356198310852
GovernmentAgency_left.csv,title,ministry of health and family welfare (india),Hospital_left,title,indu and raj soin medical center,0.6992241144180298
GovernmentAgency_left.csv,title,institut de veille sanitaire,Hospital_left,title,institut gustave roussy,0.6983242034912109
GovernmentAgency_left.csv,title,ministry of health (czech republic),Hospital_left,title,st olav's university hospital,0.6971415877342224
GovernmentAgency_left.csv,title,"ministry of information, communication and culture (malaysia)",Hospital_left,title,pusat perubatan universiti kebangsaan malaysia,0.6960532665252686
GovernmentAgency_left.csv,title,oklahoma department of veterans affairs,Hospital_left,title,michael e. debakey veterans affairs medical center in houston,0.6952470541000366
GovernmentAgency_left.csv,title,nhs sustainable development unit,Hospital_left,title,aintree university hospitals nhs foundation trust,0.692779541015625
GovernmentAgency_left.csv,title,united states public health service,Hospital_left,title,university behavioral healthcare,0.6897256374359131
GovernmentAgency_left.csv,title,kolkata improvement trust,Hospital_left,title,ruttonjee hospital,0.6888389587402344
GovernmentAgency_left.csv,title,punjab education foundation,Hospital_left,title,aga khan maternal and child care centre,0.688095211982727
GovernmentAgency_left.csv,title,new york state department of health,Hospital_left,title,"st. joseph's medical center (yonkers, new york)",0.6823911070823669
GovernmentAgency_left.csv,title,oklahoma office of the chief medical examiner,Hospital_left,title,south okanagan general hospital,0.6810389757156372
GovernmentAgency_left.csv,title,health in ghana,Hospital_left,title,anadolu medical center,0.6774320602416992
GovernmentAgency_left.csv,title,ministry of health (spain),Hospital_left,title,hospital universitario de canarias,0.6769959926605225
GovernmentAgency_left.csv,title,european centre for disease prevention and control,Hospital_left,title,manchester academic health science centre,0.6759440302848816
GovernmentAgency_left.csv,title,ministry of health (portugal),Hospital_left,title,agios pavlos general hospital,0.6749787330627441
GovernmentAgency_left.csv,title,"research, development and evaluation commission",Hospital_left,title,research institute for tropical medicine,0.6742705702781677
GovernmentAgency_left.csv,title,sierra leone ministry of defence and national security,Hospital_left,title,st john of god hospital sierra leone,0.6730722784996033
GovernmentAgency_left.csv,title,ohio department of aging,Hospital_left,title,southern ohio medical center,0.6729092597961426
GovernmentAgency_left.csv,title,western cape department of health,Hospital_left,title,little company of mary hospital (pretoria),0.6725167036056519
GovernmentAgency_left.csv,title,oklahoma department of mental health and substance abuse services,Hospital_left,title,ontario shores centre for mental health sciences,0.6703077554702759
GovernmentAgency_left.csv,title,yangon city development committee,Hospital_left,title,yangon children's hospital,0.6690917611122131
GovernmentAgency_left.csv,title,ministry of higher education and scientific research (jordan),Hospital_left,title,international islamic university malaysia kulliyyah of medicine,0.6665564775466919
GovernmentAgency_left.csv,title,national center for health statistics,Hospital_left,title,health central,0.6650967001914978
GovernmentAgency_left.csv,title,benefits agency,Hospital_left,title,gerber memorial health services,0.6613081693649292
GovernmentAgency_left.csv,title,ministry of foreign affairs (liberia),Hospital_left,title,john f. kennedy medical center (liberia),0.6600989103317261
GovernmentAgency_left.csv,title,department of family and community services (new south wales),Hospital_left,title,janeway children's health and rehabilitation centre,0.6566106677055359
GovernmentAgency_left.csv,title,national youth employment program,Hospital_left,title,manatee palms youth services,0.6521457433700562
GovernmentAgency_left.csv,title,iraqi special security organization,Hospital_left,title,saudi aramco medical services organization,0.6475867033004761
GovernmentAgency_left.csv,title,national toxicology program,Hospital_left,title,northshore university healthsystem,0.6452486515045166
GovernmentAgency_left.csv,title,sigurimi,Hospital_left,title,istituto giannina gaslini,0.6423640251159668
GovernmentAgency_left.csv,title,"ministry of health, labour and welfare (japan)",Hospital_left,title,cmu china-japan friendship hospital,0.6422159671783447
GovernmentAgency_left.csv,title,bakersfield department of public works,Hospital_left,title,rancho los amigos national rehabilitation center,0.6421326398849487
GovernmentAgency_left.csv,title,dhs office of health affairs,Hospital_left,title,misericordia community hospital,0.6420549750328064
GovernmentAgency_left.csv,title,united states women's bureau,Hospital_left,title,women's college hospital,0.6412255764007568
GovernmentAgency_left.csv,title,veterans affairs commission,Hospital_left,title,captain james a. lovell federal health care center,0.6406974792480469
GovernmentAgency_left.csv,title,vikram sarabhai space centre,Hospital_left,title,sheldon m. chumir centre,0.6401849985122681
GovernmentAgency_left.csv,title,national research council (canada),Hospital_left,title,health sciences centre (winnipeg),0.6379929780960083
GovernmentAgency_left.csv,title,florida public service commission,Hospital_left,title,broward health,0.6365301609039307
GovernmentAgency_left.csv,title,"department for children, schools and families",Hospital_left,title,children's memorial health institute,0.635904848575592
GovernmentAgency_left.csv,title,california health benefit exchange,Hospital_left,title,credit valley hospital,0.6353509426116943
GovernmentAgency_left.csv,title,oregon state sanitary authority,Hospital_left,title,oregon health & science university hospital,0.6327880620956421
GovernmentAgency_left.csv,title,corrective services nsw,Hospital_left,title,monash medical centre,0.6323583126068115
GovernmentAgency_left.csv,title,california health and human services agency,Hospital_left,title,samaritan pacific communities hospital,0.6317405104637146
GovernmentAgency_left.csv,title,california department of public health,Hospital_left,title,st. john's regional medical center (california),0.6290158033370972
GovernmentAgency_left.csv,title,abu dhabi tourism authority,Hospital_left,title,cleveland clinic abu dhabi,0.6261709928512573
GovernmentAgency_left.csv,title,keris (korea education and research information service),Hospital_left,title,korea university medical center,0.6260507106781006
GovernmentAgency_left.csv,title,provincial emergency program (british columbia),Hospital_left,title,children's hospital of eastern ontario,0.6248587369918823
GovernmentAgency_left.csv,title,national offender management service,Hospital_left,title,national psychosis unit,0.6204143762588501
GovernmentAgency_left.csv,title,asaish,Hospital_left,title,dar al fouad,0.6196800470352173
GovernmentAgency_left.csv,title,sudan news agency,Hospital_left,title,dar al shifaa hospital,0.6194437146186829
GovernmentAgency_left.csv,title,new hampshire liquor commission,Hospital_left,title,southern new hampshire medical center,0.6184273958206177
GovernmentAgency_left.csv,title,saba news agency,Hospital_left,title,sheba medical center,0.6182471513748169
GovernmentAgency_left.csv,title,cleveland public power,Hospital_left,title,university hospitals of cleveland,0.6181451082229614
GovernmentAgency_left.csv,title,pami,Hospital_left,title,kisiizi hospital,0.6169931888580322
GovernmentAgency_left.csv,title,ministry of education and training (vietnam),Hospital_left,title,naresuan university hospital,0.615937352180481
GovernmentAgency_left.csv,title,ministry of health and social protection (colombia),Hospital_left,title,clinica alemana de santiago,0.6157132387161255
GovernmentAgency_left.csv,title,"board of intermediate and secondary education, multan",Hospital_left,title,rambam health care campus,0.6156960725784302
GovernmentAgency_left.csv,title,oklahoma department of central services,Hospital_left,title,uintah basin medical center,0.6152859926223755
GovernmentAgency_left.csv,title,"ministry of higher education, science and technology (south sudan)",Hospital_left,title,komfo anokye teaching hospital,0.6149147748947144
GovernmentAgency_left.csv,title,overseas chinese affairs council,Hospital_left,title,beijing tongren hospital,0.6129993200302124
GovernmentAgency_left.csv,title,development bureau,Hospital_left,title,bassano health centre,0.6106550693511963
GovernmentAgency_left.csv,title,austrian research promotion agency,Hospital_left,title,greifswald university hospital,0.6100468039512634
GovernmentAgency_left.csv,title,sicherheitsdienst,Hospital_left,title,sabbatsbergs sjukhus,0.6096909046173096
GovernmentAgency_left.csv,title,ss-rasse- und siedlungshauptamt,Hospital_left,title,berufsgenossenschaftliche kliniken bergmannstrost halle,0.6088310480117798
GovernmentAgency_left.csv,title,sismi,Hospital_left,title,skejby sygehus,0.6088179349899292
GovernmentAgency_left.csv,title,food and drug administration,Hospital_left,title,ou medicine,0.6072630882263184
GovernmentAgency_left.csv,title,rapid action battalion,Hospital_left,title,red cross war memorial children's hospital,0.6070857048034668
GovernmentAgency_left.csv,title,ministry of human resources and social security of the people's republic of china,Hospital_left,title,chinese general hospital and medical center,0.6062381267547607
GovernmentAgency_left.csv,title,health minister of the gaza strip,Hospital_left,title,saad specialist hospital,0.6047613620758057
GovernmentAgency_left.csv,title,food and nutrition service,Hospital_left,title,st. joseph's health centre,0.6046451330184937
