query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballLeagueSeason_left.csv,title,2002 tuvalu a-division,SoccerTournament_right,title,2012 tuvalu independence cup,0.8674435019493103
FootballLeagueSeason_left.csv,title,2009 k-league,SoccerTournament_right,title,2009 k-league cup,0.8665813207626343
FootballLeagueSeason_left.csv,title,2012 fkf division one,SoccerTournament_right,title,2012 aff championship qualification,0.8293123841285706
FootballLeagueSeason_left.csv,title,2012 afc futsal club championship qualification,SoccerTournament_right,title,uefa futsal euro 2012,0.8249396681785583
FootballLeagueSeason_left.csv,title,2013 k league challenge,SoccerTournament_right,title,2011 k-league cup,0.8216360211372375
FootballLeagueSeason_left.csv,title,2011 u-league,SoccerTournament_right,title,2011â12 united football cup,0.8166096210479736
FootballLeagueSeason_left.csv,title,2011 colonial athletic association men's soccer season,SoccerTournament_right,title,2011 atlantic sun men's soccer tournament,0.8138616681098938
FootballLeagueSeason_left.csv,title,2002 kyrgyzstan league,SoccerTournament_right,title,2010 k-league cup,0.8137722015380859
FootballLeagueSeason_left.csv,title,2008 kyrgyzstan league,SoccerTournament_right,title,2008 k-league cup,0.8099892139434814
FootballLeagueSeason_left.csv,title,2006 copa aerosur,SoccerTournament_right,title,2004 copa de tejas,0.8052780628204346
FootballLeagueSeason_left.csv,title,2010 thai division 1 league,SoccerTournament_right,title,2005 asean club championship,0.8018895387649536
FootballLeagueSeason_left.csv,title,1999 asfa soccer league,SoccerTournament_right,title,2000â01 oceania club championship,0.7844690084457397
FootballLeagueSeason_left.csv,title,2012 women's league soccer season,SoccerTournament_right,title,2012 uefa u-17 women's championship,0.7842164039611816
FootballLeagueSeason_left.csv,title,2013 j. league division 2,SoccerTournament_right,title,2013 j.league cup,0.780739426612854
FootballLeagueSeason_left.csv,title,2009 thai division 2 league north eastern region,SoccerTournament_right,title,asean club championship 2003,0.7768363356590271
FootballLeagueSeason_left.csv,title,2011 j. league division 2,SoccerTournament_right,title,2011 j.league cup,0.7762830853462219
FootballLeagueSeason_left.csv,title,2013 indonesia super league,SoccerTournament_right,title,2012 west asian football federation championship,0.776167631149292
FootballLeagueSeason_left.csv,title,2011 meath intermediate football championship,SoccerTournament_right,title,dublin super cup,0.7748416066169739
