query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballLeagueSeason_left.csv,title,2012 challengers league,TennisTournament_right,title,2012 arimex challenger trophy,0.7732785940170288
FootballLeagueSeason_left.csv,title,2011 korea national league,TennisTournament_right,title,2012 korea open,0.7314784526824951
FootballLeagueSeason_left.csv,title,2013 k league challenge,TennisTournament_right,title,2012 commonwealth bank tournament of champions,0.7140607833862305
FootballLeagueSeason_left.csv,title,2006 superettan,TennisTournament_right,title,2012 challenger banque nationale de saguenay,0.691453218460083
FootballLeagueSeason_left.csv,title,2009 tt pro league,TennisTournament_right,title,2010 aegon championships,0.6841376423835754
FootballLeagueSeason_left.csv,title,2013 esiliiga,TennisTournament_right,title,2013 challenger banque nationale de rimouski,0.6835265159606934
FootballLeagueSeason_left.csv,title,2009 esiliiga,TennisTournament_right,title,2011 challenger banque nationale de rimouski,0.6833933591842651
FootballLeagueSeason_left.csv,title,2009 k-league,TennisTournament_right,title,2011 aegon championships,0.6812276840209961
FootballLeagueSeason_left.csv,title,2004 allsvenskan,TennisTournament_right,title,2010 challenger banque nationale de rimouski,0.6678054332733154
FootballLeagueSeason_left.csv,title,2012 superettan,TennisTournament_right,title,2011 challenger banque nationale de saguenay,0.6630781292915344
FootballLeagueSeason_left.csv,title,2013 s.league,TennisTournament_right,title,2012 aegon championships,0.6621513962745667
FootballLeagueSeason_left.csv,title,2012 damallsvenskan,TennisTournament_right,title,2012 challenger banque nationale de rimouski,0.6543099880218506
FootballLeagueSeason_left.csv,title,2002 meistriliiga,TennisTournament_right,title,2013 garanti koza wta tournament of champions,0.6336672306060791
FootballLeagueSeason_left.csv,title,2010 superettan,TennisTournament_right,title,2010 challenge bell,0.6262325644493103
FootballLeagueSeason_left.csv,title,2001 superettan,TennisTournament_right,title,2012 aegon pro-series loughborough,0.6201750040054321
FootballLeagueSeason_left.csv,title,1997 v-league,TennisTournament_right,title,1997 challenge bell,0.6177359819412231
FootballLeagueSeason_left.csv,title,jordan league 2000,TennisTournament_right,title,2000 tennis masters cup and atp tour world championships,0.6128016710281372
FootballLeagueSeason_left.csv,title,2010 toppserien,TennisTournament_right,title,2011 challenge bell,0.6072469353675842
FootballLeagueSeason_left.csv,title,2013 meistriliiga,TennisTournament_right,title,2011 aegon classic,0.6069426536560059
FootballLeagueSeason_left.csv,title,1996 v-league,TennisTournament_right,title,1996 challenge bell,0.6045397520065308
FootballLeagueSeason_left.csv,title,2012 allsvenskan,TennisTournament_right,title,2012 challenge bell,0.6044059991836548
FootballLeagueSeason_left.csv,title,2010 s.league,TennisTournament_right,title,2009 challenge bell,0.6042925715446472
FootballLeagueSeason_left.csv,title,2007 toppserien,TennisTournament_right,title,2008 challenge bell,0.6033539772033691
FootballLeagueSeason_left.csv,title,1999 s.league,TennisTournament_right,title,1998 challenge bell,0.5981725454330444
FootballLeagueSeason_left.csv,title,2010 meistriliiga,TennisTournament_right,title,2010 blu-express.com tennis cup,0.5900178551673889
FootballLeagueSeason_left.csv,title,2002 tuvalu a-division,TennisTournament_right,title,2012 blu-express.com tennis cup,0.5728100538253784
FootballLeagueSeason_left.csv,title,2007 esiliiga,TennisTournament_right,title,2009 san benedetto tennis cup,0.5649071931838989
