query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Artwork_left.csv,title,jerome connor,ChristianBishop_right,title,jerome shaw,0.80431067943573
Artwork_left.csv,title,the school of athens,ChristianBishop_right,title,christodoulos of athens,0.7856543660163879
Artwork_left.csv,title,christ of saint john of the cross,ChristianBishop_right,title,saint matthew,0.7768356800079346
Artwork_left.csv,title,the history of constantine,ChristianBishop_right,title,matthew ii of constantinople,0.7652080059051514
Artwork_left.csv,title,martyrdom of saint bartholomew,ChristianBishop_right,title,bartholomew i of constantinople,0.7526395320892334
Artwork_left.csv,title,portrait of cardinal alessandro farnese,ChristianBishop_right,title,filippo maria visconti (bishop),0.7466332912445068
Artwork_left.csv,title,st. michael (raphael),ChristianBishop_right,title,raphael ii of constantinople,0.7432831525802612
Artwork_left.csv,title,robert gould shaw memorial,ChristianBishop_right,title,sebastian francis shaw,0.7429457306861877
Artwork_left.csv,title,john rogers herbert,ChristianBishop_right,title,john habgood,0.73896324634552
Artwork_left.csv,title,augustus of prima porta,ChristianBishop_right,title,neophytus vi of constantinople,0.7365217208862305
Artwork_left.csv,title,sponsa de libano,ChristianBishop_right,title,norberto do amaral,0.7350540161132812
Artwork_left.csv,title,st. john the evangelist on patmos,ChristianBishop_right,title,ignatius john xiii,0.7259433269500732
Artwork_left.csv,title,portrait of guidobaldo da montefeltro,ChristianBishop_right,title,bertoldo de merania,0.712671160697937
Artwork_left.csv,title,glen s. hopkinson,ChristianBishop_right,title,c. andrew doyle,0.7079720497131348
Artwork_left.csv,title,grande odalisque,ChristianBishop_right,title,kariattil mar ousep,0.7041804790496826
Artwork_left.csv,title,portrait of andrea odoni,ChristianBishop_right,title,annetto depasquale,0.6896763443946838
Artwork_left.csv,title,john luttrell (picture),ChristianBishop_right,title,john miles kendrick,0.6877392530441284
Artwork_left.csv,title,john peter gabriel muhlenberg (hufford),ChristianBishop_right,title,john berg (priest),0.6865627765655518
Artwork_left.csv,title,saint paul (masaccio),ChristianBishop_right,title,saint sava ii,0.6847860813140869
Artwork_left.csv,title,annunziata polyptych,ChristianBishop_right,title,meletius i pegas,0.684194803237915
Artwork_left.csv,title,altarpiece of the saints john,ChristianBishop_right,title,john ii of the sedre,0.6836333274841309
Artwork_left.csv,title,the death of hyacinthos,ChristianBishop_right,title,damaskinos of athens,0.683371901512146
Artwork_left.csv,title,anthony wayne (gregory),ChristianBishop_right,title,anthony burton,0.6785230040550232
Artwork_left.csv,title,madonna in glory with seraphim (botticelli),ChristianBishop_right,title,abba seraphim,0.6780147552490234
Artwork_left.csv,title,stephen neal (bust),ChristianBishop_right,title,ray sutton,0.6738512516021729
Artwork_left.csv,title,maurin quina,ChristianBishop_right,title,josyf milyan,0.6735986471176147
Artwork_left.csv,title,el rio de luz,ChristianBishop_right,title,jorge ortiga,0.6718628406524658
Artwork_left.csv,title,mrs. richard brinsley sheridan (painting),ChristianBishop_right,title,william sheridan,0.6713132858276367
Artwork_left.csv,title,personnage oiseaux,ChristianBishop_right,title,cyril restieaux,0.6706362366676331
Artwork_left.csv,title,severan tondo,ChristianBishop_right,title,yuhanon mor philoxenos,0.6666598320007324
Artwork_left.csv,title,saint catherine of alexandria polyptych,ChristianBishop_right,title,eutychius of alexandria,0.6664011478424072
Artwork_left.csv,title,st bibiana (bernini),ChristianBishop_right,title,alphonsus maria de' liguori,0.6663801670074463
Artwork_left.csv,title,portrait of sigismondo pandolfo malatesta,ChristianBishop_right,title,pandulf verraccio,0.6654342412948608
Artwork_left.csv,title,the martyrdom of saint matthew (caravaggio),ChristianBishop_right,title,matthew ii izmirlian,0.6621390581130981
Artwork_left.csv,title,saint candidus (ayne bru),ChristianBishop_right,title,saint jevstatije i,0.6617531180381775
Artwork_left.csv,title,portrait of daniele barbaro,ChristianBishop_right,title,louis casartelli,0.6609467267990112
Artwork_left.csv,title,marilyn diptych,ChristianBishop_right,title,margaret vertue,0.6586999893188477
Artwork_left.csv,title,trinity (andrei rublev),ChristianBishop_right,title,serge konovalov,0.658141016960144
Artwork_left.csv,title,erastus b. wolcott,ChristianBishop_right,title,william fitchett,0.6566367149353027
Artwork_left.csv,title,untitled (chapman),ChristianBishop_right,title,stanley chapman pickard,0.6565371155738831
Artwork_left.csv,title,st. peter's baldachin,ChristianBishop_right,title,athanasius ii baldoyo,0.6564881205558777
Artwork_left.csv,title,venus victrix (canova),ChristianBishop_right,title,vavila,0.6563436985015869
Artwork_left.csv,title,ansidei madonna,ChristianBishop_right,title,anba angaelos,0.6557656526565552
Artwork_left.csv,title,el jaleo,ChristianBishop_right,title,joseph martino,0.6537786722183228
