query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Artwork_left.csv,title,portrait of cardinal alessandro farnese,Noble_right,title,giovanni visconti (cardinal),0.7781869173049927
Artwork_left.csv,title,count casimir pulaski (kiselewski),Noble_right,title,"friedrich casimir, count of hanau-lichtenberg",0.770412802696228
Artwork_left.csv,title,beata beatrix,Noble_right,title,beatrix of baden,0.7678340673446655
Artwork_left.csv,title,portrait of cosimo i de' medici,Noble_right,title,lucrezia de' medici (1545â1561),0.7545511722564697
Artwork_left.csv,title,his highness the prince,Noble_right,title,prince abdulaziz bin talal bin abdulaziz al saud,0.7341586351394653
Artwork_left.csv,title,el rio de luz,Noble_right,title,santiago maria del granado,0.7272197008132935
Artwork_left.csv,title,ognissanti madonna,Noble_right,title,moisi golemi,0.7236602306365967
Artwork_left.csv,title,portrait of guidobaldo da montefeltro,Noble_right,title,"francisco da silveira, count of amarante",0.6974126696586609
Artwork_left.csv,title,manfred on the jungfrau (1837),Noble_right,title,johann philipp of hanau-lichtenberg,0.6905852556228638
Artwork_left.csv,title,portrait of a young woman (van der weyden),Noble_right,title,maria van eicken,0.6904860734939575
Artwork_left.csv,title,chinese girl,Noble_right,title,lady cai (liu biao's wife),0.6838606595993042
Artwork_left.csv,title,personnage oiseaux,Noble_right,title,jacques d'armagnac,0.683838963508606
Artwork_left.csv,title,the family of philip v (1723),Noble_right,title,philip of cleves,0.682194173336029
Artwork_left.csv,title,sponsa de libano,Noble_right,title,pippo spano,0.6806068420410156
Artwork_left.csv,title,portrait of sir richard southwell,Noble_right,title,elizabeth southwell,0.6775283217430115
Artwork_left.csv,title,bijinga,Noble_right,title,gjin bua spata,0.6768565773963928
Artwork_left.csv,title,major general friedrich wilhelm von steuben,Noble_right,title,"friedrich wilhelm, prince of hohenzollern-hechingen",0.6758475303649902
Artwork_left.csv,title,adele bloch-bauer ii,Noble_right,title,anna karlsdotter,0.6729520559310913
Artwork_left.csv,title,ex-voto de 1662,Noble_right,title,guigues viii of albon,0.6719570159912109
Artwork_left.csv,title,abraham lincoln (healy),Noble_right,title,"elizabeth fitzgerald, countess of lincoln",0.6712380051612854
Artwork_left.csv,title,portrait of princess saint joana,Noble_right,title,anastasia de montfort,0.6695635318756104
Artwork_left.csv,title,maurin quina,Noble_right,title,lady lahan unen mo',0.6685991883277893
Artwork_left.csv,title,st. john the evangelist on patmos,Noble_right,title,andronikos komnenos (son of john ii komnenos),0.6682361364364624
Artwork_left.csv,title,portrait of henry viii,Noble_right,title,henry of eppenstein,0.6668069362640381
Artwork_left.csv,title,marilyn diptych,Noble_right,title,margaret grey,0.6664630174636841
Artwork_left.csv,title,rhein ii,Noble_right,title,"erdmann ii, count of promnitz",0.6648979187011719
Artwork_left.csv,title,john rogers herbert,Noble_right,title,thomas stanhope,0.6641630530357361
Artwork_left.csv,title,marriage of st. catherine (filippino lippi),Noble_right,title,"catherine of taranto, countess of copertino",0.6629378795623779
Artwork_left.csv,title,le sommeil,Noble_right,title,dangereuse de l'isle bouchard,0.661712646484375
Artwork_left.csv,title,john peter gabriel muhlenberg (hufford),Noble_right,title,john spata,0.6607880592346191
Artwork_left.csv,title,madonna of laroque,Noble_right,title,margaret of baux,0.6510541439056396
Artwork_left.csv,title,saint paul (masaccio),Noble_right,title,giovanni visconti (archbishop of milan),0.6507911086082458
Artwork_left.csv,title,glen s. hopkinson,Noble_right,title,gervase clifton,0.6499344110488892
Artwork_left.csv,title,abaporu,Noble_right,title,amadeus aba,0.6490275263786316
Artwork_left.csv,title,tete de femme (dora maar),Noble_right,title,joan vaux (lady-in-waiting),0.6484394669532776
Artwork_left.csv,title,portrait of suzanne bloch,Noble_right,title,emmeline pethick-lawrence,0.6475108861923218
Artwork_left.csv,title,doni tondo,Noble_right,title,isonokami no maro,0.6474735140800476
Artwork_left.csv,title,equestrian portrait of elisabeth of france,Noble_right,title,elisabeth of hesse,0.6471011638641357
Artwork_left.csv,title,the 28th regiment at quatre bras,Noble_right,title,"armand-nompar de caumont, duc de la force",0.6465567350387573
Artwork_left.csv,title,marforio,Noble_right,title,lamberto grimaldi,0.6447404623031616
Artwork_left.csv,title,lucretia (veronese),Noble_right,title,bianca of burgundy,0.6406694650650024
Artwork_left.csv,title,celebration (tyeb mehta),Noble_right,title,janahb pakal,0.6383827328681946
Artwork_left.csv,title,portrait of camilla gonzaga and her three sons,Noble_right,title,"ludovico iii gonzaga, marquis of mantua",0.6337672472000122
Artwork_left.csv,title,the princess from the land of porcelain,Noble_right,title,"katharina of hanau, countess of wied",0.6306672096252441
Artwork_left.csv,title,dawnsong,Noble_right,title,emnilda,0.6289510130882263
