query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
FootballMatch_left.csv,title,2007 rugby world cup final,RugbyLeague_right,title,world rugby nations cup,0.8131318092346191
FootballMatch_left.csv,title,2009 supercoppa italiana,RugbyLeague_right,title,national championship of excellence (italian premiership),0.7953004837036133
FootballMatch_left.csv,title,2006 football league cup final,RugbyLeague_right,title,top league champions cup,0.7809187173843384
FootballMatch_left.csv,title,2001 fa charity shield,RugbyLeague_right,title,charity shield (nrl),0.7747350335121155
FootballMatch_left.csv,title,2006 football league trophy final,RugbyLeague_right,title,league cup (rugby league),0.7650098204612732
FootballMatch_left.csv,title,2006 japanese super cup,RugbyLeague_right,title,all japan university rugby championship,0.760084867477417
FootballMatch_left.csv,title,2009 african nations championship final,RugbyLeague_right,title,african development trophy,0.7434074282646179
FootballMatch_left.csv,title,1999 rugby world cup final,RugbyLeague_right,title,oceania rugby cup,0.741621196269989
FootballMatch_left.csv,title,2002 asian super cup,RugbyLeague_right,title,saru gold cup,0.7376099228858948
FootballMatch_left.csv,title,2012 chatham cup,RugbyLeague_right,title,colonial cup,0.7367078065872192
FootballMatch_left.csv,title,1995 rugby world cup final,RugbyLeague_right,title,list of rugby world cup finals,0.7294023036956787
FootballMatch_left.csv,title,2006 scottish challenge cup final,RugbyLeague_right,title,scottish premiership (rugby),0.7190489768981934
FootballMatch_left.csv,title,2010 kor royal cup,RugbyLeague_right,title,mitre 10 cup,0.7135046124458313
FootballMatch_left.csv,title,2007 recopa sudamericana,RugbyLeague_right,title,south american women's sevens,0.7050538659095764
FootballMatch_left.csv,title,2006 international rules series,RugbyLeague_right,title,sevens world series,0.697357177734375
FootballMatch_left.csv,title,2012 csl all-stars game,RugbyLeague_right,title,all stars match,0.6942800283432007
FootballMatch_left.csv,title,2010 piala indonesia final,RugbyLeague_right,title,pacific nations cup,0.6928991675376892
FootballMatch_left.csv,title,2000 football league trophy final,RugbyLeague_right,title,world rugby under 20 trophy,0.6864663362503052
FootballMatch_left.csv,title,uefa under-18 challenge,RugbyLeague_right,title,world rugby under 20 championship,0.6838203072547913
FootballMatch_left.csv,title,2008 coupe de france final,RugbyLeague_right,title,france sevens,0.6836138367652893
FootballMatch_left.csv,title,2012 kor royal cup,RugbyLeague_right,title,tom richards cup,0.6822973489761353
FootballMatch_left.csv,title,2006 all-ireland senior football championship final,RugbyLeague_right,title,rugby league european championship c,0.679879903793335
FootballMatch_left.csv,title,2000 asian super cup,RugbyLeague_right,title,asian rugby championship,0.6786143183708191
FootballMatch_left.csv,title,2002 international rules series,RugbyLeague_right,title,international origin match,0.676571249961853
FootballMatch_left.csv,title,2010 leinster senior football championship final,RugbyLeague_right,title,rugby league european championship b,0.6749825477600098
FootballMatch_left.csv,title,2011 indian super cup,RugbyLeague_right,title,sri lanka sevens,0.6712126731872559
FootballMatch_left.csv,title,2010 japanese super cup,RugbyLeague_right,title,gio schoolboy cup,0.671034574508667
FootballMatch_left.csv,title,2003 rugby world cup final,RugbyLeague_right,title,world rugby pacific nations cup,0.6690908670425415
FootballMatch_left.csv,title,2006 a-league grand final,RugbyLeague_right,title,intrust super premiership nsw,0.6630473136901855
FootballMatch_left.csv,title,2010 kenyan super cup,RugbyLeague_right,title,african women's sevens championship,0.6618245840072632
