query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Song_left.csv,title,kolyadka,Monarch_right,title,yasovarman,0.8109789490699768
Song_left.csv,title,kajra re,Monarch_right,title,keshri singh,0.7875938415527344
Song_left.csv,title,alif allah (jugni),Monarch_right,title,lutf allah (sarbadar),0.7875067591667175
Song_left.csv,title,main naahin maakhan khaayo,Monarch_right,title,ahkal mo' nahb i,0.7859047651290894
Song_left.csv,title,sveta ljubav,Monarch_right,title,stefan radoslav,0.7782701253890991
Song_left.csv,title,harimuraleeravam,Monarch_right,title,uthram thirunal marthanda varma,0.7744072079658508
Song_left.csv,title,zauvijek volim te,Monarch_right,title,varaz trdat i,0.7686947584152222
Song_left.csv,title,ekbar biday de ma ghure ashi,Monarch_right,title,avittom thirunal balarama varma,0.7424824833869934
Song_left.csv,title,kannum kannum kalanthu,Monarch_right,title,kan bahlam i,0.7410858273506165
Song_left.csv,title,kallai mattum,Monarch_right,title,chaiyasiri,0.7346927523612976
Song_left.csv,title,kangding qingge,Monarch_right,title,shao kang,0.7266919016838074
Song_left.csv,title,samo shampioni,Monarch_right,title,ismail samani,0.7120432257652283
Song_left.csv,title,czarna dziewczyna,Monarch_right,title,constantine doukas,0.7115633487701416
Song_left.csv,title,nuku pommiin,Monarch_right,title,yax nuun ahiin i,0.7091975212097168
Song_left.csv,title,jaan pehechan ho,Monarch_right,title,sihyaj chan k'awiil ii,0.7050358057022095
Song_left.csv,title,tajomstvo hier,Monarch_right,title,mirwais hotak,0.7014424204826355
Song_left.csv,title,zindagi ek safar hai suhana,Monarch_right,title,amr saffari,0.7011799812316895
Song_left.csv,title,pia prosefhi,Monarch_right,title,kapeliele faupala,0.7009871006011963
Song_left.csv,title,tere tille ton,Monarch_right,title,tode mongke,0.6911026239395142
Song_left.csv,title,pyar kiya to darna kya,Monarch_right,title,pandara vanniyan,0.6893432140350342
Song_left.csv,title,korake ti znam,Monarch_right,title,zhanibek khan,0.683959424495697
Song_left.csv,title,nygammal vals,Monarch_right,title,phetsarath ratanavongsa,0.6830743551254272
Song_left.csv,title,awara hoon,Monarch_right,title,ashraf hotak,0.6786593198776245
Song_left.csv,title,po dolinam i po vzgoriam,Monarch_right,title,varaz-tiridates i,0.6685131788253784
Song_left.csv,title,hrafntinna,Monarch_right,title,hussain hotak,0.6678922176361084
Song_left.csv,title,moja ljubavi,Monarch_right,title,ljudevit,0.6678735017776489
Song_left.csv,title,emor shalom,Monarch_right,title,fadl ibn shavur,0.667601466178894
Song_left.csv,title,isis (song),Monarch_right,title,'imad al-daula,0.6664878129959106
Song_left.csv,title,du hast mich so fasziniert,Monarch_right,title,fadl i,0.6586529016494751
Song_left.csv,title,aspro mavro,Monarch_right,title,artemidoros aniketos,0.656779408454895
Song_left.csv,title,laat me nu gaan,Monarch_right,title,qutbu l-din aibak,0.6558906435966492
Song_left.csv,title,rimi rimi ley,Monarch_right,title,bridei vi,0.6513184309005737
Song_left.csv,title,the secret life of arabia,Monarch_right,title,lu'lu' al-kabir,0.6509027481079102
Song_left.csv,title,tanzania nakupenda kwa moyo wote,Monarch_right,title,yaqob of ethiopia,0.6450085639953613
Song_left.csv,title,ah-leu-cha,Monarch_right,title,chashtana,0.6446235775947571
Song_left.csv,title,antes do adeus,Monarch_right,title,anastasius i dicorus,0.6370211839675903
Song_left.csv,title,siberian khatru,Monarch_right,title,khosrow i,0.6369236707687378
Song_left.csv,title,masakali,Monarch_right,title,gaumata,0.636374831199646
Song_left.csv,title,s druz'yami,Monarch_right,title,gushtasb i,0.6354864835739136
