query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
MotorsportSeason_left.csv,title,2011 eurocup clio season,FootballMatch_right,title,2011 uefa european under-21 championship final,0.7589766979217529
MotorsportSeason_left.csv,title,1993 efda nations cup,FootballMatch_right,title,1993 dutch supercup,0.7234569787979126
MotorsportSeason_left.csv,title,2009 plfa season,FootballMatch_right,title,2009 conference premier play-off final,0.7089916467666626
MotorsportSeason_left.csv,title,1992 efda nations cup,FootballMatch_right,title,1992 dutch supercup,0.7019190192222595
MotorsportSeason_left.csv,title,1995 efda nations cup,FootballMatch_right,title,2009 african championship of nations final,0.697144627571106
MotorsportSeason_left.csv,title,2011 gt4 european cup season,FootballMatch_right,title,2011 j.league cup final,0.6964002847671509
MotorsportSeason_left.csv,title,2011 plfa season,FootballMatch_right,title,2011 conference premier play-off final,0.6934017539024353
MotorsportSeason_left.csv,title,1991 efda nations cup,FootballMatch_right,title,1991 dutch supercup,0.6911548972129822
MotorsportSeason_left.csv,title,2005 gp2 series season,FootballMatch_right,title,2002 international rules series,0.6909487843513489
MotorsportSeason_left.csv,title,2008 plfa season,FootballMatch_right,title,2008 conference premier play-off final,0.6862151622772217
MotorsportSeason_left.csv,title,2011 super copa telcel,FootballMatch_right,title,2006 copa indonesia final,0.676371157169342
MotorsportSeason_left.csv,title,1990 efda nations cup,FootballMatch_right,title,argentina 2â1 england (1986 fifa world cup),0.6728259325027466
MotorsportSeason_left.csv,title,2008 gp2 series season,FootballMatch_right,title,2008 international rules series,0.6684961318969727
MotorsportSeason_left.csv,title,1998 international sports racing series season,FootballMatch_right,title,1998 international rules series,0.6666954755783081
MotorsportSeason_left.csv,title,2009 superleague formula season,FootballMatch_right,title,2009 wps all-star game,0.6641424298286438
MotorsportSeason_left.csv,title,2011 gp2 series season,FootballMatch_right,title,2011 international rules series,0.6633459329605103
MotorsportSeason_left.csv,title,2012 plfa season,FootballMatch_right,title,2012 conference premier play-off final,0.6580010652542114
MotorsportSeason_left.csv,title,2009 gp2 series season,FootballMatch_right,title,2010 international rules series,0.6509178876876831
MotorsportSeason_left.csv,title,2012 copa fiat brasil season,FootballMatch_right,title,soccer bowl 2013,0.6478021144866943
MotorsportSeason_left.csv,title,2001 australian drivers' championship,FootballMatch_right,title,2010â11 w-league grand final,0.6381030082702637
MotorsportSeason_left.csv,title,1998 efda nations cup,FootballMatch_right,title,2013 kenyan super cup (pre-season),0.6378256678581238
MotorsportSeason_left.csv,title,1996 bpr global gt series season,FootballMatch_right,title,2006 international rules series,0.624574601650238
MotorsportSeason_left.csv,title,2009 h1 unlimited season,FootballMatch_right,title,2006 international rules series,0.6244117021560669
MotorsportSeason_left.csv,title,2010 asa midwest tour season,FootballMatch_right,title,2010 wps all-star game,0.6157569885253906
MotorsportSeason_left.csv,title,1971 golden helmet (poland),FootballMatch_right,title,hungary 10â1 el salvador (1982),0.6152163743972778
MotorsportSeason_left.csv,title,1996 efda nations cup,FootballMatch_right,title,brazil v italy (1982 fifa world cup),0.6116535663604736
MotorsportSeason_left.csv,title,2010 h1 unlimited season,FootballMatch_right,title,2005 international rules series,0.6083011627197266
MotorsportSeason_left.csv,title,2009 polish speedway first league,FootballMatch_right,title,2012 albanian supercup,0.6078788042068481
MotorsportSeason_left.csv,title,1999 shell championship series,FootballMatch_right,title,1999 international rules series,0.60406494140625
MotorsportSeason_left.csv,title,1985 can-am season,FootballMatch_right,title,1989 misl all-star game,0.6032747030258179
MotorsportSeason_left.csv,title,2011 superleague formula season,FootballMatch_right,title,2010 conference premier play-off final,0.5986961126327515
MotorsportSeason_left.csv,title,1995 bpr global gt series season,FootballMatch_right,title,2001 international rules series,0.5912526249885559
MotorsportSeason_left.csv,title,2011 trofeo linea brasil season,FootballMatch_right,title,shamrock rovers xi v brazil,0.5660275220870972
MotorsportSeason_left.csv,title,2008 golden helmet (poland),FootballMatch_right,title,battle of nuremberg (2006 fifa world cup),0.5640794038772583
MotorsportSeason_left.csv,title,2000 sports racing world cup season,FootballMatch_right,title,2000 england v germany football match,0.5619312524795532
MotorsportSeason_left.csv,title,1968 golden helmet (poland),FootballMatch_right,title,poland v brazil (1938 fifa world cup),0.5610928535461426
MotorsportSeason_left.csv,title,1966 tasman series,FootballMatch_right,title,1870â71 home nations rugby union matches,0.557297945022583
