candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
BasketballTeam_left,title,1.0,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat",victoria titans↔victoria titans(1.00) | pittsburgh ironmen↔pittsburgh ironmen(1.00) | oshawa power↔oshawa power(1.00) | niigata albirex bb↔niigata albirex bb(1.00) | shandong lions↔shandong lions(1.00) | bc krasnye krylia↔bc krasnye krylia(1.00) | rethymno aegean b.c.↔rethymno aegean b.c.(1.00) | adanaspor basketbol↔adanaspor basketbol(1.00) | texas legends↔texas legends(1.00) | san diego sails↔san diego sails(1.00),200
BasketballTeam_right,title,0.8121141195297241,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United",cuxhaven bascats↔cuxhaven bascats(1.00) | cs otopeni (basketball)↔cs otopeni (basketball)(1.00) | gigantes de carolina (basketball)↔gigantes de carolina (men's basketball)(0.97) | goyang orions↔goyang orion orions(0.97) | galatasaray sk (women's basketball)↔galatasaray s.k. (women's basketball)(0.97) | bc budivelnyk↔bc budivelnik(0.97) | galatasaray sk (wheelchair basketball)↔galatasaray s.k. (wheelchair basketball)(0.97) | ilysiakos b.c.↔ilissiakos b.c.(0.97) | galatasaray medical park (men's basketball)↔galatasaray medical park (women's basketball)(0.97) | maccabi raanana↔maccabi ra'anana(0.97),166
SoccerLeague_right,title,0.6197498440742493,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","National League (English football), USL W-League, J1 League, Gibraltar Premier Division, Persian Gulf Pro League","thames valley tigers↔thames valley premier football league(0.80) | leones regios de monterrey↔liga de ascenso(0.80) | bc dinamo tbilisi↔georgian premier league(0.79) | kk zagreb↔croatian prva hmnl(0.78) | london united↔united soccer league(0.78) | hapoel holon↔israeli noar leumit league(0.77) | north melbourne giants↔national premier leagues nsw(0.76) | franca basquetebol clube↔liga de honra(0.76) | al-arabi (saudi arabia, basketball club)↔uae arabian gulf league(0.76) | bc dynamo moscow↔russian football national league(0.75)",200
SoccerClubSeason_right,title,0.6064742207527161,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","2006 Australia national soccer team season, 2007 Australia national soccer team season, 2008 Australia national soccer team season, 2005 Australia national soccer team season, 2009 Australia national soccer team season",wellington saints↔2012 woodlands wellington fc season(0.72) | australian institute of sport (wnbl team)↔2007 australia national soccer team season(0.72) | orlando magic↔2012 orlando city sc season(0.72) | jalaa fc↔2012 jeju united fc season(0.70) | basket zaragoza 2002↔2003 cienciano season(0.70) | carolina cougars↔2013 carolina railhawks season(0.68) | taunton tigers↔2013 woodlands wellington fc season(0.68) | west hertfordshire warriors↔2010 woodlands wellington fc season(0.67) | shandong lions↔2013 incheon united fc season(0.67) | seoul sk knights↔2012 incheon united fc season(0.67),51
RugbyLeague_right,title,0.5962144136428833,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","World Rugby Sevens Series, World Club Series, Mitre 10 Cup, Pro12, League Cup (rugby league)",north melbourne giants↔intrust super premiership nsw(0.73) | juventus (basketball club)↔national championship of excellence (italian premiership)(0.73) | southern melbourne saints↔rugby league conference south premier(0.71) | south west slammers↔south premier(0.71) | philippine centennial team↔pacific nations cup(0.71) | australian institute of sport (wnbl team)↔oceania women's sevens championship(0.71) | leicester warriors↔scottish premiership (rugby)(0.69) | wellington saints↔tonga national rugby league(0.69) | london united↔top league champions cup(0.69) | university of johannesburg men's basketball↔african women's sevens championship(0.68),58
NCAATeamSeason_right,title,0.5930308103561401,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","1893 LSU football team, 1894 LSU football team, 1895 LSU football team, 1892 Alabama Cadets football team, 1894 Alabama Crimson White football team",birmingham panthers↔2011 fiu golden panthers football team(0.72) | carolina cougars↔2010 fiu golden panthers football team(0.71) | umfb basketball↔2011 austin peay governors football team(0.69) | detroit falcons (basketball)↔2012 fiu golden panthers football team(0.69) | scaa basketball↔2012 austin peay governors football team(0.66) | birmingham athletics↔2002 florida atlantic owls baseball team(0.66) | dumbarton dodgers basketball club↔1919 washington sun dodgers football team(0.66) | hakuoh university women's basketball↔2013 hawaii rainbow warriors football team(0.64) | fayetteville patriots↔1895 lsu football team(0.63) | new orleans buccaneers↔1892 alabama cadets football team(0.61),34
GivenName_right,title,0.5904021263122559,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","Luke (name), Julia, Fatima (name), Fanny (name), Lyfing",kauhajoen karhu↔kaj(0.78) | kk proleter zrenjanin↔zvonimir(0.78) | olimpia grodno↔oladapo(0.77) | kk bor↔bojan(0.76) | kk zadar↔zakiah(0.75) | okapi aalstar↔okonma(0.75) | kk ulcinj↔ljubica(0.74) | banvit b.k.↔banu(0.72) | espoon honka↔harutyun(0.72) | cherkaski mavpy↔maki (name)(0.71),154
Monarch_right,title,0.5893428921699524,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","Emperor Kinmei, Emperor Tenmu, Emperor Monmu, Anastasius I Dicorus, Theodoric the Great",kk zadar↔zhanibek khan(0.78) | al-ittihad alexandria↔'imad al-daula(0.77) | kk proleter zrenjanin↔varaz trdat i(0.76) | kauhajoen karhu↔keshri singh(0.76) | barak netanya↔dost mohammad barakzai(0.76) | azs koszalin↔yasovarman(0.75) | al mouttahed tripoli↔abu'l-fath musa(0.75) | kk alkar↔hussain hotak(0.75) | sigal prishtina↔sihyaj chan k'awiil ii(0.74) | pelita jaya esia↔kapeliele faupala(0.74),200
SportsLeague_right,title,0.5890606641769409,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","World Rugby Sevens Series, Sevens World Series, FIVB Volleyball World Cup, National Basketball League (Australia), National League (English football)",societa veroli basket↔serie a2 basket(0.84) | basket napoli↔serie b basket(0.83) | lemvig basket↔basketligan(0.83) | landstede basketbal↔basketligaen(0.83) | thames valley tigers↔thames valley premier football league(0.80) | south adelaide basketball club↔queensland australian basketball league(0.80) | leones regios de monterrey↔liga de ascenso(0.80) | kuwait sc (basketball)↔bahraini premier league (basketball)(0.79) | bc dinamo tbilisi↔georgian premier league(0.79) | philippine centennial team↔philippine collegiate championship(0.79),200
TennisTournament_right,title,0.584423303604126,"Boston Celtics, Brooklyn Nets, New York Knicks, Orlando Magic, Miami Heat","2000 Tennis Masters Cup and ATP Tour World Championships, 2008 Challenge Bell, 2010 Aegon Championships, 2009 Challenge Bell, 1996 Challenge Bell",fribourg olympic↔2011 challenger banque nationale de saguenay(0.72) | australian institute of sport (wnbl team)↔2012 commonwealth bank tournament of champions(0.68) | seoul sk knights↔2012 korea open(0.66) | wbc spartak moscow region↔2011 challenger banque nationale de rimouski(0.65) | basket zaragoza 2002↔2013 challenger banque nationale de rimouski(0.65) | leicester riders↔2012 aegon pro-series loughborough(0.65) | bc rilski sportist↔2010 challenger banque nationale de rimouski(0.64) | stade clermontois bf↔2012 challenger banque nationale de saguenay(0.63) | bk brno↔2012 challenger banque nationale de rimouski(0.63) | elitzur ramla (women's basketball)↔2013 garanti koza wta tournament of champions(0.60),27
