query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
BasketballTeam_left.csv,title,birmingham panthers,NCAATeamSeason_right,title,2011 fiu golden panthers football team,0.7248357534408569
BasketballTeam_left.csv,title,carolina cougars,NCAATeamSeason_right,title,2010 fiu golden panthers football team,0.7060018181800842
BasketballTeam_left.csv,title,umfb basketball,NCAATeamSeason_right,title,2011 austin peay governors football team,0.6889188289642334
BasketballTeam_left.csv,title,detroit falcons (basketball),NCAATeamSeason_right,title,2012 fiu golden panthers football team,0.6861470937728882
BasketballTeam_left.csv,title,scaa basketball,NCAATeamSeason_right,title,2012 austin peay governors football team,0.6588802337646484
BasketballTeam_left.csv,title,birmingham athletics,NCAATeamSeason_right,title,2002 florida atlantic owls baseball team,0.6587213277816772
BasketballTeam_left.csv,title,dumbarton dodgers basketball club,NCAATeamSeason_right,title,1919 washington sun dodgers football team,0.6579775810241699
BasketballTeam_left.csv,title,hakuoh university women's basketball,NCAATeamSeason_right,title,2013 hawaii rainbow warriors football team,0.6442208290100098
BasketballTeam_left.csv,title,fayetteville patriots,NCAATeamSeason_right,title,1895 lsu football team,0.6349219679832458
BasketballTeam_left.csv,title,new orleans buccaneers,NCAATeamSeason_right,title,1892 alabama cadets football team,0.6107041835784912
BasketballTeam_left.csv,title,waverley falcons,NCAATeamSeason_right,title,1906 arkansas cardinals football team,0.6003267168998718
BasketballTeam_left.csv,title,al sadd basketball team,NCAATeamSeason_right,title,1898 alabama crimson white football team,0.5926545262336731
BasketballTeam_left.csv,title,raleigh cougars,NCAATeamSeason_right,title,1979 ucf golden knights football team,0.5895646810531616
BasketballTeam_left.csv,title,reno bighorns,NCAATeamSeason_right,title,1906 alabama crimson white football team,0.5889663696289062
BasketballTeam_left.csv,title,jackson wildcats,NCAATeamSeason_right,title,1975 oregon ducks football team,0.5794733762741089
BasketballTeam_left.csv,title,oakland oaks (aba),NCAATeamSeason_right,title,1896 alabama crimson white football team,0.5778731107711792
BasketballTeam_left.csv,title,beijing ducks,NCAATeamSeason_right,title,1974 oregon ducks football team,0.5763058066368103
BasketballTeam_left.csv,title,tulsa 66ers,NCAATeamSeason_right,title,1897 alabama crimson white football team,0.5680282115936279
BasketballTeam_left.csv,title,al wahda damascus mens basketball team,NCAATeamSeason_right,title,1899 alabama crimson white football team,0.5657277703285217
BasketballTeam_left.csv,title,seattle supersonics,NCAATeamSeason_right,title,1964 oregon ducks football team,0.5643378496170044
BasketballTeam_left.csv,title,ust growling tigers men's basketball,NCAATeamSeason_right,title,1894 lsu football team,0.5634799003601074
BasketballTeam_left.csv,title,milton keynes college lions basketball academy,NCAATeamSeason_right,title,1900 alabama crimson white football team,0.5627226829528809
BasketballTeam_left.csv,title,pentland tigers basketball club,NCAATeamSeason_right,title,1893 alabama crimson white football team,0.55878746509552
BasketballTeam_left.csv,title,gigantes de carolina (basketball),NCAATeamSeason_right,title,1893 lsu football team,0.5554505586624146
BasketballTeam_left.csv,title,arkansas rimrockers,NCAATeamSeason_right,title,1895 alabama crimson white football team,0.554328441619873
BasketballTeam_left.csv,title,brighton cougars,NCAATeamSeason_right,title,1901 alabama crimson white football team,0.553093433380127
BasketballTeam_left.csv,title,taunton tigers,NCAATeamSeason_right,title,1903 alabama crimson white football team,0.5528392791748047
BasketballTeam_left.csv,title,bristol academy flyers,NCAATeamSeason_right,title,1905 alabama crimson white football team,0.5495457649230957
BasketballTeam_left.csv,title,canterbury rams,NCAATeamSeason_right,title,1963 oregon ducks football team,0.547641396522522
BasketballTeam_left.csv,title,applied science university (basketball team),NCAATeamSeason_right,title,1902 alabama crimson white football team,0.5464659929275513
BasketballTeam_left.csv,title,feu tamaraws men's basketball,NCAATeamSeason_right,title,1894 alabama crimson white football team,0.546146035194397
BasketballTeam_left.csv,title,indianapolis olympians,NCAATeamSeason_right,title,1907 notre dame football team,0.5404374003410339
BasketballTeam_left.csv,title,al rayyan basketball team,NCAATeamSeason_right,title,1904 alabama crimson white football team,0.5363569259643555
BasketballTeam_left.csv,title,pittsburgh ironmen,NCAATeamSeason_right,title,1887 notre dame football team,0.5211642980575562
