query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
BasketballTeam_left.csv,title,thames valley tigers,SoccerLeague_right,title,thames valley premier football league,0.8028250336647034
BasketballTeam_left.csv,title,leones regios de monterrey,SoccerLeague_right,title,liga de ascenso,0.7952123880386353
BasketballTeam_left.csv,title,bc dinamo tbilisi,SoccerLeague_right,title,georgian premier league,0.7862398624420166
BasketballTeam_left.csv,title,kk zagreb,SoccerLeague_right,title,croatian prva hmnl,0.7798440456390381
BasketballTeam_left.csv,title,london united,SoccerLeague_right,title,united soccer league,0.7753289341926575
BasketballTeam_left.csv,title,hapoel holon,SoccerLeague_right,title,israeli noar leumit league,0.7720289826393127
BasketballTeam_left.csv,title,north melbourne giants,SoccerLeague_right,title,national premier leagues nsw,0.7614107131958008
BasketballTeam_left.csv,title,franca basquetebol clube,SoccerLeague_right,title,liga de honra,0.7575517296791077
BasketballTeam_left.csv,title,"al-arabi (saudi arabia, basketball club)",SoccerLeague_right,title,uae arabian gulf league,0.7563581466674805
BasketballTeam_left.csv,title,bc dynamo moscow,SoccerLeague_right,title,russian football national league,0.7509052753448486
BasketballTeam_left.csv,title,kk spartak subotica,SoccerLeague_right,title,serbian prva futsal liga,0.7491211891174316
BasketballTeam_left.csv,title,neckar riesen ludwigsburg,SoccerLeague_right,title,oberliga mittelrhein,0.7458570003509521
BasketballTeam_left.csv,title,australian institute of sport (wnbl team),SoccerLeague_right,title,national youth league (australia),0.744964599609375
BasketballTeam_left.csv,title,taunton tigers,SoccerLeague_right,title,taunton & district saturday league,0.7447011470794678
BasketballTeam_left.csv,title,southern melbourne saints,SoccerLeague_right,title,national premier leagues south australia,0.7440568804740906
BasketballTeam_left.csv,title,pbc tirana (women),SoccerLeague_right,title,albanian women's national championship,0.7425137758255005
BasketballTeam_left.csv,title,albury wodonga bandits,SoccerLeague_right,title,nsw state league,0.7413390278816223
BasketballTeam_left.csv,title,bristol academy flyers,SoccerLeague_right,title,bristol and district league,0.7312072515487671
BasketballTeam_left.csv,title,ael limassol (basketball),SoccerLeague_right,title,cypriot futsal first division,0.730040967464447
BasketballTeam_left.csv,title,west hertfordshire warriors,SoccerLeague_right,title,west yorkshire league,0.7292758226394653
BasketballTeam_left.csv,title,wbc spartak noginsk,SoccerLeague_right,title,czech first league,0.7264829874038696
BasketballTeam_left.csv,title,birmingham panthers,SoccerLeague_right,title,bristol downs football league,0.7249722480773926
BasketballTeam_left.csv,title,kk partizan,SoccerLeague_right,title,slovenian regional league,0.7205941677093506
BasketballTeam_left.csv,title,seoul sk knights,SoccerLeague_right,title,sknfa super league,0.7198512554168701
BasketballTeam_left.csv,title,melbourne tigers,SoccerLeague_right,title,national premier leagues victoria,0.7196784615516663
BasketballTeam_left.csv,title,champville sc,SoccerLeague_right,title,southern championship,0.7195454835891724
BasketballTeam_left.csv,title,adanaspor basketbol,SoccerLeague_right,title,gambrinus liga,0.7138454914093018
BasketballTeam_left.csv,title,stadium jakarta,SoccerLeague_right,title,indonesian womens football tournament,0.7100543975830078
BasketballTeam_left.csv,title,geelong supercats,SoccerLeague_right,title,national premier leagues tasmania,0.7100051641464233
BasketballTeam_left.csv,title,panathinaikos b.c.,SoccerLeague_right,title,corinthia football clubs association,0.7086483240127563
BasketballTeam_left.csv,title,b.c. partizani tirana,SoccerLeague_right,title,macedonian first football league,0.7086176872253418
