query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Enzyme_left.csv,title,"3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase",Drug_right,title,"1,8-dihydroxyanthraquinone",0.7767602205276489
Enzyme_left.csv,title,acetylindoxyl oxidase,Drug_right,title,acetylsalicylic acid/dipyridamole,0.7398748397827148
Enzyme_left.csv,title,dimethylargininase,Drug_right,title,"n,n-dimethyltryptamine",0.722761869430542
Enzyme_left.csv,title,thiamine diphosphokinase,Drug_right,title,thiambutene,0.7101502418518066
Enzyme_left.csv,title,agarase,Drug_right,title,afegostat,0.7025028467178345
Enzyme_left.csv,title,caffeine dehydrogenase,Drug_right,title,caffeine/ergotamine,0.6947691440582275
Enzyme_left.csv,title,cyclomaltodextrinase,Drug_right,title,hydroxyprogesterone caproate,0.69080650806427
Enzyme_left.csv,title,imidazolonepropionase,Drug_right,title,abiraterone acetate,0.6802796125411987
Enzyme_left.csv,title,"1,6-alpha-d-mannosidase",Drug_right,title,n1-methyl-lysergic acid diethylamide,0.6796678304672241
Enzyme_left.csv,title,hydroxylamine dehydrogenase,Drug_right,title,4-hydroxyamphetamine,0.6791872978210449
Enzyme_left.csv,title,uracilylalanine synthase,Drug_right,title,ursodeoxycholic acid,0.6755346059799194
Enzyme_left.csv,title,estradiol 6beta-monooxygenase,Drug_right,title,ethinyl estradiol/drospirenone/levomefolic acid,0.6744120121002197
Enzyme_left.csv,title,carboxypeptidase u,Drug_right,title,carbaldrate,0.6737011671066284
Enzyme_left.csv,title,fluorinase,Drug_right,title,flumist,0.672980010509491
Enzyme_left.csv,title,fucokinase,Drug_right,title,fabomotizole,0.6702343225479126
Enzyme_left.csv,title,tetrahydrocannabinolic acid synthase,Drug_right,title,apica (synthetic cannabinoid drug),0.6697826385498047
Enzyme_left.csv,title,guanidinoacetase,Drug_right,title,gestonorone caproate,0.6691126823425293
Enzyme_left.csv,title,iodotyrosine deiodinase,Drug_right,title,idalopirdine,0.6611244678497314
Enzyme_left.csv,title,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-coa hydratase",Drug_right,title,1-(thiophen-2-yl)-2-aminopropane,0.6582984924316406
Enzyme_left.csv,title,6-hydroxypseudooxynicotine dehydrogenase,Drug_right,title,6-methyl-2-ethyl-3-hydroxypyridine,0.6569288969039917
