query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Amphibian_left.csv,title,galverpeton,Galaxy_right,title,gr 8,0.6055970191955566
Amphibian_left.csv,title,scinax jolyi,Galaxy_right,title,rx j1242-11,0.5783127546310425
Amphibian_left.csv,title,chthonerpeton exile,Galaxy_right,title,ngc 34,0.566014289855957
Amphibian_left.csv,title,scinax canastrensis,Galaxy_right,title,canis major overdensity,0.5654269456863403
Amphibian_left.csv,title,chthonerpeton,Galaxy_right,title,ngc 5562,0.5601216554641724
Amphibian_left.csv,title,diceratosaurus,Galaxy_right,title,ddo 190,0.5538602471351624
Amphibian_left.csv,title,sillerpeton,Galaxy_right,title,segue 2,0.5402878522872925
Amphibian_left.csv,title,bokermannohyla ravida,Galaxy_right,title,ddo 169,0.5330733060836792
Amphibian_left.csv,title,craugastor daryi,Galaxy_right,title,ngc 6872,0.5243085622787476
Amphibian_left.csv,title,craugastor charadra,Galaxy_right,title,ngc 1265,0.5129791498184204
Amphibian_left.csv,title,copiula tyleri,Galaxy_right,title,3c 433,0.5026535987854004
Amphibian_left.csv,title,centrolene fernandoi,Galaxy_right,title,ms 1512-cb58,0.4514838457107544
Amphibian_left.csv,title,sphaenorhynchus,Galaxy_right,title,sagittarius dwarf spheroidal galaxy,0.4432980716228485
Amphibian_left.csv,title,ansonia inthanon,Galaxy_right,title,ngc 935/ic 1801,0.4335697889328003
Amphibian_left.csv,title,sphaerotheca maskeyi,Galaxy_right,title,carina dwarf spheroidal galaxy,0.430416464805603
Amphibian_left.csv,title,alexteroon jynx,Galaxy_right,title,arp 302,0.42681431770324707
Amphibian_left.csv,title,parrisia,Galaxy_right,title,carina dwarf spheroidal galaxy,0.4162527918815613
