query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
NationalFootballLeagueSeason_left.csv,title,2007 spokane shock season,FootballLeagueSeason_left,title,2007 spokane shock season,1.0000005960464478
NationalFootballLeagueSeason_left.csv,title,1924 columbus tigers season,FootballLeagueSeason_left,title,1924 columbus tigers season,1.0000004768371582
NationalFootballLeagueSeason_left.csv,title,2011 canton cougars season,FootballLeagueSeason_left,title,2011 canton cougars season,1.0000004768371582
NationalFootballLeagueSeason_left.csv,title,1975 atlanta falcons season,FootballLeagueSeason_left,title,1975 atlanta falcons season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2007 dallas desperados season,FootballLeagueSeason_left,title,2007 dallas desperados season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2010 green bay packers season,FootballLeagueSeason_left,title,2010 green bay packers season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2009 california redwoods season,FootballLeagueSeason_left,title,2009 california redwoods season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2002 montreal alouettes season,FootballLeagueSeason_left,title,2002 montreal alouettes season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2013 jacksonville jaguars season,FootballLeagueSeason_left,title,2013 jacksonville jaguars season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,1978 los angeles rams season,FootballLeagueSeason_left,title,1978 los angeles rams season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,2003 ottawa renegades season,FootballLeagueSeason_left,title,2003 ottawa renegades season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,1956 washington redskins season,FootballLeagueSeason_left,title,1956 washington redskins season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,1981 new england patriots season,FootballLeagueSeason_left,title,1981 new england patriots season,1.0000003576278687
NationalFootballLeagueSeason_left.csv,title,1943 washington redskins season,FootballLeagueSeason_left,title,1943 washington redskins season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1997 scottish claymores season,FootballLeagueSeason_left,title,1997 scottish claymores season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2002 carolina panthers season,FootballLeagueSeason_left,title,2002 carolina panthers season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1924 kansas city blues season,FootballLeagueSeason_left,title,1924 kansas city blues season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1923 toledo maroons season,FootballLeagueSeason_left,title,1923 toledo maroons season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1922 columbus panhandles season,FootballLeagueSeason_left,title,1922 columbus panhandles season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1971 st. louis cardinals (nfl) season,FootballLeagueSeason_left,title,1971 st. louis cardinals (nfl) season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1916 cleveland indians (nfl) season,FootballLeagueSeason_left,title,1916 cleveland indians (nfl) season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1915 toronto argonauts season,FootballLeagueSeason_left,title,1915 toronto argonauts season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1952 cleveland browns season,FootballLeagueSeason_left,title,1952 cleveland browns season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1992 dallas cowboys season,FootballLeagueSeason_left,title,1992 dallas cowboys season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1978 new orleans saints season,FootballLeagueSeason_left,title,1978 new orleans saints season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1991 ottawa rough riders season,FootballLeagueSeason_left,title,1991 ottawa rough riders season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2012 cincinnati bengals season,FootballLeagueSeason_left,title,2012 cincinnati bengals season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1935 new york giants season,FootballLeagueSeason_left,title,1935 new york giants season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1981 cleveland browns season,FootballLeagueSeason_left,title,1981 cleveland browns season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1969 pittsburgh steelers season,FootballLeagueSeason_left,title,1969 pittsburgh steelers season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1989 atlanta falcons season,FootballLeagueSeason_left,title,1989 atlanta falcons season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1976 buffalo bills season,FootballLeagueSeason_left,title,1976 buffalo bills season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2012 indianapolis enforcers season,FootballLeagueSeason_left,title,2012 indianapolis enforcers season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1973 st. louis cardinals (nfl) season,FootballLeagueSeason_left,title,1973 st. louis cardinals (nfl) season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1961 dallas cowboys season,FootballLeagueSeason_left,title,1961 dallas cowboys season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2012 san antonio talons season,FootballLeagueSeason_left,title,2012 san antonio talons season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1961 cleveland browns season,FootballLeagueSeason_left,title,1961 cleveland browns season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1997 new england patriots season,FootballLeagueSeason_left,title,1997 new england patriots season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1949 philadelphia eagles season,FootballLeagueSeason_left,title,1949 philadelphia eagles season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1946 philadelphia eagles season,FootballLeagueSeason_left,title,1946 philadelphia eagles season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1993 buffalo bills season,FootballLeagueSeason_left,title,1993 buffalo bills season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1965 buffalo bills season,FootballLeagueSeason_left,title,1965 buffalo bills season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1930 portsmouth spartans season,FootballLeagueSeason_left,title,1930 portsmouth spartans season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1991 detroit lions season,FootballLeagueSeason_left,title,1991 detroit lions season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2002 houston texans season,FootballLeagueSeason_left,title,2002 houston texans season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,2012 sacramento mountain lions season,FootballLeagueSeason_left,title,2012 sacramento mountain lions season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1978 san francisco 49ers season,FootballLeagueSeason_left,title,1978 san francisco 49ers season,1.000000238418579
NationalFootballLeagueSeason_left.csv,title,1959 philadelphia eagles season,FootballLeagueSeason_left,title,1959 philadelphia eagles season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1930 newark tornadoes season,FootballLeagueSeason_left,title,1930 newark tornadoes season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1998 england monarchs season,FootballLeagueSeason_left,title,1998 england monarchs season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1965 st. louis cardinals (nfl) season,FootballLeagueSeason_left,title,1965 st. louis cardinals (nfl) season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1915 dayton gym-cadets season,FootballLeagueSeason_left,title,1915 dayton gym-cadets season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1974 new orleans saints season,FootballLeagueSeason_left,title,1974 new orleans saints season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1994 san francisco 49ers season,FootballLeagueSeason_left,title,1994 san francisco 49ers season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2013 erie explosion season,FootballLeagueSeason_left,title,2013 erie explosion season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1960 saskatchewan roughriders season,FootballLeagueSeason_left,title,1960 saskatchewan roughriders season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1965 los angeles rams season,FootballLeagueSeason_left,title,1965 los angeles rams season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2008 boston cannons season,FootballLeagueSeason_left,title,2008 boston cannons season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1916 buffalo all-stars season,FootballLeagueSeason_left,title,1916 buffalo all-stars season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1999 cincinnati bengals season,FootballLeagueSeason_left,title,1999 cincinnati bengals season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1961 st. louis cardinals (nfl) season,FootballLeagueSeason_left,title,1961 st. louis cardinals (nfl) season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1979 san diego chargers season,FootballLeagueSeason_left,title,1979 san diego chargers season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2000 indianapolis colts season,FootballLeagueSeason_left,title,2000 indianapolis colts season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1956 philadelphia eagles season,FootballLeagueSeason_left,title,1956 philadelphia eagles season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1984 toronto argonauts season,FootballLeagueSeason_left,title,1984 toronto argonauts season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1907 latrobe athletic association season,FootballLeagueSeason_left,title,1907 latrobe athletic association season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2006 new england patriots season,FootballLeagueSeason_left,title,2006 new england patriots season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1966 san diego chargers season,FootballLeagueSeason_left,title,1966 san diego chargers season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1993 new york jets season,FootballLeagueSeason_left,title,1993 new york jets season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2013 new york jets season,FootballLeagueSeason_left,title,2013 new york jets season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1970 chicago bears season,FootballLeagueSeason_left,title,1970 chicago bears season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1999 new york giants season,FootballLeagueSeason_left,title,1999 new york giants season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1970 cincinnati bengals season,FootballLeagueSeason_left,title,1970 cincinnati bengals season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1921 tonawanda kardex season,FootballLeagueSeason_left,title,1921 tonawanda kardex season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,1992 london monarchs season,FootballLeagueSeason_left,title,1992 london monarchs season,1.0000001192092896
NationalFootballLeagueSeason_left.csv,title,2001 toronto phantoms season,FootballLeagueSeason_left,title,2001 toronto phantoms season,1.0
NationalFootballLeagueSeason_left.csv,title,2013 kentucky xtreme season,FootballLeagueSeason_left,title,2013 kentucky xtreme season,1.0
NationalFootballLeagueSeason_left.csv,title,1949 hamilton wildcats season,FootballLeagueSeason_left,title,1949 hamilton wildcats season,1.0
NationalFootballLeagueSeason_left.csv,title,1991 new orleans saints season,FootballLeagueSeason_left,title,1991 new orleans saints season,1.0
NationalFootballLeagueSeason_left.csv,title,2005 dallas cowboys season,FootballLeagueSeason_left,title,2005 dallas cowboys season,1.0
NationalFootballLeagueSeason_left.csv,title,1993 sacramento gold miners season,FootballLeagueSeason_left,title,1993 sacramento gold miners season,1.0
NationalFootballLeagueSeason_left.csv,title,1949 new york bulldogs season,FootballLeagueSeason_left,title,1949 new york bulldogs season,1.0
NationalFootballLeagueSeason_left.csv,title,1928 ottawa senators season,FootballLeagueSeason_left,title,1928 ottawa senators season,1.0
NationalFootballLeagueSeason_left.csv,title,1949 washington redskins season,FootballLeagueSeason_left,title,1949 washington redskins season,1.0
NationalFootballLeagueSeason_left.csv,title,2002 washington redskins season,FootballLeagueSeason_left,title,2002 washington redskins season,1.0
NationalFootballLeagueSeason_left.csv,title,1926 duluth eskimos season,FootballLeagueSeason_left,title,1926 duluth eskimos season,1.0
NationalFootballLeagueSeason_left.csv,title,1997 london monarchs season,FootballLeagueSeason_left,title,1997 london monarchs season,1.0
NationalFootballLeagueSeason_left.csv,title,1981 chicago bears season,FootballLeagueSeason_left,title,1981 chicago bears season,1.0
NationalFootballLeagueSeason_left.csv,title,2013 toronto argonauts season,FootballLeagueSeason_left,title,2013 toronto argonauts season,1.0
NationalFootballLeagueSeason_left.csv,title,1946 chicago bears season,FootballLeagueSeason_left,title,1946 chicago bears season,1.0
NationalFootballLeagueSeason_left.csv,title,1936 toronto argonauts season,FootballLeagueSeason_left,title,1936 toronto argonauts season,1.0
NationalFootballLeagueSeason_left.csv,title,1999 buffalo bills season,FootballLeagueSeason_left,title,1999 buffalo bills season,1.0
NationalFootballLeagueSeason_left.csv,title,1991 minnesota vikings season,FootballLeagueSeason_left,title,1991 minnesota vikings season,1.0
NationalFootballLeagueSeason_left.csv,title,1969 buffalo bills season,FootballLeagueSeason_left,title,1969 buffalo bills season,1.0
NationalFootballLeagueSeason_left.csv,title,2004 cleveland browns season,FootballLeagueSeason_left,title,2004 cleveland browns season,1.0
NationalFootballLeagueSeason_left.csv,title,1941 chicago bears season,FootballLeagueSeason_left,title,1941 chicago bears season,1.0
NationalFootballLeagueSeason_left.csv,title,2012 san francisco 49ers season,FootballLeagueSeason_left,title,2012 san francisco 49ers season,1.0
NationalFootballLeagueSeason_left.csv,title,1974 dallas cowboys season,FootballLeagueSeason_left,title,1974 dallas cowboys season,1.0
NationalFootballLeagueSeason_left.csv,title,1969 denver broncos season,FootballLeagueSeason_left,title,1969 denver broncos season,1.0
NationalFootballLeagueSeason_left.csv,title,1935 winnipeg winnipegs season,FootballLeagueSeason_left,title,1935 winnipeg winnipegs season,1.0
NationalFootballLeagueSeason_left.csv,title,1939 cleveland rams season,FootballLeagueSeason_left,title,1939 cleveland rams season,1.0
NationalFootballLeagueSeason_left.csv,title,2010 alabama vipers season,FootballLeagueSeason_left,title,2010 alabama vipers season,1.0
NationalFootballLeagueSeason_left.csv,title,1997 baltimore ravens season,FootballLeagueSeason_left,title,1997 baltimore ravens season,1.0
NationalFootballLeagueSeason_left.csv,title,2011 huntington hammer season,FootballLeagueSeason_left,title,2011 huntington hammer season,1.0
NationalFootballLeagueSeason_left.csv,title,2013 kane county dawgs season,FootballLeagueSeason_left,title,2013 kane county dawgs season,1.0
NationalFootballLeagueSeason_left.csv,title,new york/new jersey knights,FootballLeagueSeason_left,title,new york/new jersey knights,1.0
NationalFootballLeagueSeason_left.csv,title,1927 cleveland bulldogs season,FootballLeagueSeason_left,title,1927 cleveland bulldogs season,1.0
NationalFootballLeagueSeason_left.csv,title,1957 baltimore colts season,FootballLeagueSeason_left,title,1957 baltimore colts season,1.0
