query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
NCAATeamSeason_left.csv,title,2012 mcneese state cowboys football team,NCAATeamSeason_left,title,2012 mcneese state cowboys football team,1.0000004768371582
NCAATeamSeason_left.csv,title,1974 michigan wolverines football team,NCAATeamSeason_left,title,1974 michigan wolverines football team,1.0000004768371582
NCAATeamSeason_left.csv,title,2012 morgan state bears football team,NCAATeamSeason_left,title,2012 morgan state bears football team,1.0000004768371582
NCAATeamSeason_left.csv,title,1932 minnesota golden gophers football team,NCAATeamSeason_left,title,1932 minnesota golden gophers football team,1.0000003576278687
NCAATeamSeason_left.csv,title,1965 texas longhorns football team,NCAATeamSeason_left,title,1965 texas longhorns football team,1.0000003576278687
NCAATeamSeason_left.csv,title,1999 texas tech red raiders football team,NCAATeamSeason_left,title,1999 texas tech red raiders football team,1.0000003576278687
NCAATeamSeason_left.csv,title,1995 michigan wolverines football team,NCAATeamSeason_left,title,1995 michigan wolverines football team,1.0000003576278687
NCAATeamSeason_left.csv,title,1922 tennessee volunteers football team,NCAATeamSeason_left,title,1922 tennessee volunteers football team,1.0000003576278687
NCAATeamSeason_left.csv,title,2003 temple owls football team,NCAATeamSeason_left,title,2003 temple owls football team,1.000000238418579
NCAATeamSeason_left.csv,title,1988 oklahoma sooners football team,NCAATeamSeason_left,title,1988 oklahoma sooners football team,1.000000238418579
NCAATeamSeason_left.csv,title,1961 florida state seminoles football team,NCAATeamSeason_left,title,1961 florida state seminoles football team,1.000000238418579
NCAATeamSeason_left.csv,title,2013 illinois fighting illini football team,NCAATeamSeason_left,title,2013 illinois fighting illini football team,1.000000238418579
NCAATeamSeason_left.csv,title,1966 florida gators football team,NCAATeamSeason_left,title,1966 florida gators football team,1.000000238418579
NCAATeamSeason_left.csv,title,1929 usc trojans football team,NCAATeamSeason_left,title,1929 usc trojans football team,1.000000238418579
NCAATeamSeason_left.csv,title,2013 hawaii warriors football team,NCAATeamSeason_left,title,2013 hawaii warriors football team,1.000000238418579
NCAATeamSeason_left.csv,title,2009 clemson tigers football team,NCAATeamSeason_left,title,2009 clemson tigers football team,1.000000238418579
NCAATeamSeason_left.csv,title,1942 wake forest demon deacons football team,NCAATeamSeason_left,title,1942 wake forest demon deacons football team,1.000000238418579
NCAATeamSeason_left.csv,title,2012 weber state wildcats football team,NCAATeamSeason_left,title,2012 weber state wildcats football team,1.000000238418579
NCAATeamSeason_left.csv,title,1981 tennessee volunteers football team,NCAATeamSeason_left,title,1981 tennessee volunteers football team,1.000000238418579
NCAATeamSeason_left.csv,title,1913 nebraska cornhuskers football team,NCAATeamSeason_left,title,1913 nebraska cornhuskers football team,1.000000238418579
NCAATeamSeason_left.csv,title,1955 wake forest demon deacons baseball team,NCAATeamSeason_left,title,1955 wake forest demon deacons baseball team,1.000000238418579
NCAATeamSeason_left.csv,title,1964 minnesota golden gophers baseball team,NCAATeamSeason_left,title,1964 minnesota golden gophers baseball team,1.000000238418579
NCAATeamSeason_left.csv,title,texas tech red raiders football under mike leach,NCAATeamSeason_left,title,texas tech red raiders football under mike leach,1.000000238418579
NCAATeamSeason_left.csv,title,1974 oregon webfoots football team,NCAATeamSeason_left,title,1974 oregon webfoots football team,1.000000238418579
NCAATeamSeason_left.csv,title,1969 kansas state wildcats football team,NCAATeamSeason_left,title,1969 kansas state wildcats football team,1.000000238418579
NCAATeamSeason_left.csv,title,1976 the citadel bulldogs football team,NCAATeamSeason_left,title,1976 the citadel bulldogs football team,1.000000238418579
NCAATeamSeason_left.csv,title,2014 nebraska cornhuskers football team,NCAATeamSeason_left,title,2014 nebraska cornhuskers football team,1.000000238418579
NCAATeamSeason_left.csv,title,1999 west virginia mountaineers football team,NCAATeamSeason_left,title,1999 west virginia mountaineers football team,1.000000238418579
NCAATeamSeason_left.csv,title,2006 north alabama lions football team,NCAATeamSeason_left,title,2006 north alabama lions football team,1.000000238418579
NCAATeamSeason_left.csv,title,georgia bulldogs football under vince dooley,NCAATeamSeason_left,title,georgia bulldogs football under vince dooley,1.000000238418579
NCAATeamSeason_left.csv,title,1998 clemson tigers football team,NCAATeamSeason_left,title,1998 clemson tigers football team,1.000000238418579
NCAATeamSeason_left.csv,title,2006 texas longhorns football team,NCAATeamSeason_left,title,2006 texas longhorns football team,1.000000238418579
NCAATeamSeason_left.csv,title,1953 michigan wolverines baseball team,NCAATeamSeason_left,title,1953 michigan wolverines baseball team,1.000000238418579
NCAATeamSeason_left.csv,title,2012 air force falcons football team,NCAATeamSeason_left,title,2012 air force falcons football team,1.000000238418579
NCAATeamSeason_left.csv,title,1988 stanford cardinal football team,NCAATeamSeason_left,title,1988 stanford cardinal football team,1.000000238418579
NCAATeamSeason_left.csv,title,2012 california vulcans football team,NCAATeamSeason_left,title,2012 california vulcans football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2013 texas a&m aggies football team,NCAATeamSeason_left,title,2013 texas a&m aggies football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1964 state college of iowa panthers football team,NCAATeamSeason_left,title,1964 state college of iowa panthers football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1999 nc state wolfpack football team,NCAATeamSeason_left,title,1999 nc state wolfpack football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2006 army black knights football team,NCAATeamSeason_left,title,2006 army black knights football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1981 clemson tigers football team,NCAATeamSeason_left,title,1981 clemson tigers football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2012 buffalo state bengals football team,NCAATeamSeason_left,title,2012 buffalo state bengals football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2009 villanova wildcats football team,NCAATeamSeason_left,title,2009 villanova wildcats football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1952 texas longhorns football team,NCAATeamSeason_left,title,1952 texas longhorns football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2012 oklahoma sooners football team,NCAATeamSeason_left,title,2012 oklahoma sooners football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1983 nebraska cornhuskers football team,NCAATeamSeason_left,title,1983 nebraska cornhuskers football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1946 illinois fighting illini football team,NCAATeamSeason_left,title,1946 illinois fighting illini football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1984 oregon ducks football team,NCAATeamSeason_left,title,1984 oregon ducks football team,1.0000001192092896
NCAATeamSeason_left.csv,title,smu mustangs football under j. burton rix,NCAATeamSeason_left,title,smu mustangs football under j. burton rix,1.0000001192092896
NCAATeamSeason_left.csv,title,1991 ucf knights football team,NCAATeamSeason_left,title,1991 ucf knights football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2001 utep miners football team,NCAATeamSeason_left,title,2001 utep miners football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1951 princeton tigers football team,NCAATeamSeason_left,title,1951 princeton tigers football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2013 clemson tigers baseball team,NCAATeamSeason_left,title,2013 clemson tigers baseball team,1.0000001192092896
NCAATeamSeason_left.csv,title,1967 alabama crimson tide football team,NCAATeamSeason_left,title,1967 alabama crimson tide football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1930 michigan wolverines football team,NCAATeamSeason_left,title,1930 michigan wolverines football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1965 missouri tigers football team,NCAATeamSeason_left,title,1965 missouri tigers football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1976 houston cougars football team,NCAATeamSeason_left,title,1976 houston cougars football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1992 utah utes football team,NCAATeamSeason_left,title,1992 utah utes football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2003 penn state nittany lions football team,NCAATeamSeason_left,title,2003 penn state nittany lions football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2011 alcorn state braves football team,NCAATeamSeason_left,title,2011 alcorn state braves football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2013 kansas jayhawks football team,NCAATeamSeason_left,title,2013 kansas jayhawks football team,1.0000001192092896
NCAATeamSeason_left.csv,title,2012 south dakota state jackrabbits football team,NCAATeamSeason_left,title,2012 south dakota state jackrabbits football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1924 the citadel bulldogs football team,NCAATeamSeason_left,title,1924 the citadel bulldogs football team,1.0000001192092896
NCAATeamSeason_left.csv,title,1975 texas longhorns baseball team,NCAATeamSeason_left,title,1975 texas longhorns baseball team,1.0
NCAATeamSeason_left.csv,title,1923 washington huskies football team,NCAATeamSeason_left,title,1923 washington huskies football team,1.0
NCAATeamSeason_left.csv,title,2003 duke blue devils football team,NCAATeamSeason_left,title,2003 duke blue devils football team,1.0
NCAATeamSeason_left.csv,title,1995 ohio state buckeyes football team,NCAATeamSeason_left,title,1995 ohio state buckeyes football team,1.0
NCAATeamSeason_left.csv,title,2011 campbell fighting camels football team,NCAATeamSeason_left,title,2011 campbell fighting camels football team,1.0
NCAATeamSeason_left.csv,title,1999 california golden bears football team,NCAATeamSeason_left,title,1999 california golden bears football team,1.0
NCAATeamSeason_left.csv,title,1913 clemson tigers football team,NCAATeamSeason_left,title,1913 clemson tigers football team,1.0
NCAATeamSeason_left.csv,title,1990 georgia tech yellow jackets football team,NCAATeamSeason_left,title,1990 georgia tech yellow jackets football team,1.0
NCAATeamSeason_left.csv,title,1920 notre dame fighting irish football team,NCAATeamSeason_left,title,1920 notre dame fighting irish football team,1.0
NCAATeamSeason_left.csv,title,1999 arizona state sun devils football team,NCAATeamSeason_left,title,1999 arizona state sun devils football team,1.0
NCAATeamSeason_left.csv,title,1988 ohio state buckeyes football team,NCAATeamSeason_left,title,1988 ohio state buckeyes football team,1.0
NCAATeamSeason_left.csv,title,1932 colgate red raiders football team,NCAATeamSeason_left,title,1932 colgate red raiders football team,1.0
NCAATeamSeason_left.csv,title,1963 usc trojans football team,NCAATeamSeason_left,title,1963 usc trojans football team,1.0
NCAATeamSeason_left.csv,title,2004 louisville cardinals football team,NCAATeamSeason_left,title,2004 louisville cardinals football team,1.0
NCAATeamSeason_left.csv,title,1922 utah utes football team,NCAATeamSeason_left,title,1922 utah utes football team,1.0
NCAATeamSeason_left.csv,title,1885 cincinnati bearcats football team,NCAATeamSeason_left,title,1885 cincinnati bearcats football team,1.0
NCAATeamSeason_left.csv,title,1928 tulane green wave football team,NCAATeamSeason_left,title,1928 tulane green wave football team,1.0
NCAATeamSeason_left.csv,title,2008 malone pioneers football team,NCAATeamSeason_left,title,2008 malone pioneers football team,1.0
NCAATeamSeason_left.csv,title,1981 usc trojans football team,NCAATeamSeason_left,title,1981 usc trojans football team,1.0
NCAATeamSeason_left.csv,title,1948 ohio state buckeyes football team,NCAATeamSeason_left,title,1948 ohio state buckeyes football team,1.0
NCAATeamSeason_left.csv,title,1941 ohio state buckeyes football team,NCAATeamSeason_left,title,1941 ohio state buckeyes football team,1.0
NCAATeamSeason_left.csv,title,1996 iowa hawkeyes football team,NCAATeamSeason_left,title,1996 iowa hawkeyes football team,1.0
NCAATeamSeason_left.csv,title,stony brook seawolves football under sam kornhauser,NCAATeamSeason_left,title,stony brook seawolves football under sam kornhauser,1.0
NCAATeamSeason_left.csv,title,1891 stanford football team,NCAATeamSeason_left,title,1891 stanford football team,1.0
NCAATeamSeason_left.csv,title,1904 clemson tigers football team,NCAATeamSeason_left,title,1904 clemson tigers football team,1.0
NCAATeamSeason_left.csv,title,1978 usc trojans baseball team,NCAATeamSeason_left,title,1978 usc trojans baseball team,1.0
NCAATeamSeason_left.csv,title,1984 california golden bears football team,NCAATeamSeason_left,title,1984 california golden bears football team,1.0
NCAATeamSeason_left.csv,title,1922 west virginia mountaineers football team,NCAATeamSeason_left,title,1922 west virginia mountaineers football team,1.0
NCAATeamSeason_left.csv,title,1967 montana grizzlies football team,NCAATeamSeason_left,title,1967 montana grizzlies football team,1.0
NCAATeamSeason_left.csv,title,1927 nebraska cornhuskers football team,NCAATeamSeason_left,title,1927 nebraska cornhuskers football team,1.0
NCAATeamSeason_left.csv,title,2003 oklahoma sooners football team,NCAATeamSeason_left,title,2003 oklahoma sooners football team,1.0
NCAATeamSeason_left.csv,title,1999 iowa state cyclones football team,NCAATeamSeason_left,title,1999 iowa state cyclones football team,1.0
NCAATeamSeason_left.csv,title,1950 oklahoma sooners football team,NCAATeamSeason_left,title,1950 oklahoma sooners football team,1.0
NCAATeamSeason_left.csv,title,2012 bowling green falcons football team,NCAATeamSeason_left,title,2012 bowling green falcons football team,1.0
NCAATeamSeason_left.csv,title,2013 the citadel bulldogs football team,NCAATeamSeason_left,title,2013 the citadel bulldogs football team,1.0
NCAATeamSeason_left.csv,title,1944 washington huskies football team,NCAATeamSeason_left,title,1944 washington huskies football team,1.0
NCAATeamSeason_left.csv,title,1894 nebraska bugeaters football team,NCAATeamSeason_left,title,1894 nebraska bugeaters football team,1.0
NCAATeamSeason_left.csv,title,utah utes football under mike giddings,NCAATeamSeason_left,title,utah utes football under mike giddings,1.0
NCAATeamSeason_left.csv,title,2012 stephen f. austin lumberjacks football team,NCAATeamSeason_left,title,2012 stephen f. austin lumberjacks football team,1.0
NCAATeamSeason_left.csv,title,2004 wake forest demon deacons football team,NCAATeamSeason_left,title,2004 wake forest demon deacons football team,1.0
NCAATeamSeason_left.csv,title,1976 notre dame fighting irish football team,NCAATeamSeason_left,title,1976 notre dame fighting irish football team,1.0
NCAATeamSeason_left.csv,title,2012 marist red foxes football team,NCAATeamSeason_left,title,2012 marist red foxes football team,1.0
NCAATeamSeason_left.csv,title,1963 penn state nittany lions football team,NCAATeamSeason_left,title,1963 penn state nittany lions football team,1.0
NCAATeamSeason_left.csv,title,1956 oregon state beavers football team,NCAATeamSeason_left,title,1956 oregon state beavers football team,1.0
NCAATeamSeason_left.csv,title,1979 miami hurricanes football team,NCAATeamSeason_left,title,1979 miami hurricanes football team,1.0
NCAATeamSeason_left.csv,title,1938 ohio state buckeyes football team,NCAATeamSeason_left,title,1938 ohio state buckeyes football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1987 eastern michigan hurons football team,NCAATeamSeason_left,title,1987 eastern michigan hurons football team,0.9999999403953552
NCAATeamSeason_left.csv,title,2011 north carolina central eagles football team,NCAATeamSeason_left,title,2011 north carolina central eagles football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1935 tennessee volunteers football team,NCAATeamSeason_left,title,1935 tennessee volunteers football team,0.9999999403953552
NCAATeamSeason_left.csv,title,2012 oregon state beavers football team,NCAATeamSeason_left,title,2012 oregon state beavers football team,0.9999999403953552
NCAATeamSeason_left.csv,title,2013 north carolina tar heels football team,NCAATeamSeason_left,title,2013 north carolina tar heels football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1953 minnesota golden gophers football team,NCAATeamSeason_left,title,1953 minnesota golden gophers football team,0.9999999403953552
NCAATeamSeason_left.csv,title,2000 ucla bruins baseball team,NCAATeamSeason_left,title,2000 ucla bruins baseball team,0.9999999403953552
NCAATeamSeason_left.csv,title,1955 washington huskies football team,NCAATeamSeason_left,title,1955 washington huskies football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1992 pepperdine waves baseball team,NCAATeamSeason_left,title,1992 pepperdine waves baseball team,0.9999999403953552
NCAATeamSeason_left.csv,title,1969 tennessee volunteers football team,NCAATeamSeason_left,title,1969 tennessee volunteers football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1979 ohio state buckeyes football team,NCAATeamSeason_left,title,1979 ohio state buckeyes football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1997 ohio state buckeyes football team,NCAATeamSeason_left,title,1997 ohio state buckeyes football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1998 georgia bulldogs football team,NCAATeamSeason_left,title,1998 georgia bulldogs football team,0.9999999403953552
NCAATeamSeason_left.csv,title,1992 washington state cougars football team,NCAATeamSeason_left,title,1992 washington state cougars football team,0.9999998807907104
NCAATeamSeason_left.csv,title,1963 usc trojans baseball team,NCAATeamSeason_left,title,1963 usc trojans baseball team,0.9999998807907104
NCAATeamSeason_left.csv,title,1998 tennessee volunteers football team,NCAATeamSeason_left,title,1998 tennessee volunteers football team,0.9999998807907104
NCAATeamSeason_left.csv,title,2006 alabama crimson tide football team,NCAATeamSeason_left,title,2006 alabama crimson tide football team,0.9999998807907104
NCAATeamSeason_left.csv,title,1935 nebraska cornhuskers football team,NCAATeamSeason_left,title,1935 nebraska cornhuskers football team,0.9999998807907104
NCAATeamSeason_left.csv,title,2013 alabama crimson tide baseball team,NCAATeamSeason_left,title,2013 alabama crimson tide baseball team,0.9999998807907104
