candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
Venue_right,title,0.7726767659187317,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Epstein Theatre, Orchestra Hall (Detroit), Barclaycard Arena, La Monnaie/De Munt, Orchestra Hall (Minneapolis, Minnesota)","rustaveli cinema↔rustaveli cinema(1.00) | vizelj park↔vizelj park(1.00) | a.o. shirley recreation ground↔a. o. shirley recreation ground(1.00) | the palladium at the center for performing arts↔the palladium at the center for the performing arts(1.00) | gaiety theatre (new york)↔gaiety theatre (new york city)(0.99) | lope de vega theatre (seville)↔lope de vega theater, seville(0.99) | globe theatre (stockton-on-tees)↔globe theatre, stockton-on-tees(0.99) | shepherds bush empire↔shepherd's bush empire(0.99) | the mill theatre dundrum↔mill theatre dundrum(0.99) | kazhimukan munaitpasov stadium (astana)↔kazhymukan munaitpasov stadium (astana)(0.99)",200
Venue_left,title,0.7150164246559143,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","ogueta fronton↔ogueta fronton(1.00) | the water rats↔the water rats(1.00) | palaiper↔palaiper(1.00) | artsdepot↔artsdepot(1.00) | king edward hotel (calgary)↔king edward hotel (calgary)(1.00) | fluor field at the west end↔fluor field at the west end(1.00) | the kentucky center↔the kentucky center(1.00) | plato's retreat↔plato's retreat(1.00) | black cat (washington, d.c. nightclub)↔black cat (washington, d.c. nightclub)(1.00) | mile one centre↔mile one centre(1.00)",200
Stadium_right,title,0.6970521211624146,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Centre Bell, Talking Stick Resort Arena, Moda Center, Astrodome, NRG Stadium",changwon civic stadium↔suwon civic stadium(0.94) | changchun gymnasium↔dongchun gymnasium(0.93) | yizhong sports center↔jiangwan sports center(0.92) | stadion am alsenweg↔stadion am laubenweg(0.92) | zakhidnyi stadium↔zayarthiri stadium(0.92) | mohammed al-hamad stadium↔saoud bin abdulrahman stadium(0.91) | stadio san filippo↔stadio della roma(0.90) | memorial stadium (university of kansas)↔municipal stadium (kansas city)(0.89) | estadio sergio antonio reyes↔estadio luis \(0.89) | hristo botev stadium (blagoevgrad)↔stroitel stadium (soligorsk)(0.89),200
SportFacility_right,title,0.684658408164978,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Centre Bell, Talking Stick Resort Arena, Moda Center, Astrodome, NRG Stadium",changwon civic stadium↔suwon civic stadium(0.94) | changchun gymnasium↔dongchun gymnasium(0.93) | yizhong sports center↔jiangwan sports center(0.92) | stadion am alsenweg↔stadion am laubenweg(0.92) | zakhidnyi stadium↔zayarthiri stadium(0.92) | mohammed al-hamad stadium↔saoud bin abdulrahman stadium(0.91) | stadio san filippo↔stadio della roma(0.90) | memorial stadium (university of kansas)↔municipal stadium (kansas city)(0.89) | estadio sergio antonio reyes↔estadio luis \(0.89) | hristo botev stadium (blagoevgrad)↔stroitel stadium (soligorsk)(0.89),200
ShoppingMall_left,title,0.6168282628059387,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","The Galleria (Houston), Shops at Prudential Center, The Fashion Centre at Pentagon City, Westfield Sydney Central Plaza, Mantri Square","folketeatret, copenhagen↔spinderiet (copenhagen)(0.81) | the broadway (theatre)↔broadway mall(0.78) | town hall arts center↔st. charles towne center(0.78) | st. lawrence centre for the arts↔st. laurent centre(0.78) | the palladium at the center for performing arts↔palladium square(0.77) | newport centre↔rhodes shopping centre(0.74) | shepherds bush empire↔west 12 shepherds bush(0.74) | civic center of greater des moines↔crossroads center (waterloo, ia)(0.73) | mountain lakes amphitheater↔maple hill pavilion(0.73) | paradise center for the arts↔paradise park (mall)(0.73)",200
Stadium_left,title,0.606749951839447,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Craven Cottage, Cardiff Arms Park, Melbourne Cricket Ground, Shea Stadium, Yankee Stadium (1923)","estadio nacional de hockey↔estadio panamericano de hockey(0.94) | celtic park (belfast)↔celtic park (derry)(0.92) | state theatre (melbourne)↔palace theatre, melbourne(0.89) | alumni hall (fairfield university)↔alumni hall (providence)(0.88) | ector county coliseum↔el paso county coliseum(0.87) | moody coliseum (abilene christian university)↔moody coliseum(0.87) | estadio sergio antonio reyes↔estadio carlos belmonte(0.87) | torino palavela↔torino palasport olimpico(0.87) | manor ground, plumstead↔manor ground, oxford(0.87) | stadionul cfr (craiova)↔stadionul tineretului (urziceni)(0.86)",200
ShoppingMall_right,title,0.6058801412582397,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","The Galleria, The Shops at Prudential Center, Fashion Centre at Pentagon City, Sydney Central Plaza, Mahatma Jyotiba Phule Mandai","bradford playhouse↔the broadway, bradford(0.83) | st. lawrence centre for the arts↔strathpine centre(0.78) | tulsa performing arts center↔tulsa promenade(0.75) | irving plaza↔plaza central (texas)(0.75) | civic center of greater des moines↔crossroads center (waterloo, iowa)(0.75) | perth entertainment centre↔galleria shopping centre (perth)(0.75) | sampas pavilion↔the pavilions(0.75) | shepherds bush empire↔west 12 shepherd's bush(0.75) | crown center↔victoria centre(0.74) | paradise center for the arts↔paradise park (mall)(0.73)",200
SportFacility_left,title,0.5861666202545166,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","Craven Cottage, Cardiff Arms Park, Melbourne Cricket Ground, Shea Stadium, Yankee Stadium (1923)","state theatre (melbourne)↔palace theatre, melbourne(0.89) | alumni hall (fairfield university)↔alumni hall (providence)(0.88) | celtic park (belfast)↔celtic park (castlebar)(0.88) | torino palavela↔torino palasport olimpico(0.87) | rizal memorial sports complex↔rizal memorial coliseum(0.87) | stadionul iuliu bodola↔stadionul viorel mateianu(0.86) | polonia bydgoszcz stadium↔national stadium, warsaw(0.86) | yale field↔yale field (1884)(0.86) | prospera centre↔prospera place(0.86) | veterans memorial auditorium (providence)↔rhode island auditorium(0.85)",200
BasketballTeam_right,title,0.5848140716552734,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United",pelican stadium↔new orleans pelicans(0.77) | lahden kisapuisto↔muba hangtuah sumatera selatan(0.77) | maccabiah stadium↔maccabi ra'anana(0.76) | ciudad deportiva de abegondo↔cb ciudad de algeciras(0.75) | muziekcentrum vredenburg↔mhp riesen ludwigsburg(0.74) | krohnsminde↔kk krka(0.73) | stadionul iuliu bodola↔bc partizani tirana(0.73) | stadio antonio bianco↔pallacanestro don bosco livorno(0.72) | silver spurs arena↔austin spurs(0.72) | fajhan hilal al-mutairi court↔al riyadi amman(0.72),166
TennisTournament_right,title,0.5818190574645996,"Fenway Park, La Scala, Moulin Rouge, Savoy Theatre, Abbey Road Studios","2000 Tennis Masters Cup and ATP Tour World Championships, 2008 Challenge Bell, 2010 Aegon Championships, 2009 Challenge Bell, 1996 Challenge Bell","parc des sports (avignon)↔2011 challenger banque nationale de saguenay(0.74) | abu dhabi international tennis complex↔2012 blu-express.com tennis cup(0.68) | torino palavela↔2012 challenger banque nationale de rimouski(0.66) | stade victor boucquey↔2012 challenger banque nationale de saguenay(0.65) | max bell centre↔2010 challenge bell(0.65) | changwon civic stadium↔2012 korea open(0.64) | oakbank racecourse↔2012 aegon pro-series loughborough(0.64) | alfred-kunze-sportpark↔2013 challenger banque nationale de rimouski(0.62) | stade omnisport marien ngouabi d'owando↔2010 challenger banque nationale de rimouski(0.61) | royal tennis court, hampton court↔2010 blu-express.com tennis cup(0.61)",27
