query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Legislature_left.csv,title,council of the republic of belarus,Country_right,title,belarusian central council,0.9318958520889282
Legislature_left.csv,title,assembly of kosovo,Country_right,title,kosovo (region),0.8336641192436218
Legislature_left.csv,title,national assembly (nigeria),Country_right,title,federation of nigeria,0.8130626678466797
Legislature_left.csv,title,prussian state council,Country_right,title,bavarian council republic,0.8061401844024658
Legislature_left.csv,title,parliament of poland,Country_right,title,polish people's republic,0.7946465611457825
Legislature_left.csv,title,national assembly (armenia),Country_right,title,first republic of armenia,0.7863163948059082
Legislature_left.csv,title,parliament of croatia,Country_right,title,duchy of croatia,0.7800767421722412
Legislature_left.csv,title,senate (belgium),Country_right,title,general government of belgium,0.7700326442718506
Legislature_left.csv,title,grand national assembly of turkey,Country_right,title,turkish provisional government,0.7644342184066772
Legislature_left.csv,title,national assembly (hungary),Country_right,title,hungarian people's republic,0.7628377079963684
Legislature_left.csv,title,kurgan oblast duma,Country_right,title,kurdistansky uyezd,0.7571231126785278
Legislature_left.csv,title,parliament of romania,Country_right,title,communist romania,0.750393271446228
Legislature_left.csv,title,house of representatives (zanzibar),Country_right,title,people's republic of zanzibar,0.7483000755310059
Legislature_left.csv,title,southern rhodesian legislative assembly,Country_right,title,zimbabwe rhodesia,0.7471755743026733
Legislature_left.csv,title,austrian parliament,Country_right,title,first austrian republic,0.744034469127655
Legislature_left.csv,title,council for wales and monmouthshire,Country_right,title,lordship of glamorgan,0.73760986328125
Legislature_left.csv,title,parliament of morocco,Country_right,title,french protectorate of morocco,0.7361619472503662
Legislature_left.csv,title,soviet of the republic (supreme soviet of russia),Country_right,title,provisional government of autonomous siberia,0.7348994016647339
Legislature_left.csv,title,national assembly (republic of china),Country_right,title,reorganized national government of the republic of china,0.7329872846603394
Legislature_left.csv,title,ternopil oblast council,Country_right,title,principality of turov,0.7327497601509094
Legislature_left.csv,title,state great khural,Country_right,title,hadiya sultanate,0.7300766706466675
Legislature_left.csv,title,parliamentary assembly of bosnia and herzegovina,Country_right,title,condominium of bosnia and herzegovina,0.7291923761367798
Legislature_left.csv,title,parliament of malta,Country_right,title,crown colony of malta,0.7244696617126465
Legislature_left.csv,title,landtag of brandenburg,Country_right,title,anhalt,0.7243127822875977
Legislature_left.csv,title,dewan negara,Country_right,title,namayan,0.7133845686912537
Legislature_left.csv,title,parliament of albania,Country_right,title,principality of albania (medieval),0.7119778394699097
Legislature_left.csv,title,katipunan ng kabataan,Country_right,title,kartl-kakheti,0.7059396505355835
Legislature_left.csv,title,parliament of cambodia,Country_right,title,french protectorate of cambodia,0.7001687288284302
Legislature_left.csv,title,dewan rakyat,Country_right,title,dzungar khanate,0.7000871896743774
Legislature_left.csv,title,national assembly (kenya),Country_right,title,british kenya,0.6977064609527588
Legislature_left.csv,title,state duma,Country_right,title,pudukkottai state,0.6976312398910522
Legislature_left.csv,title,national assembly (laos),Country_right,title,french protectorate of laos,0.6928473711013794
Legislature_left.csv,title,ukrainian constituent assembly,Country_right,title,post-soviet transition in ukraine,0.6916505694389343
Legislature_left.csv,title,council of oman,Country_right,title,sultanate of ifat,0.6899905204772949
Legislature_left.csv,title,batasang bayan,Country_right,title,shirvan baylarbaylik,0.6882236003875732
Legislature_left.csv,title,states-general of the netherlands,Country_right,title,united belgian states,0.6871752738952637
Legislature_left.csv,title,state council of ceylon,Country_right,title,dutch ceylon,0.6867930889129639
Legislature_left.csv,title,flemish parliament,Country_right,title,county of brabant,0.6864482164382935
Legislature_left.csv,title,parliament of transnistria,Country_right,title,transnistria autonomous territorial unit with special legal status,0.6854109764099121
Legislature_left.csv,title,federal parliament of somalia,Country_right,title,trust territory of somaliland,0.6848757266998291
Legislature_left.csv,title,oireachtas,Country_right,title,odanad,0.6815743446350098
Legislature_left.csv,title,labuan corporation,Country_right,title,crown colony of labuan,0.6805244088172913
Legislature_left.csv,title,parliament of saint lucia,Country_right,title,dominion of mauritius,0.67707359790802
Legislature_left.csv,title,chamber of deputies (luxembourg),Country_right,title,"county, duchy and grand duchy of luxembourg",0.6749109029769897
Legislature_left.csv,title,landtag of bavaria,Country_right,title,lordship of winneburg and beilstein,0.6746856570243835
Legislature_left.csv,title,parliament of tuvalu,Country_right,title,colony of fiji,0.6654905676841736
Legislature_left.csv,title,national assembly (sudan),Country_right,title,mahdist sudan,0.6640238761901855
Legislature_left.csv,title,estates of aruba,Country_right,title,ettaiyapuram estate,0.6633057594299316
Legislature_left.csv,title,sahrawi national council,Country_right,title,saar protectorate,0.6632816791534424
Legislature_left.csv,title,house of representatives (burma),Country_right,title,myanmar,0.6630762815475464
Legislature_left.csv,title,cortes generales,Country_right,title,spain under joseph bonaparte,0.6596578359603882
Legislature_left.csv,title,parliament of navarre,Country_right,title,duchy of lorraine,0.656013011932373
Legislature_left.csv,title,tripura tribal areas autonomous district council,Country_right,title,nakhchivan autonomous republic,0.6559514999389648
Legislature_left.csv,title,west bengal legislative assembly,Country_right,title,bengal sultanate,0.654507040977478
Legislature_left.csv,title,national council (austria),Country_right,title,margraviate of austria,0.6522637605667114
Legislature_left.csv,title,north ayrshire,Country_right,title,kingdom of northumbria,0.6514926552772522
Legislature_left.csv,title,french directory,Country_right,title,isle de france,0.6484646797180176
Legislature_left.csv,title,regional council (hong kong),Country_right,title,special administrative regions of china,0.6481138467788696
Legislature_left.csv,title,crown council of ethiopia,Country_right,title,zanzibar sultanate,0.6461752653121948
Legislature_left.csv,title,parliament of kazakhstan,Country_right,title,gazikumukh khanate,0.6432509422302246
Legislature_left.csv,title,central council of ukraine,Country_right,title,eurasian economic union,0.6418593525886536
Legislature_left.csv,title,cape town city council,Country_right,title,cape colony,0.6418185830116272
Legislature_left.csv,title,parliament of bhutan,Country_right,title,provisional government of bangladesh,0.6403549909591675
Legislature_left.csv,title,verkhovna rada of crimea,Country_right,title,karabakh beylerbeylik,0.6392725110054016
Legislature_left.csv,title,states of jersey,Country_right,title,nassau (state),0.6380640864372253
