query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RugbyLeague_left.csv,title,welsh league,SoccerLeague_left,title,welsh premier league,0.9646207094192505
RugbyLeague_left.csv,title,national division 1,SoccerLeague_left,title,national first division,0.9604729413986206
RugbyLeague_left.csv,title,scottish reserve league,SoccerLeague_left,title,scottish premier reserve league,0.9587324857711792
RugbyLeague_left.csv,title,scottish premiership division three,SoccerLeague_left,title,scottish football league third division,0.9551529884338379
RugbyLeague_left.csv,title,cornwall league 1,SoccerLeague_left,title,east cornwall league,0.936640739440918
RugbyLeague_left.csv,title,brisbane rugby league premiership,SoccerLeague_left,title,brisbane premier league,0.9290043115615845
RugbyLeague_left.csv,title,rugby league premiership,SoccerLeague_left,title,english premiership (rugby union),0.9213719367980957
RugbyLeague_left.csv,title,super league (australia),SoccerLeague_left,title,nsw super league,0.9192414283752441
RugbyLeague_left.csv,title,south premier (rugby league),SoccerLeague_left,title,south west rugby league,0.9167632460594177
RugbyLeague_left.csv,title,scottish championship leagues,SoccerLeague_left,title,scottish conference league,0.9161397218704224
RugbyLeague_left.csv,title,canberra rugby league,SoccerLeague_left,title,afl canberra,0.9074805378913879
RugbyLeague_left.csv,title,north west merit league,SoccerLeague_left,title,east merit league,0.9029992818832397
RugbyLeague_left.csv,title,county championship (rugby union),SoccerLeague_left,title,championship (rugby league),0.9014127254486084
RugbyLeague_left.csv,title,national league 3 midlands,SoccerLeague_left,title,west midlands (regional) league,0.9006003141403198
RugbyLeague_left.csv,title,melbourne rugby league,SoccerLeague_left,title,afl queensland,0.8940209746360779
RugbyLeague_left.csv,title,fiji national rugby league competition,SoccerLeague_left,title,national football league (fiji),0.8914119005203247
RugbyLeague_left.csv,title,hull & district league,SoccerLeague_left,title,cirencester and district league,0.8795915842056274
RugbyLeague_left.csv,title,scottish national league division one,SoccerLeague_left,title,central scottish amateur football league,0.8795843124389648
RugbyLeague_left.csv,title,catalan rugby league championship,SoccerLeague_left,title,catalan football championship,0.8784853219985962
RugbyLeague_left.csv,title,british and irish cup,SoccerLeague_left,title,irish intermediate cup,0.8782063722610474
RugbyLeague_left.csv,title,new south wales cup,SoccerLeague_left,title,australian football international cup,0.8764535784721375
RugbyLeague_left.csv,title,belgian elite league,SoccerLeague_left,title,belgian third division,0.8764316439628601
RugbyLeague_left.csv,title,queensland rugby league central division,SoccerLeague_left,title,rugby football league championship third division,0.874596118927002
RugbyLeague_left.csv,title,london and south east merit league,SoccerLeague_left,title,greater london league,0.8732876777648926
RugbyLeague_left.csv,title,devon league 1,SoccerLeague_left,title,north devon football league,0.8729047775268555
RugbyLeague_left.csv,title,the rugby championship,SoccerLeague_left,title,rugby league championships,0.8698346614837646
RugbyLeague_left.csv,title,gold coast rugby league,SoccerLeague_left,title,goldfields football league,0.8688455820083618
RugbyLeague_left.csv,title,welsh conference junior league,SoccerLeague_left,title,south wales senior league,0.8676471710205078
RugbyLeague_left.csv,title,campeonato argentino,SoccerLeague_left,title,campeonato uruguayo femenino,0.8676191568374634
