query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,cryptenamine,Amphibian_left,title,cryptotriton,0.8155077695846558
Drug_left.csv,title,valganciclovir,Amphibian_left,title,valdotriton,0.8014404773712158
Drug_left.csv,title,ocinaplon,Amphibian_left,title,odonterpeton,0.7949817180633545
Drug_left.csv,title,econazole,Amphibian_left,title,ecolsonia,0.7941423058509827
Drug_left.csv,title,kelatorphan,Amphibian_left,title,keraterpeton,0.7909420728683472
Drug_left.csv,title,oxiracetam,Amphibian_left,title,oxydactyla,0.789954423904419
Drug_left.csv,title,linezolid,Amphibian_left,title,lineatriton,0.7875856161117554
Drug_left.csv,title,entacapone,Amphibian_left,title,ensatina,0.7873364686965942
Drug_left.csv,title,melperone,Amphibian_left,title,melanerpeton,0.7851739525794983
Drug_left.csv,title,spiraprilat,Amphibian_left,title,spicospina,0.784005880355835
Drug_left.csv,title,gevokizumab,Amphibian_left,title,konzhukovia,0.7807053327560425
Drug_left.csv,title,diproteverine,Amphibian_left,title,diplovertebron,0.7767072916030884
Drug_left.csv,title,olmesartan,Amphibian_left,title,ommatotriton,0.7749416828155518
Drug_left.csv,title,crenezumab,Amphibian_left,title,cratia,0.7741726040840149
Drug_left.csv,title,adecatumumab,Amphibian_left,title,adelogyrinus,0.7626922130584717
Drug_left.csv,title,fedrilate,Amphibian_left,title,fedexia,0.7626144886016846
Drug_left.csv,title,doripenem,Amphibian_left,title,doleserpeton,0.7617567777633667
Drug_left.csv,title,nelarabine,Amphibian_left,title,neurergus,0.761562168598175
Drug_left.csv,title,mesterolone,Amphibian_left,title,mesophryne,0.7607743740081787
Drug_left.csv,title,homatropine,Amphibian_left,title,horezmia,0.7572813034057617
Drug_left.csv,title,bufexamac,Amphibian_left,title,bukobaja,0.7522455453872681
Drug_left.csv,title,vanoxerine,Amphibian_left,title,vanastega,0.7462865114212036
Drug_left.csv,title,trenbolone,Amphibian_left,title,trematotegmen,0.745093822479248
Drug_left.csv,title,temsirolimus,Amphibian_left,title,tepuihyla rimarum,0.7410126328468323
Drug_left.csv,title,tylosin,Amphibian_left,title,typhlonectes,0.7398117780685425
Drug_left.csv,title,androstadienone,Amphibian_left,title,andinobates,0.7375221252441406
Drug_left.csv,title,litracen,Amphibian_left,title,lithobates,0.7368923425674438
Drug_left.csv,title,acarbose,Amphibian_left,title,asaphestera,0.7367249727249146
Drug_left.csv,title,edaravone,Amphibian_left,title,estesina,0.7353135347366333
Drug_left.csv,title,ibipinabant,Amphibian_left,title,iberospondylus,0.7331123352050781
Drug_left.csv,title,clobenzepam,Amphibian_left,title,leiocephalikon,0.7317938804626465
Drug_left.csv,title,lerisetron,Amphibian_left,title,lechriodus,0.7316755652427673
Drug_left.csv,title,bucindolol,Amphibian_left,title,bolitoglossa indio,0.7312562465667725
Drug_left.csv,title,nonabine,Amphibian_left,title,notaden,0.7271895408630371
Drug_left.csv,title,apomorphine,Amphibian_left,title,aphantophryne,0.726494312286377
Drug_left.csv,title,cyclothiazide,Amphibian_left,title,cyclorana,0.7231958508491516
Drug_left.csv,title,aviptadil,Amphibian_left,title,ameerega ingeri,0.7229108810424805
Drug_left.csv,title,entecavir,Amphibian_left,title,enneabatracus,0.7225979566574097
Drug_left.csv,title,traxoprodil,Amphibian_left,title,trachystegos,0.7212872505187988
Drug_left.csv,title,fezakinumab,Amphibian_left,title,kizylkuma,0.7189512252807617
Drug_left.csv,title,torasemide,Amphibian_left,title,tertremoides,0.7188695669174194
Drug_left.csv,title,duligotumab,Amphibian_left,title,duttaphrynus,0.7168492078781128
Drug_left.csv,title,gomiliximab,Amphibian_left,title,gobiates,0.715661883354187
Drug_left.csv,title,nifurtimox,Amphibian_left,title,neobatrachus,0.7140516638755798
Drug_left.csv,title,pranlukast,Amphibian_left,title,osornophryne puruanta,0.71244215965271
Drug_left.csv,title,protiofate,Amphibian_left,title,prosiren,0.7119709253311157
Drug_left.csv,title,obidoxime,Amphibian_left,title,opisthodon,0.711440920829773
Drug_left.csv,title,efungumab,Amphibian_left,title,eobarbourula,0.7100182175636292
Drug_left.csv,title,odanacatib,Amphibian_left,title,oedipina,0.7069956064224243
Drug_left.csv,title,cervarix,Amphibian_left,title,chirixalus,0.7063724398612976
Drug_left.csv,title,remacemide,Amphibian_left,title,rewana,0.7058195471763611
Drug_left.csv,title,hexylcaine,Amphibian_left,title,centrolene hesperium,0.7056870460510254
Drug_left.csv,title,anagrelide,Amphibian_left,title,anaxyrus,0.7052001953125
Drug_left.csv,title,letrozole,Amphibian_left,title,lethiscus,0.7049469351768494
Drug_left.csv,title,lorglumide,Amphibian_left,title,lissotriton,0.7048625946044922
Drug_left.csv,title,bucladesine,Amphibian_left,title,bulgosuchus,0.7018932104110718
Drug_left.csv,title,motavizumab,Amphibian_left,title,marojejy mantella,0.7018200159072876
Drug_left.csv,title,zomepirac,Amphibian_left,title,zaphrissa,0.7015565633773804
Drug_left.csv,title,pemirolast,Amphibian_left,title,peltobatrachus,0.7008050680160522
Drug_left.csv,title,lecozotan,Amphibian_left,title,laccotriton,0.700790286064148
Drug_left.csv,title,nitisinone,Amphibian_left,title,nesovtriton,0.7005877494812012
Drug_left.csv,title,fioricet,Amphibian_left,title,fejervarya frithi,0.700275719165802
Drug_left.csv,title,sincalide,Amphibian_left,title,sinerpeton,0.6984440088272095
