query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Drug_left.csv,title,valganciclovir,BasketballTeam_right,title,sk valmiera,0.7712156772613525
Drug_left.csv,title,olmesartan,BasketballTeam_right,title,kk olimpija,0.739525318145752
Drug_left.csv,title,gevokizumab,BasketballTeam_right,title,kk vojvodina srbijagas,0.7243843674659729
Drug_left.csv,title,traxoprodil,BasketballTeam_right,title,trabzonspor b.k.,0.6828392744064331
Drug_left.csv,title,pranlukast,BasketballTeam_right,title,kk krka,0.6826537847518921
Drug_left.csv,title,guaiacolsulfonate,BasketballTeam_right,title,asseco gdynia,0.6758953332901001
Drug_left.csv,title,cefotaxime,BasketballTeam_right,title,porta xi ensino cbf,0.6657793521881104
Drug_left.csv,title,tipranavir,BasketballTeam_right,title,rakvere tarvas,0.6598267555236816
Drug_left.csv,title,motavizumab,BasketballTeam_right,title,muba hangtuah sumatera selatan,0.6545829772949219
Drug_left.csv,title,bucindolol,BasketballTeam_right,title,tyco rapla,0.6517206430435181
Drug_left.csv,title,mipomersen,BasketballTeam_right,title,mhp riesen ludwigsburg,0.6516976356506348
Drug_left.csv,title,maslimomab,BasketballTeam_right,title,al riyadi amman,0.6502681970596313
Drug_left.csv,title,colestipol,BasketballTeam_right,title,bc cherkasy,0.6491785049438477
Drug_left.csv,title,pilsicainide,BasketballTeam_right,title,piimameister otto/rapla,0.6475845575332642
Drug_left.csv,title,stavudine,BasketballTeam_right,title,kk millenium strumica,0.6433309316635132
Drug_left.csv,title,sabarubicin,BasketballTeam_right,title,bc barsy atyrau,0.6407582759857178
Drug_left.csv,title,betrixaban,BasketballTeam_right,title,uniqa sopron,0.6396620273590088
Drug_left.csv,title,tidiacic,BasketballTeam_right,title,cb tizona,0.6393773555755615
Drug_left.csv,title,cck-4,BasketballTeam_right,title,bc budivelnik,0.6368366479873657
Drug_left.csv,title,jwh-081,BasketballTeam_right,title,yongin samsung life bichumi,0.6344993114471436
Drug_left.csv,title,ganciclovir,BasketballTeam_right,title,kk slavonski brod,0.6334444284439087
Drug_left.csv,title,melperone,BasketballTeam_right,title,medi bayreuth,0.6302680373191833
Drug_left.csv,title,raxibacumab,BasketballTeam_right,title,rosasport radom,0.6280034780502319
Drug_left.csv,title,trenbolone,BasketballTeam_right,title,treviso basket,0.6269774436950684
Drug_left.csv,title,prx-08066,BasketballTeam_right,title,yongin samsung blueminx,0.6237169504165649
Drug_left.csv,title,omecamtiv mecarbil,BasketballTeam_right,title,halcones de xalapa,0.6216651201248169
Drug_left.csv,title,bifemelane,BasketballTeam_right,title,bnei hasharon,0.6210124492645264
Drug_left.csv,title,sep-225289,BasketballTeam_right,title,satria muda pertamina jakarta,0.6207611560821533
Drug_left.csv,title,oblimersen,BasketballTeam_right,title,elitzur givat shmuel,0.617074728012085
Drug_left.csv,title,fioricet,BasketballTeam_right,title,ca queluz,0.6163927316665649
Drug_left.csv,title,losigamone,BasketballTeam_right,title,pallacanestro don bosco livorno,0.6115750074386597
Drug_left.csv,title,talsupram,BasketballTeam_right,title,tanduay light rhum masters,0.6113741397857666
Drug_left.csv,title,aviptadil,BasketballTeam_right,title,pelita jaya energi mega persada,0.6100775003433228
Drug_left.csv,title,moxaverine,BasketballTeam_right,title,cuxhaven bascats,0.6056026816368103
Drug_left.csv,title,ur-144,BasketballTeam_right,title,ulriken elite,0.6029781699180603
Drug_left.csv,title,cefotetan,BasketballTeam_right,title,dafni bc,0.5978599786758423
Drug_left.csv,title,nalbuphine,BasketballTeam_right,title,bc naglis,0.5976301431655884
Drug_left.csv,title,cediranib,BasketballTeam_right,title,bc yenisey krasnoyarsk,0.5966017842292786
Drug_left.csv,title,cetilistat,BasketballTeam_right,title,cs energia,0.5948386192321777
Drug_left.csv,title,ponatinib,BasketballTeam_right,title,bc torpan pojat,0.5918846130371094
Drug_left.csv,title,adbica,BasketballTeam_right,title,nuova amg sebastiani basket rieti,0.5910406112670898
Drug_left.csv,title,ad-1211,BasketballTeam_right,title,bc rå«dupis,0.5894906520843506
Drug_left.csv,title,lerisetron,BasketballTeam_right,title,kk mega leks,0.5819206237792969
Drug_left.csv,title,pericyazine,BasketballTeam_right,title,polytekhnika-halychyna lviv,0.5796986818313599
Drug_left.csv,title,ozanezumab,BasketballTeam_right,title,incheon electroland elephants,0.5779491662979126
Drug_left.csv,title,ursodiol,BasketballTeam_right,title,pbc ural great,0.5771099328994751
Drug_left.csv,title,desogestrel,BasketballTeam_right,title,swans gmunden,0.5770373344421387
Drug_left.csv,title,romiplostim,BasketballTeam_right,title,ao pagrati bc,0.5745402574539185
Drug_left.csv,title,apronal,BasketballTeam_right,title,ab pas,0.5706834197044373
Drug_left.csv,title,entecavir,BasketballTeam_right,title,enbw ludwigsburg,0.5703504085540771
Drug_left.csv,title,fulvestrant,BasketballTeam_right,title,fubon braves,0.5702570080757141
Drug_left.csv,title,cafergot,BasketballTeam_right,title,roseto basket,0.5700733661651611
Drug_left.csv,title,tesaglitazar,BasketballTeam_right,title,toros de nuevo laredo,0.5677578449249268
Drug_left.csv,title,2c-b-bzp,BasketballTeam_right,title,bc palanga,0.5641644597053528
Drug_left.csv,title,forasartan,BasketballTeam_right,title,aspac jakarta,0.5626511573791504
Drug_left.csv,title,pazinaclone,BasketballTeam_right,title,gladiators trier,0.5576263666152954
Drug_left.csv,title,tiazesim,BasketballTeam_right,title,maccabi ra'anana,0.5575507879257202
Drug_left.csv,title,atamestane,BasketballTeam_right,title,iraklio bc,0.5556128025054932
Drug_left.csv,title,samarium (153sm) lexidronam,BasketballTeam_right,title,ionikos nikaias bc,0.5544637441635132
Drug_left.csv,title,bamaluzole,BasketballTeam_right,title,gruppo triboldi basket,0.5509233474731445
Drug_left.csv,title,bms-945429,BasketballTeam_right,title,cb ciudad de algeciras,0.5499066114425659
Drug_left.csv,title,cervarix,BasketballTeam_right,title,egaleo bc,0.5497442483901978
Drug_left.csv,title,colesevelam,BasketballTeam_right,title,bree b.b.c.,0.5491419434547424
Drug_left.csv,title,5-meo-det,BasketballTeam_right,title,bc cherno more port varna,0.5489159822463989
Drug_left.csv,title,vinblastine,BasketballTeam_right,title,veroli basket,0.5432337522506714
Drug_left.csv,title,"ici-190,622",BasketballTeam_right,title,icbs b.c.,0.5429934859275818
Drug_left.csv,title,"car-226,086",BasketballTeam_right,title,g.s. fiat,0.5382145047187805
Drug_left.csv,title,colextran,BasketballTeam_right,title,logan thunder (wnbl),0.5369349122047424
Drug_left.csv,title,perindopril,BasketballTeam_right,title,perak farmcochem b.c.,0.5365540981292725
Drug_left.csv,title,fondaparinux,BasketballTeam_right,title,somb boulogne-sur-mer,0.5346755981445312
Drug_left.csv,title,arfendazam,BasketballTeam_right,title,ezzahra sports,0.5331395864486694
Drug_left.csv,title,moroctocog alfa,BasketballTeam_right,title,athlitikos omilos paleou falirou bc,0.5328168272972107
Drug_left.csv,title,sevirumab,BasketballTeam_right,title,cls knights surabaya,0.5316417217254639
Drug_left.csv,title,cinepazide,BasketballTeam_right,title,pacific caesar surabaya,0.5305519700050354
Drug_left.csv,title,bibrocathol,BasketballTeam_right,title,stella artois leuven bears,0.529579222202301
Drug_left.csv,title,7-pet,BasketballTeam_right,title,paws london capital,0.5283896923065186
Drug_left.csv,title,zomepirac,BasketballTeam_right,title,zamalek (basketball),0.5281901955604553
Drug_left.csv,title,ergocristine,BasketballTeam_right,title,peramatos ermis b.c.,0.5266678333282471
Drug_left.csv,title,o-1918,BasketballTeam_right,title,p.a.o.k. bc,0.5250546336174011
Drug_left.csv,title,u0126,BasketballTeam_right,title,universo treviso basket,0.5225602388381958
Drug_left.csv,title,al-34662,BasketballTeam_right,title,al ittihad alexandria (basketball),0.5224919319152832
Drug_left.csv,title,bu-48,BasketballTeam_right,title,blackwater sports,0.5214510560035706
Drug_left.csv,title,"pnu-99,194",BasketballTeam_right,title,barak netanya b.c.,0.5144677758216858
Drug_left.csv,title,alagebrium,BasketballTeam_right,title,ionikos lamias bc,0.5133686661720276
Drug_left.csv,title,technetium (99mtc) sestamibi,BasketballTeam_right,title,a.s. trikala 2000 bc,0.5105531811714172
Drug_left.csv,title,afloqualone,BasketballTeam_right,title,melbourne united,0.5083035230636597
Drug_left.csv,title,befuraline,BasketballTeam_right,title,bintulu rainbow b.c.,0.5066889524459839
Drug_left.csv,title,ro4491533,BasketballTeam_right,title,kk mega basket,0.5037782788276672
Drug_left.csv,title,nerisopam,BasketballTeam_right,title,as ionikos neas filadelfeias bc,0.49962255358695984
Drug_left.csv,title,ibipinabant,BasketballTeam_right,title,ilissiakos b.c.,0.49948108196258545
Drug_left.csv,title,belotecan,BasketballTeam_right,title,bintulu eagles b.c.,0.49754080176353455
Drug_left.csv,title,xantinol nicotinate,BasketballTeam_right,title,xanthi b.c.,0.4967958331108093
Drug_left.csv,title,otenabant,BasketballTeam_right,title,cs otopeni (basketball),0.49398133158683777
Drug_left.csv,title,aciclovir,BasketballTeam_right,title,bc minsk-2006,0.49334508180618286
Drug_left.csv,title,lorbamate,BasketballTeam_right,title,edinburgh tigers,0.48534196615219116
Drug_left.csv,title,zacopride,BasketballTeam_right,title,omaha racers,0.48184311389923096
Drug_left.csv,title,larotaxel,BasketballTeam_right,title,helsinki seagulls,0.48009926080703735
Drug_left.csv,title,fenpiverinium,BasketballTeam_right,title,union kavala b.c.,0.47418761253356934
Drug_left.csv,title,lubeluzole,BasketballTeam_right,title,unes fc barcelona,0.47402143478393555
Drug_left.csv,title,sabcomeline,BasketballTeam_right,title,belfast star,0.47203463315963745
Drug_left.csv,title,guselkumab,BasketballTeam_right,title,goyang orion orions,0.4719945192337036
Drug_left.csv,title,bufexamac,BasketballTeam_right,title,fubon braves basketball team,0.4682200253009796
Drug_left.csv,title,srt1460,BasketballTeam_right,title,surrey scorchers,0.4651186168193817
Drug_left.csv,title,ht-0712,BasketballTeam_right,title,hi-tech bangkok city,0.46430447697639465
Drug_left.csv,title,odanacatib,BasketballTeam_right,title,el ittihad alexandria (basketball),0.46356862783432007
Drug_left.csv,title,seletracetam,BasketballTeam_right,title,ikaros chalkidas b.c.,0.4629887044429779
Drug_left.csv,title,diproteverine,BasketballTeam_right,title,dumbarton dodgers,0.46216124296188354
Drug_left.csv,title,bd1063,BasketballTeam_right,title,oklahoma city blue,0.4607867896556854
Drug_left.csv,title,ciproxifan,BasketballTeam_right,title,cheshire jets,0.46022263169288635
Drug_left.csv,title,fedotozine,BasketballTeam_right,title,b.c. zenit saint petersburg,0.45757418870925903
Drug_left.csv,title,calcitriol,BasketballTeam_right,title,sporting bc,0.45580506324768066
Drug_left.csv,title,bemegride,BasketballTeam_right,title,cb bilbao berri,0.4557260274887085
Drug_left.csv,title,nelotanserin,BasketballTeam_right,title,otago nuggets,0.4546247124671936
