query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RailwayLine_left.csv,title,grenaabanen,Galaxy_right,title,gr 8,0.6676695346832275
RailwayLine_left.csv,title,505 dundas,Galaxy_right,title,ddo 169,0.6533409953117371
RailwayLine_left.csv,title,s29 (zvv),Galaxy_right,title,ddo 190,0.5997239351272583
RailwayLine_left.csv,title,r7 (septa),Galaxy_right,title,rx j1242-11,0.5891221761703491
RailwayLine_left.csv,title,selby diversion,Galaxy_right,title,segue 2,0.5864600539207458
RailwayLine_left.csv,title,502 downtowner,Galaxy_right,title,3c 433,0.5686326026916504
RailwayLine_left.csv,title,s35 (zvv),Galaxy_right,title,ngc 34,0.5371897220611572
RailwayLine_left.csv,title,s41 (zvv),Galaxy_right,title,ngc 5562,0.534978985786438
RailwayLine_left.csv,title,s15 (zvv),Galaxy_right,title,ngc 1265,0.5341557860374451
RailwayLine_left.csv,title,sun link,Galaxy_right,title,ngc 6872,0.527737021446228
RailwayLine_left.csv,title,"west south line, chennai suburban",Galaxy_right,title,ms 1512-cb58,0.5079565048217773
RailwayLine_left.csv,title,barcelona orbital line,Galaxy_right,title,ngc 935/ic 1801,0.505882203578949
RailwayLine_left.csv,title,lycabettus funicular,Galaxy_right,title,canis major overdensity,0.4429568946361542
RailwayLine_left.csv,title,suryeo line,Galaxy_right,title,sagittarius dwarf spheroidal galaxy,0.42875048518180847
RailwayLine_left.csv,title,roslagsbanan,Galaxy_right,title,arp 302,0.3985460102558136
RailwayLine_left.csv,title,sagano line,Galaxy_right,title,carina dwarf spheroidal galaxy,0.377451092004776
RailwayLine_left.csv,title,vestmarka line,Galaxy_right,title,carina dwarf spheroidal galaxy,0.373290479183197
