query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
RailwayLine_left.csv,title,nordfyenske jernbane,Museum_right,title,nordlandsmuseet,0.7813161611557007
RailwayLine_left.csv,title,pichi richi railway preservation society,Museum_right,title,"regional railway museum, chennai",0.7689292430877686
RailwayLine_left.csv,title,"main southern railway line, new south wales",Museum_right,title,australian railway historical society museum,0.7557815313339233
RailwayLine_left.csv,title,showground central railway line,Museum_right,title,old train station and railway museum,0.7248357534408569
RailwayLine_left.csv,title,eyre peninsula railway,Museum_right,title,"national railway museum, port adelaide",0.7241717576980591
RailwayLine_left.csv,title,mittenwald railway,Museum_right,title,trainworks railway museum,0.7231501340866089
RailwayLine_left.csv,title,kirnitzschtal tramway,Museum_right,title,tiroler museumsbahnen,0.7226084470748901
RailwayLine_left.csv,title,central swabian railway,Museum_right,title,hungarian railway history park,0.7217992544174194
RailwayLine_left.csv,title,deister railway,Museum_right,title,railgiants train museum,0.7195799946784973
RailwayLine_left.csv,title,south norfolk railway,Museum_right,title,national railway museum shildon,0.7103214859962463
RailwayLine_left.csv,title,vancouver downtown historic railway,Museum_right,title,steamtown peterborough railway preservation society,0.6955636739730835
RailwayLine_left.csv,title,mangfall valley railway,Museum_right,title,isle of man railway museum,0.6873668432235718
RailwayLine_left.csv,title,eizan electric railway,Museum_right,title,"railway museum, belgrade",0.6793244481086731
RailwayLine_left.csv,title,brunswick line,Museum_right,title,brunswick heritage museum,0.6759493350982666
RailwayLine_left.csv,title,luanda railway,Museum_right,title,"railway museum (livingstone, zambia)",0.663689911365509
RailwayLine_left.csv,title,ferrocarril provincial de santa fe,Museum_right,title,site santa fe,0.6576604247093201
RailwayLine_left.csv,title,m2 (copenhagen),Museum_right,title,oude kerk (amsterdam),0.654904842376709
RailwayLine_left.csv,title,yokohama line,Museum_right,title,japan coast guard museum yokohama,0.6542446613311768
RailwayLine_left.csv,title,nordvestfyenske jernbane,Museum_right,title,swedish history museum,0.6450014114379883
RailwayLine_left.csv,title,skagensbanen,Museum_right,title,nederlands spoorwegmuseum,0.644959032535553
RailwayLine_left.csv,title,south side elevated railroad,Museum_right,title,civil war and underground railroad museum of philadelphia,0.6434758901596069
RailwayLine_left.csv,title,hainan western ring railway,Museum_right,title,hainan museum,0.6433088779449463
RailwayLine_left.csv,title,grenaabanen,Museum_right,title,serralves,0.6379731893539429
RailwayLine_left.csv,title,bankura damodar railway,Museum_right,title,dakshinachitra,0.6376113891601562
RailwayLine_left.csv,title,glasgow south western line,Museum_right,title,"people's palace, glasgow",0.6373391151428223
RailwayLine_left.csv,title,west anglia main line,Museum_right,title,addington long barrow,0.6368691921234131
RailwayLine_left.csv,title,monte san salvatore funicular,Museum_right,title,museo ferrari,0.6363478899002075
RailwayLine_left.csv,title,bernese oberland railway,Museum_right,title,museum of fine arts bern,0.6318418979644775
RailwayLine_left.csv,title,ferrocarril rosario y puerto belgrano,Museum_right,title,museo nacional de arte,0.6308705806732178
RailwayLine_left.csv,title,rea vaya,Museum_right,title,shankardev kalakshetra,0.6290606260299683
RailwayLine_left.csv,title,liujia line,Museum_right,title,lu xun museum,0.6277375817298889
RailwayLine_left.csv,title,funicular dos guindais,Museum_right,title,soares dos reis national museum,0.6247970461845398
RailwayLine_left.csv,title,braunwaldbahn,Museum_right,title,hamburg museum,0.6230770349502563
RailwayLine_left.csv,title,bmt sea beach line,Museum_right,title,gulf coast exploreum,0.6184980869293213
RailwayLine_left.csv,title,hirtshalsbanen,Museum_right,title,ziegelei lage,0.6162346601486206
RailwayLine_left.csv,title,rantarata,Museum_right,title,srimanta sankardev kalakshetra,0.6158616542816162
RailwayLine_left.csv,title,red line (marta),Museum_right,title,marta herford,0.6156021356582642
RailwayLine_left.csv,title,marzilibahn funicular,Museum_right,title,om kalthoum museum,0.6140655279159546
RailwayLine_left.csv,title,niesenbahn,Museum_right,title,mumok,0.6119382381439209
RailwayLine_left.csv,title,heritage corridor,Museum_right,title,the journey museum and learning center,0.6107795238494873
RailwayLine_left.csv,title,pelion railway,Museum_right,title,museum of folk art and history of pelion,0.6102079749107361
RailwayLine_left.csv,title,london post office railway,Museum_right,title,the postal museum,0.6095718145370483
