query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
Country_left.csv,title,sarab khanate,Monarch_right,title,najmuddin ali khan,0.821747899055481
Country_left.csv,title,vladimir-suzdal,Monarch_right,title,yasovarman,0.8078951835632324
Country_left.csv,title,vishnukundina,Monarch_right,title,pandara vanniyan,0.8012011051177979
Country_left.csv,title,golden horde,Monarch_right,title,baraq (golden horde),0.7973421216011047
Country_left.csv,title,medri bahri,Monarch_right,title,amr saffari,0.7875504493713379
Country_left.csv,title,khoshut khanate,Monarch_right,title,zhanibek khan,0.7854287624359131
Country_left.csv,title,khazars,Monarch_right,title,khosrow i,0.7781162261962891
Country_left.csv,title,state of damascus,Monarch_right,title,"as-salih ismail, emir of damascus",0.7767364978790283
Country_left.csv,title,mahajanapada,Monarch_right,title,uthram thirunal marthanda varma,0.7762864828109741
Country_left.csv,title,rashidun caliphate,Monarch_right,title,"yusuf ii, almohad caliph",0.7732289433479309
Country_left.csv,title,kahuripan,Monarch_right,title,chaiyasiri,0.765770673751831
Country_left.csv,title,khanate of sibir,Monarch_right,title,saadatullah khan i,0.763778805732727
Country_left.csv,title,people's democratic republic of ethiopia,Monarch_right,title,amda seyon i of ethiopia,0.7624680995941162
Country_left.csv,title,maakhir,Monarch_right,title,ahkal mo' nahb i,0.7588087916374207
Country_left.csv,title,kahlur,Monarch_right,title,keshri singh,0.758564293384552
Country_left.csv,title,umayyad caliphate,Monarch_right,title,"idris i, almohad caliph",0.7560529708862305
Country_left.csv,title,avar khanate,Monarch_right,title,ghazi ayub khan,0.7558655142784119
Country_left.csv,title,afrighids,Monarch_right,title,afridun i,0.7544934153556824
Country_left.csv,title,thanjavur maratha kingdom,Monarch_right,title,mahathammaracha ii,0.7532749772071838
Country_left.csv,title,tannu uriankhai,Monarch_right,title,shuja shah durrani,0.752470850944519
Country_left.csv,title,gazankulu,Monarch_right,title,ismail samani,0.7481502890586853
Country_left.csv,title,phoenicia,Monarch_right,title,phraates i,0.7479267120361328
Country_left.csv,title,afsharid dynasty,Monarch_right,title,afridun ii,0.7449236512184143
Country_left.csv,title,alash orda,Monarch_right,title,abul-aish ahmad,0.7431430816650391
Country_left.csv,title,eshnunna,Monarch_right,title,chashtana,0.7383902072906494
Country_left.csv,title,paramara dynasty,Monarch_right,title,parameswara (king),0.7381192445755005
Country_left.csv,title,kakuyids,Monarch_right,title,kavus i,0.7348557114601135
Country_left.csv,title,talysh khanate,Monarch_right,title,khalaf i,0.7312520742416382
Country_left.csv,title,han dynasty,Monarch_right,title,empress ma (han dynasty),0.727550745010376
Country_left.csv,title,nawabs of bengal and murshidabad,Monarch_right,title,mansur ali khan of bengal,0.7270733118057251
Country_left.csv,title,kazikumukh shamkhalate,Monarch_right,title,mohammad khodabanda,0.7218071818351746
Country_left.csv,title,kingdom of egypt,Monarch_right,title,berenice ii of egypt,0.7216222286224365
Country_left.csv,title,adjara,Monarch_right,title,ashraf hotak,0.7192740440368652
Country_left.csv,title,kwararafa,Monarch_right,title,kapeliele faupala,0.7186510562896729
Country_left.csv,title,srivijaya,Monarch_right,title,avittom thirunal balarama varma,0.7167533040046692
Country_left.csv,title,thanjavur nayak kingdom,Monarch_right,title,shivaji of thanjavur,0.7141950130462646
