query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
SoccerClubSeason_left.csv,title,negeri sembilan fa season 2013,FootballLeagueSeason_left,title,negeri sembilan fa season 2012,0.9926978349685669
SoccerClubSeason_left.csv,title,2011 fc edmonton season,FootballLeagueSeason_left,title,2002 edmonton eskimos season,0.890040397644043
SoccerClubSeason_left.csv,title,2008 pohang steelers season,FootballLeagueSeason_left,title,2013 pittsburgh steelers season,0.8822230100631714
SoccerClubSeason_left.csv,title,2013 montreal impact season,FootballLeagueSeason_left,title,2013 montreal alouettes season,0.8808615207672119
SoccerClubSeason_left.csv,title,1999 dallas burn season,FootballLeagueSeason_left,title,1999 dallas cowboys season,0.8786426782608032
SoccerClubSeason_left.csv,title,2009 toronto fc season,FootballLeagueSeason_left,title,2009 canadian soccer league season,0.8692147731781006
SoccerClubSeason_left.csv,title,2010 columbus crew season,FootballLeagueSeason_left,title,2008 columbus destroyers season,0.8678712844848633
SoccerClubSeason_left.csv,title,2013 fc kansas city season,FootballLeagueSeason_left,title,2013 kansas city chiefs season,0.8647959232330322
SoccerClubSeason_left.csv,title,2011 in japanese football,FootballLeagueSeason_left,title,2012 japan football league,0.8645063042640686
SoccerClubSeason_left.csv,title,2012 fc seoul season,FootballLeagueSeason_left,title,2012 korea national league,0.8627980351448059
SoccerClubSeason_left.csv,title,2012 toronto fc season,FootballLeagueSeason_left,title,2012 canadian soccer league season,0.8624393939971924
SoccerClubSeason_left.csv,title,2010 bangkok united f.c. season,FootballLeagueSeason_left,title,2008 thailand premier league,0.8601879477500916
SoccerClubSeason_left.csv,title,2007 fc dallas season,FootballLeagueSeason_left,title,2007 dallas desperados season,0.8586887121200562
SoccerClubSeason_left.csv,title,2012 sporting kansas city season,FootballLeagueSeason_left,title,2002 kansas city chiefs season,0.8583073616027832
SoccerClubSeason_left.csv,title,2012 fc edmonton season,FootballLeagueSeason_left,title,2013 edmonton eskimos season,0.8582653999328613
SoccerClubSeason_left.csv,title,2002 dallas burn season,FootballLeagueSeason_left,title,2005 dallas cowboys season,0.8582535982131958
SoccerClubSeason_left.csv,title,2013 fc dallas season,FootballLeagueSeason_left,title,2013 dallas cowboys season,0.8520658612251282
SoccerClubSeason_left.csv,title,2007 pohang steelers season,FootballLeagueSeason_left,title,2004 pittsburgh steelers season,0.8515610694885254
SoccerClubSeason_left.csv,title,2011 puerto rico islanders season,FootballLeagueSeason_left,title,2011 puerto rico soccer league season,0.848673939704895
