query_table,query_column,query_value,candidate_table,candidate_column,candidate_value,similarity_score
ChristianBishop_left.csv,title,theodosius (lazor),Monarch_right,title,theodosius iii,0.8453366756439209
ChristianBishop_left.csv,title,venedykt aleksiychuk,Monarch_right,title,yasovarman,0.813830554485321
ChristianBishop_left.csv,title,eladio acosta arteaga,Monarch_right,title,artemidoros aniketos,0.7940405607223511
ChristianBishop_left.csv,title,aberi balya,Monarch_right,title,amr saffari,0.7932285070419312
ChristianBishop_left.csv,title,grzegorz kaszak,Monarch_right,title,stefan radoslav,0.7848656177520752
ChristianBishop_left.csv,title,cynesige,Monarch_right,title,cyaxares,0.7847529649734497
ChristianBishop_left.csv,title,idris jones,Monarch_right,title,idris i,0.7777668237686157
ChristianBishop_left.csv,title,rrok mirdita,Monarch_right,title,mirwais hotak,0.7709109783172607
ChristianBishop_left.csv,title,clement shaba,Monarch_right,title,ismail samani,0.7701557874679565
ChristianBishop_left.csv,title,shimun viii yohannan sulaqa,Monarch_right,title,ali i of shirvan,0.7551580667495728
ChristianBishop_left.csv,title,athanasius v matar,Monarch_right,title,artabanus v of parthia,0.7511129975318909
ChristianBishop_left.csv,title,peter sugandhar,Monarch_right,title,shuja shah durrani,0.7479187250137329
ChristianBishop_left.csv,title,michael angelo saltarelli,Monarch_right,title,michael vi stratiotikos,0.7384848594665527
ChristianBishop_left.csv,title,frederick easson,Monarch_right,title,olafr godredsson,0.7373138666152954
ChristianBishop_left.csv,title,nicholas chrysostom matz,Monarch_right,title,constantine doukas,0.7365380525588989
ChristianBishop_left.csv,title,franjo komarica,Monarch_right,title,kapeliele faupala,0.7337909936904907
ChristianBishop_left.csv,title,yohannan viii hormizd,Monarch_right,title,yazid ii of shirvan,0.7309273481369019
ChristianBishop_left.csv,title,mar sebastian adayantharath,Monarch_right,title,raja dahir,0.7308493256568909
ChristianBishop_left.csv,title,theodorus i (bishop of milan),Monarch_right,title,theodoric the great,0.7302895188331604
ChristianBishop_left.csv,title,john wong soo kau,Monarch_right,title,shao kang,0.7282806634902954
ChristianBishop_left.csv,title,havryil kolenda,Monarch_right,title,varaz trdat i,0.7242610454559326
ChristianBishop_left.csv,title,audoen,Monarch_right,title,agrasen,0.7204716205596924
ChristianBishop_left.csv,title,michel sabbah,Monarch_right,title,mohammad khodabanda,0.7188184857368469
ChristianBishop_left.csv,title,ignatius abded aloho ii,Monarch_right,title,abd al-wahid i,0.7154170870780945
ChristianBishop_left.csv,title,michael william hyle,Monarch_right,title,michael v,0.712780237197876
ChristianBishop_left.csv,title,eustorgius ii,Monarch_right,title,artabanus ii of parthia,0.7124242782592773
ChristianBishop_left.csv,title,beonna (bishop of hereford),Monarch_right,title,beorna of east anglia,0.7115288972854614
ChristianBishop_left.csv,title,aram i,Monarch_right,title,afridun i,0.7081746459007263
ChristianBishop_left.csv,title,ignatius nuh of lebanon,Monarch_right,title,abu'l-fath musa,0.7051876783370972
ChristianBishop_left.csv,title,athanasius iv jawhar,Monarch_right,title,artabanus iv of parthia,0.705169677734375
ChristianBishop_left.csv,title,zygmunt zimowski,Monarch_right,title,zhanibek khan,0.7016708850860596
ChristianBishop_left.csv,title,athulf,Monarch_right,title,asaf-ud-daula,0.7010815143585205
ChristianBishop_left.csv,title,cleophas lunga,Monarch_right,title,cleitus (dardania),0.6986193656921387
ChristianBishop_left.csv,title,ignacy krasicki,Monarch_right,title,khosrow i,0.6966407895088196
ChristianBishop_left.csv,title,jabez gnanapragasam,Monarch_right,title,kan bahlam i,0.6955835819244385
ChristianBishop_left.csv,title,ignatius antony ii hayyek,Monarch_right,title,anastasius i dicorus,0.6937693357467651
ChristianBishop_left.csv,title,carlos duarte costa,Monarch_right,title,mohammadu maccido,0.6925569772720337
ChristianBishop_left.csv,title,maurice gaidon,Monarch_right,title,gaumata,0.6921854019165039
ChristianBishop_left.csv,title,ellinah wamukoya,Monarch_right,title,chashtana,0.6913256049156189
ChristianBishop_left.csv,title,mesrob ii mutafyan of constantinople,Monarch_right,title,"as-salih ismail, emir of damascus",0.6906539797782898
ChristianBishop_left.csv,title,ignatius iii atiyah,Monarch_right,title,artabanus iii of parthia,0.6903874278068542
ChristianBishop_left.csv,title,shimun xxiii eshai,Monarch_right,title,hushang of shirvan,0.688454270362854
ChristianBishop_left.csv,title,ignatius peter viii abdalahad,Monarch_right,title,ahmad ibn ibrahim al-ghazi,0.6868475675582886
