query,candidate,semantic_score,deepjoin_score
adventureworks2014_countryregion.Name,world-cities.country,0.0,0.717
adventureworks2014_countryregion.Name,countries_of_the_world.Country,0.0,0.735
adventureworks2014_countryregion.Name,edu.country,0.0,0.7201
adventureworks2014_countryregion.Name,fifa_ranking.country_full,0.0,0.7249
adventureworks2014_countryregion.Name,whr2015.Country,0.0,0.7139
adventureworks2014_countryregion.Name,wikipedia-iso-country-codes.English_short_name_lower_case,0.0,0.7144
adventureworks2014_countryregion.Name,countries_and_continents.official_name_en,0.0,0.8873
adventureworks2014_countryregion.Name,countries_data.CountryName,0.0,0.7644
adventureworks2014_countryregion.Name,hfi_cc_2018.countries,0.0,0.7421
adventureworks2014_countryregion.Name,countries_and_continents.official_name_fr,0.0,0.7411
adventureworks2014_countryregion.Name,world_country.Name,0.0,0.9857
adventureworks2014_countryregion.Name,countries_metadatacountries.CountryName,0.0,0.7777
adventureworks2014_countryregion.Name,gender_development.Country,0.0,0.7174
adventureworks2014_countryregion.Name,countries_and_continents.ISO4217-currency_country_name,0.0,0.7121
adventureworks2014_countryregion.Name,countries_and_continents.name,0.0,0.9734
adventureworks2014_countryregion.Name,world_country.LocalName,0.0,0.8582
countries_and_continents.name,world-cities.country,0.0,0.7164
countries_and_continents.name,countries_of_the_world.Country,0.0,0.7347
countries_and_continents.name,edu.country,0.0,0.73
countries_and_continents.name,fifa_ranking.country_full,0.0,0.7329
countries_and_continents.name,world_countries_env_vars.Country,0.0,0.7036
countries_and_continents.name,whr2015.Country,0.0,0.7176
countries_and_continents.name,word_university_rank_2020.Country,0.0,0.7063
countries_and_continents.name,wikipedia-iso-country-codes.English_short_name_lower_case,0.0,0.7327
countries_and_continents.name,countries_data.CountryName,0.0,0.7723
countries_and_continents.name,who_suicide_statistics.country,0.0,0.7096
countries_and_continents.name,hfi_cc_2018.countries,0.0,0.7496
countries_and_continents.name,world_country.Name,0.0,0.9772
countries_and_continents.name,countries_metadatacountries.CountryName,0.0,0.786
countries_and_continents.name,gender_development.Country,0.0,0.7171
countries_and_continents.name,world_country.LocalName,0.0,0.8612
countries_and_continents.official_name_en,netflix_titles.country,0.0,0.702
countries_and_continents.official_name_en,world-cities.country,0.0,0.8006
countries_and_continents.official_name_en,countries_of_the_world.Country,0.0,0.8173
countries_and_continents.official_name_en,edu.country,0.0,0.8123
countries_and_continents.official_name_en,fifa_ranking.country_full,0.0,0.8472
countries_and_continents.official_name_en,world_countries_env_vars.Country,0.0,0.792
countries_and_continents.official_name_en,whr2015.Country,0.0,0.7954
countries_and_continents.official_name_en,word_university_rank_2020.Country,0.0,0.7743
countries_and_continents.official_name_en,wikipedia-iso-country-codes.English_short_name_lower_case,0.0,0.7121
countries_and_continents.official_name_en,who_suicide_statistics.country,0.0,0.7883
countries_and_continents.official_name_en,countries_data.CountryName,0.0,0.8224
countries_and_continents.official_name_en,hfi_cc_2018.countries,0.0,0.8302
countries_and_continents.official_name_en,world_country.Name,0.0,0.8888
countries_and_continents.official_name_en,countries_metadatacountries.CountryName,0.0,0.8295
countries_and_continents.official_name_en,moviesonstreamingplatforms_updated.Country,0.0,0.7324
countries_and_continents.official_name_en,movie_metadata.country,0.0,0.7484
countries_and_continents.official_name_en,gender_development.Country,0.0,0.7959
countries_and_continents.official_name_en,cwurdata.country,0.0,0.7201
countries_and_continents.official_name_en,world_country.LocalName,0.0,0.8485
countries_data.CountryName,netflix_titles.country,0.0,0.7143
countries_data.CountryName,world-cities.country,0.0,0.8601
countries_data.CountryName,countries_of_the_world.Country,0.0,0.8904
countries_data.CountryName,edu.country,0.0,0.8907
countries_data.CountryName,fifa_ranking.country_full,0.0,0.8583
countries_data.CountryName,world_countries_env_vars.Country,0.0,0.8871
countries_data.CountryName,whr2015.Country,0.0,0.8698
countries_data.CountryName,word_university_rank_2020.Country,0.0,0.8429
countries_data.CountryName,countries_and_continents.official_name_en,0.0,0.8224
countries_data.CountryName,who_suicide_statistics.country,0.0,0.8761
countries_data.CountryName,hfi_cc_2018.countries,0.0,0.8364
countries_data.CountryName,world_country.Name,0.0,0.7962
countries_data.CountryName,countries_and_continents.official_name_fr,0.0,0.7346
countries_data.CountryName,countries_metadatacountries.CountryName,0.0,0.9907
countries_data.CountryName,moviesonstreamingplatforms_updated.Country,0.0,0.7724
countries_data.CountryName,movie_metadata.country,0.0,0.8291
countries_data.CountryName,gender_development.Country,0.0,0.8888
countries_data.CountryName,countries_and_continents.ISO4217-currency_country_name,0.0,0.7944
countries_data.CountryName,cwurdata.country,0.0,0.8126
countries_data.CountryName,countries_and_continents.name,0.0,0.7723
countries_data.CountryName,affirmative_asylum.ContinentCountryofNationality,0.0,0.7385
countries_data.CountryName,movies.country,0.0,0.8223
countries_data.CountryName,world_country.LocalName,0.0,0.7634
countries_metadatacountries.CountryName,netflix_titles.country,0.0,0.728
countries_metadatacountries.CountryName,world-cities.country,0.0,0.8565
countries_metadatacountries.CountryName,countries_of_the_world.Country,0.0,0.8847
countries_metadatacountries.CountryName,edu.country,0.0,0.8869
countries_metadatacountries.CountryName,fifa_ranking.country_full,0.0,0.8567
countries_metadatacountries.CountryName,world_countries_env_vars.Country,0.0,0.8783
countries_metadatacountries.CountryName,whr2015.Country,0.0,0.871
countries_metadatacountries.CountryName,word_university_rank_2020.Country,0.0,0.8431
countries_metadatacountries.CountryName,countries_and_continents.official_name_en,0.0,0.8295
countries_metadatacountries.CountryName,who_suicide_statistics.country,0.0,0.8707
countries_metadatacountries.CountryName,countries_data.CountryName,0.0,0.9907
countries_metadatacountries.CountryName,hfi_cc_2018.countries,0.0,0.8369
countries_metadatacountries.CountryName,world_country.Name,0.0,0.808
countries_metadatacountries.CountryName,countries_and_continents.official_name_fr,0.0,0.7352
countries_metadatacountries.CountryName,moviesonstreamingplatforms_updated.Country,0.0,0.7881
countries_metadatacountries.CountryName,movie_metadata.country,0.0,0.8307
countries_metadatacountries.CountryName,gender_development.Country,0.0,0.8848
countries_metadatacountries.CountryName,countries_and_continents.ISO4217-currency_country_name,0.0,0.7996
countries_metadatacountries.CountryName,cwurdata.country,0.0,0.8146
countries_metadatacountries.CountryName,countries_and_continents.name,0.0,0.786
countries_metadatacountries.CountryName,affirmative_asylum.ContinentCountryofNationality,0.0,0.7419
countries_metadatacountries.CountryName,movies.country,0.0,0.8251
countries_metadatacountries.CountryName,world_country.LocalName,0.0,0.7653
countries_of_the_world.Country,netflix_titles.country,0.0,0.7605
countries_of_the_world.Country,world-cities.country,0.0,0.9762
countries_of_the_world.Country,fifa_ranking.country_full,0.0,0.903
countries_of_the_world.Country,edu.country,0.0,0.9757
countries_of_the_world.Country,world_countries_env_vars.Country,0.0,0.9728
countries_of_the_world.Country,whr2015.Country,0.0,0.9703
countries_of_the_world.Country,word_university_rank_2020.Country,0.0,0.9357
countries_of_the_world.Country,countries_and_continents.official_name_en,0.0,0.8173
countries_of_the_world.Country,who_suicide_statistics.country,0.0,0.9762
countries_of_the_world.Country,countries_data.CountryName,0.0,0.8904
countries_of_the_world.Country,hfi_cc_2018.countries,0.0,0.94
countries_of_the_world.Country,world_country.Name,0.0,0.7583
countries_of_the_world.Country,countries_and_continents.official_name_fr,0.0,0.7101
countries_of_the_world.Country,population_by_country_2020.CountryDependency,0.0,0.7055
countries_of_the_world.Country,countries_metadatacountries.CountryName,0.0,0.8847
countries_of_the_world.Country,moviesonstreamingplatforms_updated.Country,0.0,0.8088
countries_of_the_world.Country,movie_metadata.country,0.0,0.8936
countries_of_the_world.Country,gender_development.Country,0.0,0.969
countries_of_the_world.Country,countries_and_continents.ISO4217-currency_country_name,0.0,0.7633
countries_of_the_world.Country,cwurdata.country,0.0,0.8808
countries_of_the_world.Country,countries_and_continents.name,0.0,0.7347
countries_of_the_world.Country,affirmative_asylum.ContinentCountryofNationality,0.0,0.7694
countries_of_the_world.Country,movies.country,0.0,0.8834
countries_of_the_world.Country,world_country.LocalName,0.0,0.713
cwurdata.country,netflix_titles.country,0.0,0.8407
cwurdata.country,world-cities.country,0.0,0.8956
cwurdata.country,countries_of_the_world.Country,0.0,0.8808
cwurdata.country,edu.country,0.0,0.8752
cwurdata.country,fifa_ranking.country_full,0.0,0.8606
cwurdata.country,world_countries_env_vars.Country,0.0,0.8586
cwurdata.country,whr2015.Country,0.0,0.9132
cwurdata.country,usa_cars_datasets.country,0.0,0.704
cwurdata.country,word_university_rank_2020.Country,0.0,0.969
cwurdata.country,countries_and_continents.official_name_en,0.0,0.7201
cwurdata.country,countries_data.CountryName,0.0,0.8126
cwurdata.country,who_suicide_statistics.country,0.0,0.8991
cwurdata.country,hfi_cc_2018.countries,0.0,0.8796
cwurdata.country,moviesonstreamingplatforms_updated.Country,0.0,0.8815
cwurdata.country,movie_metadata.country,0.0,0.9771
cwurdata.country,gender_development.Country,0.0,0.8866
cwurdata.country,countries_and_continents.ISO4217-currency_country_name,0.0,0.7403
cwurdata.country,movies.country,0.0,0.9864
edu.country,netflix_titles.country,0.0,0.7496
edu.country,world-cities.country,0.0,0.9642
edu.country,countries_of_the_world.Country,0.0,0.9757
edu.country,fifa_ranking.country_full,0.0,0.8841
edu.country,whr2015.Country,0.0,0.9624
edu.country,world_countries_env_vars.Country,0.0,0.9514
edu.country,word_university_rank_2020.Country,0.0,0.9269
edu.country,countries_and_continents.official_name_en,0.0,0.8123
edu.country,who_suicide_statistics.country,0.0,0.9643
edu.country,countries_data.CountryName,0.0,0.8907
edu.country,hfi_cc_2018.countries,0.0,0.9287
edu.country,world_country.Name,0.0,0.7519
edu.country,countries_and_continents.official_name_fr,0.0,0.7159
edu.country,countries_metadatacountries.CountryName,0.0,0.8869
edu.country,moviesonstreamingplatforms_updated.Country,0.0,0.7952
edu.country,movie_metadata.country,0.0,0.8879
edu.country,gender_development.Country,0.0,0.9669
edu.country,countries_and_continents.ISO4217-currency_country_name,0.0,0.757
edu.country,cwurdata.country,0.0,0.8752
edu.country,countries_and_continents.name,0.0,0.73
edu.country,affirmative_asylum.ContinentCountryofNationality,0.0,0.7469
edu.country,movies.country,0.0,0.8819
edu.country,world_country.LocalName,0.0,0.7044
fifa_ranking.country_full,netflix_titles.country,0.0,0.849
fifa_ranking.country_full,world-cities.country,0.0,0.9177
fifa_ranking.country_full,countries_of_the_world.Country,0.0,0.903
fifa_ranking.country_full,edu.country,0.0,0.8841
fifa_ranking.country_full,whr2015.Country,0.0,0.9112
fifa_ranking.country_full,world_countries_env_vars.Country,0.0,0.8739
fifa_ranking.country_full,word_university_rank_2020.Country,0.0,0.8991
fifa_ranking.country_full,countries_and_continents.official_name_en,0.0,0.8472
fifa_ranking.country_full,who_suicide_statistics.country,0.0,0.8873
fifa_ranking.country_full,countries_data.CountryName,0.0,0.8583
fifa_ranking.country_full,hfi_cc_2018.countries,0.0,0.9227
fifa_ranking.country_full,world_country.Name,0.0,0.7333
fifa_ranking.country_full,population_by_country_2020.CountryDependency,0.0,0.718
fifa_ranking.country_full,countries_and_continents.official_name_fr,0.0,0.7127
fifa_ranking.country_full,countries_metadatacountries.CountryName,0.0,0.8567
fifa_ranking.country_full,moviesonstreamingplatforms_updated.Country,0.0,0.8768
fifa_ranking.country_full,movie_metadata.country,0.0,0.8952
fifa_ranking.country_full,gender_development.Country,0.0,0.8855
fifa_ranking.country_full,countries_and_continents.ISO4217-currency_country_name,0.0,0.7105
fifa_ranking.country_full,cwurdata.country,0.0,0.8606
fifa_ranking.country_full,countries_and_continents.name,0.0,0.7329
fifa_ranking.country_full,affirmative_asylum.ContinentCountryofNationality,0.0,0.7702
fifa_ranking.country_full,movies.country,0.0,0.8644
fifa_ranking.country_full,world_country.LocalName,0.0,0.7284
gender_development.Country,world-cities.country,0.0,0.9621
gender_development.Country,countries_of_the_world.Country,0.0,0.969
