query_table,candidate_table,query_col,candidate_col,score
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,5,0.7106
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,6,0.7046
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,7,0.7075
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,8,0.7002
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,9,0.7207
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,10,0.7017
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,14,0.7010
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,15,0.7680
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,16,0.7341
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,17,0.7281
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,18,0.7356
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,19,0.7631
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,20,0.7505
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,21,0.7359
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,22,0.7216
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,23,0.7208
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,24,0.7688
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,25,0.7304
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,26,0.7328
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,27,0.7150
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,28,0.7217
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,29,0.7494
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,30,0.7137
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,32,0.7041
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,33,0.7394
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,35,0.7198
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,36,0.7497
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,37,0.7263
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,38,0.7213
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,42,0.7103
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,43,0.7304
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,44,0.7761
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,45,0.7500
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,46,0.7246
datalake-imdb_ijs_directors_genres.csv,datalake-countries_data.csv,2,47,0.7115
datalake-imdb_ijs_directors_genres.csv,datalake-themes.csv,0,0,0.8043
datalake-imdb_ijs_directors_genres.csv,datalake-themes.csv,0,2,0.7044
datalake-imdb_ijs_directors_genres.csv,datalake-Distributions_data_2016.csv,2,1,0.8201
datalake-imdb_ijs_directors_genres.csv,datalake-best_crime_and_mystery_books.csv,0,1,0.8047
datalake-imdb_ijs_directors_genres.csv,datalake-best_crime_and_mystery_books.csv,2,1,0.7181
datalake-imdb_ijs_directors_genres.csv,datalake-world_countryLanguage.csv,2,3,0.8158
datalake-imdb_ijs_directors_genres.csv,datalake-dataset_1_anneal.csv,2,26,0.7801
datalake-imdb_ijs_directors_genres.csv,datalake-tmdb_5000_movies.csv,0,2,0.8147
datalake-imdb_ijs_directors_genres.csv,datalake-tmdb_5000_movies.csv,0,8,0.7192
datalake-imdb_ijs_directors_genres.csv,datalake-tmdb_5000_movies.csv,2,8,0.7526
datalake-imdb_ijs_directors_genres.csv,datalake-movies.csv,1,4,0.9769
datalake-imdb_ijs_directors_genres.csv,datalake-movies.csv,2,0,0.7018
datalake-imdb_ijs_directors_genres.csv,datalake-movies.csv,2,5,0.7222
datalake-imdb_ijs_directors_genres.csv,datalake-movies.csv,2,10,0.7407
datalake-imdb_ijs_directors_genres.csv,datalake-world_city.csv,0,0,0.8234
datalake-imdb_ijs_directors_genres.csv,datalake-world_city.csv,2,4,0.7170
datalake-imdb_ijs_directors_genres.csv,datalake-imdb_ijs_roles.csv,0,0,0.8306
datalake-imdb_ijs_directors_genres.csv,datalake-imdb_ijs_roles.csv,0,1,0.8552
datalake-imdb_ijs_directors_genres.csv,datalake-top10s.csv,0,0,0.7969
datalake-imdb_ijs_directors_genres.csv,datalake-netflix_titles.csv,0,0,0.7782
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,0,12,0.7073
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,2,6,0.7371
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,2,7,0.7451
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,2,8,0.7833
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,2,12,0.7023
datalake-imdb_ijs_directors_genres.csv,datalake-Word_University_Rank_2020.csv,2,14,0.7260
datalake-imdb_ijs_directors_genres.csv,datalake-Minimum_Wage_Data.csv,2,2,0.7865
datalake-imdb_ijs_directors_genres.csv,datalake-Minimum_Wage_Data.csv,2,4,0.7596
datalake-imdb_ijs_directors_genres.csv,datalake-Minimum_Wage_Data.csv,2,5,0.7879
